date,gross_return,cost,net_return,equity_net,equity_gross
2008-07-01,0.00838393605085681,0.0005,0.00788393605085681,1.007883936050857,1.0083839360508569
2008-07-02,-0.009564642837396019,0.0,-0.009564642837396019,0.9982438861809816,0.9987391038595629
2008-07-03,0.00011548734125856313,0.0,0.00011548734125856313,0.9983591707133243,0.9988544455832785
2008-07-07,-0.002752787508829552,0.0,-0.002752787508829552,0.9956109000588592,0.996104811542338
2008-07-08,0.009569050181283128,0.0,0.009569050181283128,1.0051379507225549,1.0056365884698042
2008-07-09,-0.010596055251275842,0.0,-0.010596055251275842,0.9944874534615445,0.9949808076156736
2008-07-10,0.003647507969806357,0.0,0.003647507969806357,0.998114854373918,0.9986100080412562
2008-07-11,-0.0061490981303733315,0.0,-0.0061490981303733315,0.9919773481889895,0.9924694571078376
2008-07-14,-0.004155211073746361,0.0,-0.004155211073746361,0.987855472926889,0.988345537029308
2008-07-15,-0.004805049124455989,0.0,-0.004805049124455989,0.9831087788516126,0.9835964881719453
2008-07-16,0.012394239416510988,0.0,0.012394239416510988,0.9952936644291733,0.9957874185355879
2008-07-17,0.0037287608744569377,0.0,0.0037287608744569377,0.9990048765036917,0.9995004717010999
2008-07-18,-0.0006322609175500539,0.0,-0.0006322609175500539,0.9983732447638365,0.9988685266157704
2008-07-21,0.00041029820317315443,0.0,0.00041029820317315443,0.9987828755122592,0.999278360577447
2008-07-22,0.004278241344340639,0.0,0.004278241344340639,1.0030559097042953,1.0035535145741745
2008-07-23,0.004083335236083718,0.0,0.004083335236083718,1.0071517232441527,1.0076513600015309
2008-07-24,-0.009596657954134896,0.0,-0.009596657954134896,0.9974864326482611,0.9979812745625773
2008-07-25,0.001968923075615081,0.0,0.001968923075615081,0.9994504067031151,0.9999462229230953
2008-07-28,-0.00794834079394715,0.0,-0.00794834079394715,0.9915064342639898,0.9919983095676823
2008-07-29,0.010551963951827314,0.0,0.010551963951827314,1.0019687744163481,1.002465839970514
2008-07-30,0.0070795242266441065,0.0,0.0070795242266441065,1.0090622366291697,1.0095628211709684
2008-07-31,-0.004993913711382414,0.0,-0.004993913711382414,1.0040230668900292,1.0045211515558208
2008-08-01,-0.0039070634542023586,0.0,-0.0039070634542023586,1.000100285058207,1.0005964236756038
2008-08-04,-0.004644106075471821,0.0,-0.004644106075471821,0.9954557132482871,0.9959495477453165
2008-08-05,0.014520286559558448,0.0,0.014520286559558448,1.0099100154620018,1.010411020577441
2008-08-06,0.0036282580676927686,0.0,0.0036282580676927686,1.0135742296232455,1.0140770525145368
2008-08-07,-0.006064227816089068,0.0,-0.006064227816089068,1.0074276845862933,1.0079274582450206
2008-08-08,0.009826645032155811,0.0,0.009826645032155811,1.0173273188382894,1.0178320035953574
2008-08-11,0.00509579778022951,0.0,0.00509579778022951,1.0225114131313924,1.0230186696599253
2008-08-12,-0.0038197169701626394,0.0,-0.0038197169701626394,1.0186057089344696,1.019111027886632
2008-08-13,-0.0019910112937904676,0.0,-0.0019910112937904676,1.0165776534640616,1.0170819663204833
2008-08-14,0.004295199082504919,0.0,0.004295199082504919,1.0209440568685153,1.0214505358490553
2008-08-15,0.0015306153220212225,0.0,0.0015306153220212225,1.0225067294848846,1.0230139836899126
2008-08-18,-0.006839762861087639,0.0,-0.006839762861087639,1.0155130259313416,1.016016810637897
2008-08-19,-0.005253986519807486,0.0,-0.005253986519807486,1.0101775341824095,1.0106786720109078
2008-08-20,0.0018853494137158582,0.0,0.0018853494137158582,1.0120820718042294,1.0125841544526386
2008-08-21,3.368687646275199e-05,0.0,3.368687646275199e-05,1.0121161656879525,1.0126182652499578
2008-08-22,0.007134984669343024,0.0,0.007134984669343024,1.0193375990137301,1.0198432810484128
2008-08-25,-0.010413664894402541,0.0,-0.010413664894402541,1.0087225588433362,1.0092229748747668
2008-08-26,0.0009349107277202618,0.0,0.0009349107277202618,1.0096656243848923,1.010166508260639
2008-08-27,0.004372235874473151,0.0,0.004372235874473151,1.0140801206490502,1.0145831945072474
2008-08-28,0.005449461730250049,0.0,0.005449461730250049,1.0196063114579346,1.0201121267978694
2008-08-29,-0.007159049859672401,0.0,-0.007159049859672401,1.0123068990369706,1.012809093219667
2008-09-02,-0.0035463609982155303,0.0,-0.0035463609982155303,1.0087168933320014,1.0092173065528347
