date,signal_date,turnover,cost
2008-07-01,2008-06-30,1.0,0.0005
2008-08-01,2008-07-31,0.0,0.0
2008-09-02,2008-08-29,0.0,0.0
2008-10-01,2008-09-30,0.0,0.0
2008-11-03,2008-10-31,0.0,0.0
2008-12-01,2008-11-28,0.0,0.0
2009-01-02,2008-12-31,0.0,0.0
2009-02-02,2009-01-30,0.0,0.0
2009-03-02,2009-02-27,0.0,0.0
2009-04-01,2009-03-31,0.0,0.0
2009-05-01,2009-04-30,1.0,0.0005
2009-06-01,2009-05-29,0.0,0.0
2009-07-01,2009-06-30,0.0,0.0
2009-08-03,2009-07-31,0.0,0.0
2009-09-01,2009-08-31,0.0,0.0
2009-10-01,2009-09-30,0.0,0.0
2009-11-02,2009-10-30,0.0,0.0
2009-12-01,2009-11-30,0.0,0.0
2010-01-04,2009-12-31,0.0,0.0
2010-02-01,2010-01-29,0.0,0.0
2010-03-01,2010-02-26,0.0,0.0
2010-04-01,2010-03-31,0.0,0.0
2010-05-03,2010-04-30,0.0,0.0
2010-06-01,2010-05-28,0.0,0.0
2010-07-01,2010-06-30,1.0,0.0005
2010-08-02,2010-07-30,1.0,0.0005
2010-09-01,2010-08-31,1.0,0.0005
2010-10-01,2010-09-30,1.0,0.0005
2010-11-01,2010-10-29,0.0,0.0
2010-12-01,2010-11-30,0.0,0.0
2011-01-03,2010-12-31,0.0,0.0
2011-02-01,2011-01-31,0.0,0.0
2011-03-01,2011-02-28,0.0,0.0
2011-04-01,2011-03-31,0.0,0.0
2011-05-02,2011-04-29,0.0,0.0
2011-06-01,2011-05-31,0.0,0.0
2011-07-01,2011-06-30,0.0,0.0
2011-08-01,2011-07-29,0.0,0.0
2011-09-01,2011-08-31,1.0,0.0005
2011-10-03,2011-09-30,0.0,0.0
2011-11-01,2011-10-31,1.0,0.0005
2011-12-01,2011-11-30,1.0,0.0005
2012-01-03,2011-12-30,0.0,0.0
2012-02-01,2012-01-31,1.0,0.0005
2012-03-01,2012-02-29,0.0,0.0
2012-04-02,2012-03-30,0.0,0.0
2012-05-01,2012-04-30,0.0,0.0
2012-06-01,2012-05-31,0.0,0.0
2012-07-02,2012-06-29,0.0,0.0
2012-08-01,2012-07-31,0.0,0.0
2012-09-04,2012-08-31,0.0,0.0
2012-10-01,2012-09-28,0.0,0.0
2012-11-01,2012-10-31,0.0,0.0
2012-12-03,2012-11-30,0.0,0.0
2013-01-02,2012-12-31,0.0,0.0
2013-02-01,2013-01-31,0.0,0.0
2013-03-01,2013-02-28,0.0,0.0
2013-04-01,2013-03-28,0.0,0.0
2013-05-01,2013-04-30,0.0,0.0
2013-06-03,2013-05-31,0.0,0.0
2013-07-01,2013-06-28,0.0,0.0
2013-08-01,2013-07-31,0.0,0.0
2013-09-03,2013-08-30,0.0,0.0
2013-10-01,2013-09-30,0.0,0.0
2013-11-01,2013-10-31,0.0,0.0
2013-12-02,2013-11-29,0.0,0.0
2014-01-02,2013-12-31,0.0,0.0
2014-02-03,2014-01-31,0.0,0.0
2014-03-03,2014-02-28,0.0,0.0
2014-04-01,2014-03-31,0.0,0.0
2014-05-01,2014-04-30,0.0,0.0
2014-06-02,2014-05-30,0.0,0.0
2014-07-01,2014-06-30,0.0,0.0
2014-08-01,2014-07-31,0.0,0.0
2014-09-02,2014-08-29,0.0,0.0
2014-10-01,2014-09-30,0.0,0.0
2014-11-03,2014-10-31,0.0,0.0
2014-12-01,2014-11-28,0.0,0.0
2015-01-02,2014-12-31,0.0,0.0
2015-02-02,2015-01-30,0.0,0.0
