date,gross_return,cost,net_return,equity,exposure,hedge_weight
2015-01-02,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-05,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-06,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-07,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-08,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-09,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-12,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-13,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-14,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-15,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-16,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-20,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-21,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-22,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-26,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-27,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-28,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-29,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-30,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-02,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-03,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-04,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-05,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-06,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-09,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-10,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-11,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-12,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-13,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-17,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-18,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-19,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-20,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-23,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-24,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-25,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-26,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-27,0.0,0.0,0.0,1.0,0.0,0.0
2015-03-02,0.0019999701518927226,0.0005,0.0014999701518927226,1.0014999701518927,1.0,0.0
2015-03-03,-0.0038157418202909854,0.0,-0.0038157418202909854,0.997678504832764,1.0,0.0
2015-03-04,-0.008577537053428381,0.0,-0.008577537053428381,0.989120880490152,1.0,0.0
2015-03-05,0.0076841373115587,0.0,0.0076841373115587,0.9967214211535681,1.0,0.0
2015-03-06,-0.01796610000853157,0.0,-0.01796610000853157,0.9788142244204774,1.0,0.0
2015-03-09,0.00518087395398378,0.0,0.00518087395398378,0.9838853375415663,1.0,0.0
2015-03-10,-0.011305982787200852,0.0,-0.011305982787200852,0.972761546850742,1.0,0.0
2015-03-11,0.0008135635669728504,0.0,0.0008135635669728504,0.9735529502046119,1.0,0.0
2015-03-12,0.015641900666053008,0.0,0.015641900666053008,0.9887811687448553,1.0,0.0
2015-03-13,-0.00585604757042185,0.0,-0.00585604757042185,0.9829908191839482,1.0,0.0
2015-03-16,0.01495125729631501,0.0,0.01495125729631501,0.9976877678414829,1.0,0.0
2015-03-17,-0.0037622659570788336,0.0,-0.0037622659570788336,0.9939342011167389,1.0,0.0
2015-03-18,0.0132389471897673,0.0,0.0132389471897673,1.007092843515427,1.0,0.0
2015-03-19,-0.003744371983990966,0.0,-0.003744371983990966,1.00332191328689,1.0,0.0
2015-03-20,0.011406863944485184,0.0,0.011406863944485184,1.014766669844274,1.0,0.0
2015-03-23,0.0005615297444162785,0.0,0.0005615297444162785,1.015336491513034,1.0,0.0
2015-03-24,-0.0058923235255234204,0.0,-0.0058923235255234204,1.0093538004177693,1.0,0.0
2015-03-25,-0.013873585433141203,0.0,-0.013873585433141203,0.9953504442354076,1.0,0.0
2015-03-26,-0.003504736433611378,0.0,-0.003504736433611378,0.9918620032692845,1.0,0.0
2015-03-27,0.00388013577128325,0.0,0.00388013577128325,0.9957105625083463,1.0,0.0
2015-03-30,0.012927981028164112,0.0,0.012927981028164112,1.008583089769997,1.0,0.0
2015-03-31,-0.00770367999265992,0.0,-0.00770367999265992,1.0008132884004006,1.0,0.0
2015-04-01,-0.0013230404053682632,0.0009200000000000001,-0.0022430404053682632,0.9985684237562891,1.0,0.0
2015-04-02,0.0056975831604089144,0.0,0.0056975831604089144,1.004257850391999,1.0,0.0
2015-04-06,0.00656626943956188,0.0,0.00656626943956188,1.010852078024468,1.0,0.0
2015-04-07,-7.830454617652649e-05,0.0,-7.830454617652649e-05,1.0107729237112468,1.0,0.0
2015-04-08,0.0004754093862129239,0.0,0.0004754093862129239,1.011253454646509,1.0,0.0
2015-04-09,0.004452612908051799,0.0,0.004452612908051799,1.01575617483198,1.0,0.0
2015-04-10,0.008519622049816863,0.0,0.008519622049816863,1.0244100335363164,1.0,0.0
2015-04-13,-0.006001341941738128,0.0,-0.006001341941738128,1.0182621986365175,1.0,0.0
2015-04-14,-0.001046784962370286,0.0,-0.001046784962370286,1.0171962970792345,1.0,0.0
2015-04-15,0.002706735799519136,0.0,0.002706735799519136,1.0199495787116772,1.0,0.0
2015-04-16,0.001714878717303341,0.0,0.001714878717303341,1.0216986685369325,1.0,0.0
2015-04-17,-0.00871990238461641,0.0,-0.00871990238461641,1.0127895558807978,1.0,0.0
2015-04-20,0.009045731670182994,0.0,0.009045731670182994,1.0219509784416594,1.0,0.0
2015-04-21,-0.0009211610115496564,0.0,-0.0009211610115496564,1.0210095970446038,1.0,0.0
2015-04-22,0.0010470857405179765,0.0,0.0010470857405179765,1.0220786816346012,1.0,0.0
2015-04-23,0.0037018539090172722,0.0,0.0037018539090172722,1.0258622675975335,1.0,0.0
2015-04-24,-0.0008433717377431683,0.0,-0.0008433717377431683,1.0249970843542247,1.0,0.0
2015-04-27,-0.00500618342328854,0.0,-0.00500618342328854,1.0198657609416115,1.0,0.0
2015-04-28,0.0014049815548618303,0.0,0.0014049815548618303,1.0212986535241695,1.0,0.0
2015-04-29,-0.007601653536148287,0.0,-0.007601653536148287,1.013535095003144,1.0,0.0
2015-04-30,-0.00994785763067459,0.0,-0.00994785763067459,1.0034525921743604,1.0,0.0
2015-05-01,0.009568444867604043,0.00084,0.008728444867604043,1.0122111728024086,1.0,0.0
2015-05-04,0.0029348416464944505,0.0,0.0029348416464944505,1.015181852307396,1.0,0.0
2015-05-05,-0.007304962526625136,0.0,-0.007304962526625136,1.0077659869185807,1.0,0.0
2015-05-06,-0.0032167733192003567,0.0,-0.0032167733192003567,1.0045242321798633,1.0,0.0
2015-05-07,0.006126490663010645,0.0,0.006126490663010645,1.0106784405090812,1.0,0.0
2015-05-08,0.01073723990333797,0.0,0.01073723990333797,1.0215303373899585,1.0,0.0
2015-05-11,-0.0038063762168309406,0.0,-0.0038063762168309406,1.0176420086089462,1.0,0.0
2015-05-12,-0.0014423266027896236,0.0,-0.0014423266027896236,1.0161742364678132,1.0,0.0
2015-05-13,0.0015529107010339072,0.0,0.0015529107010339072,1.017752264313739,1.0,0.0
2015-05-14,0.010383759436216715,0.0,0.010383759436216715,1.0283203589920378,1.0,0.0
2015-05-15,-0.000521629766689684,0.0,-0.000521629766689684,1.0277839564830946,1.0,0.0
2015-05-18,0.003732552599603593,0.0,0.003732552599603593,1.0316202141616966,1.0,0.0
2015-05-19,0.0008147743623662865,0.0,0.0008147743623662865,1.0324607518638944,1.0,0.0
2015-05-20,-0.00022261613554134046,0.0,-0.00022261613554134046,1.0322309094412163,1.0,0.0
2015-05-21,-0.0018197195921968628,0.0,-0.0018197195921968628,1.030352538631635,1.0,0.0
2015-05-22,-0.002610599507220779,0.0,-0.002610599507220779,1.0276627008020196,1.0,0.0
2015-05-26,-0.010772853269877838,0.0,-0.010772853269877838,1.016591841315353,1.0,0.0
2015-05-27,0.007095988281143768,0.0,0.007095988281143768,1.0238055651080329,1.0,0.0
2015-05-28,-0.0013545420874989003,0.0,-0.0013545420874989003,1.0224187773806785,1.0,0.0
2015-05-29,-0.007689936340480022,0.0,-0.007689936340480022,1.0145564420693098,1.0,0.0
2015-06-01,-0.0013712685664263448,0.0007200000000000002,-0.002091268566426345,1.0124347320731448,1.0,0.0
2015-06-02,-0.0014747965519439667,0.0,-0.0014747965519439667,1.010941596821215,1.0,0.0
2015-06-03,-0.0024956358442419103,0.0,-0.0024956358442419103,1.0084186547357528,1.0,0.0
2015-06-04,-0.0076043436185850195,0.0,-0.0076043436185850195,1.0007502927737508,1.0,0.0
2015-06-05,-0.005951184894173652,0.0,-0.005951184894173652,0.9947946427485558,1.0,0.0
2015-06-08,-0.005137577999842237,0.0,-0.005137577999842237,0.9896838076776099,1.0,0.0
2015-06-09,0.00016570967755031435,0.0,0.00016570967755031435,0.9898478078622569,1.0,0.0
2015-06-10,0.008097202652788332,0.0,0.008097202652788332,0.9978628061579359,1.0,0.0
2015-06-11,0.00316662758404759,0.0,0.00316662758404759,1.0010226660450108,1.0,0.0
2015-06-12,-0.0076595024443870015,0.0,-0.0076595024443870015,0.9933553304875523,1.0,0.0
2015-06-15,-0.004947951505916612,0.0,-0.004947951505916612,0.9884402564841561,1.0,0.0
2015-06-16,0.006816939392290965,0.0,0.006816939392290965,0.9951783938055092,1.0,0.0
2015-06-17,0.0019593078943105934,0.0,0.0019593078943105934,0.9971282546887397,1.0,0.0
2015-06-18,0.010293064884269811,0.0,0.010293064884269811,1.0073917605121896,1.0,0.0
2015-06-19,-0.00879361978846522,0.0,-0.00879361978846522,0.9985331403922127,1.0,0.0
2015-06-22,0.00344817783607982,0.0,0.00344817783607982,1.0019762602355042,1.0,0.0
2015-06-23,-0.0011038632467561098,0.0,-0.0011038632467561098,1.000870215467708,1.0,0.0
2015-06-24,-0.004744977562214455,0.0,-0.004744977562214455,0.996121108752625,1.0,0.0
2015-06-25,-0.005675518448605127,0.0,-0.005675518448605127,0.9904676050228545,1.0,0.0
2015-06-26,0.0042925244879000604,0.0,0.0042925244879000604,0.9947192114718867,1.0,0.0
2015-06-29,-0.015186558553076882,0.0,-0.015186558553076882,0.9796128499229984,1.0,0.0
2015-06-30,0.0010555692197826393,0.0,0.0010555692197826393,0.9806468990946806,1.0,0.0
2015-07-01,0.006320804287901377,0.00088,0.005440804287901378,0.9859824069481921,1.0,0.0
2015-07-02,-0.001061382337324921,0.0,-0.001061382337324921,0.9849359026365442,1.0,0.0
2015-07-06,-0.004744274048005952,0.0,-0.004744274048005952,0.9802630967947163,1.0,0.0
2015-07-07,0.008927062454653582,0.0,0.008927062454653582,0.9890139666817949,1.0,0.0
2015-07-08,-0.014819663940998984,0.0,-0.014819663940998984,0.9743571120626163,1.0,0.0
2015-07-09,0.0006341286702360831,0.0,0.0006341286702360831,0.9749749798424237,1.0,0.0
2015-07-10,0.009054373508039188,0.0,0.009054373508039188,0.98380276747091,1.0,0.0
2015-07-13,0.007599220858161004,0.0,0.007599220858161004,0.9912789019817915,1.0,0.0
2015-07-14,0.00828604367417074,0.0,0.00828604367417074,0.9994926822568966,1.0,0.0
2015-07-15,-0.002798448557487427,0.0,-0.002798448557487427,0.9966956534020155,1.0,0.0
2015-07-16,0.007222161257254057,0.0,0.007222161257254057,1.003893950135289,1.0,0.0
2015-07-17,-0.0027690364291654257,0.0,-0.0027690364291654257,1.0011141312163456,1.0,0.0
2015-07-20,-0.0015719224287318759,0.0,-0.0015719224287318759,0.9995404574597663,1.0,0.0
2015-07-21,-0.005888389969837529,0.0,-0.005888389969837529,0.9936547734556134,1.0,0.0
2015-07-22,-0.0032332278109738375,0.0,-0.0032332278109738375,0.9904420612075698,1.0,0.0
2015-07-23,-0.0034166067314157413,0.0,-0.0034166067314157413,0.9870581101941708,1.0,0.0
2015-07-24,-0.011336582099507546,0.0,-0.011336582099507546,0.9758682448909698,1.0,0.0
2015-07-27,-0.004246582500223828,0.0,-0.004246582500223828,0.9717241398796916,1.0,0.0
2015-07-28,0.011930246390328452,0.0,0.011930246390328452,0.9833170482918863,1.0,0.0
2015-07-29,0.007795452277974638,0.0,0.007795452277974638,0.9909824494159646,1.0,0.0
2015-07-30,-0.0014555296810630349,0.0,-0.0014555296810630349,0.9895400450474271,1.0,0.0
2015-07-31,0.0013757644289680514,0.0,0.0013757644289680514,0.9909014190424428,1.0,0.0
2015-08-03,-0.0003170583450736286,0.00088,-0.0011970583450736285,0.9897152522296326,1.0,0.0
2015-08-04,0.0002450585293027668,0.0,0.0002450585293027668,0.9899577903937725,1.0,0.0
2015-08-05,0.0070963478808760624,0.0,0.0070963478808760624,0.9969828752617902,1.0,0.0
2015-08-06,-0.0060832423040189185,0.0,-0.0060832423040189185,0.9909179868586152,1.0,0.0
2015-08-07,0.005719895018722956,0.0,0.005719895018722956,0.9965859337156108,1.0,0.0
2015-08-10,0.013388947593499317,0.0,0.013388947593499317,1.0099291705545477,1.0,0.0
2015-08-11,-0.010122888753500984,0.0,-0.010122888753500984,0.9997057699121085,1.0,0.0
2015-08-12,-0.0012707178460775823,0.0,-0.0012707178460775823,0.9984354259494544,1.0,0.0
2015-08-13,-0.002113987356802105,0.0,-0.002113987356802105,0.996324746082414,1.0,0.0
2015-08-14,0.009779737319379556,0.0,0.009779737319379556,1.0060685403838974,1.0,0.0
2015-08-17,0.004428036742486107,0.0,0.004428036742486107,1.0105234488461765,1.0,0.0
2015-08-18,-2.1603538168353227e-05,0.0,-2.1603538168353227e-05,1.0105016179642794,1.0,0.0
2015-08-19,-0.008104281112991784,0.0,-0.008104281112991784,1.0023122287871638,1.0,0.0
2015-08-20,-0.016799654448728798,0.0,-0.016799654448728798,0.9854737296938042,1.0,0.0
2015-08-21,-0.025445562260150857,0.0,-0.025445562260150857,0.9603977965491375,1.0,0.0
2015-08-24,-0.03946509652403266,0.0,-0.03946509652403266,0.9224956048068575,1.0,0.0
2015-08-25,-0.01609631320211423,0.0,-0.01609631320211423,0.9076468266243126,1.0,0.0
2015-08-26,0.030774045565997783,0.0,0.030774045565997783,0.9355787914246825,1.0,0.0
2015-08-27,0.02198535993693311,0.0,0.02198535993693311,0.9561478279035149,1.0,0.0
2015-08-28,0.0008303252830377159,0.0,0.0008303252830377159,0.9569417416193449,1.0,0.0
2015-08-31,-0.0067315904239721785,0.0,-0.0067315904239721785,0.9505000017551608,1.0,0.0
2015-09-01,-0.02633357619604174,0.00088,-0.027213576196041738,0.924633497533059,1.0,0.0
2015-09-02,0.011765120314566191,0.0,0.011765120314566191,0.9355119218784135,1.0,0.0
2015-09-03,0.006533698335578575,0.0,0.006533698335578575,0.9416242745653044,1.0,0.0
2015-09-04,-0.016757006029037312,0.0,-0.016757006029037312,0.9258454709193257,1.0,0.0
2015-09-08,0.02066032582006813,0.0,0.02066032582006813,0.9449737400075534,1.0,0.0
2015-09-09,-0.013096724821775933,0.0,-0.013096724821775933,0.9325976789708701,1.0,0.0
2015-09-10,0.0015625992418548135,0.0,0.0015625992418548135,0.9340549553969856,1.0,0.0
2015-09-11,0.005159610566668816,0.0,0.005159610566668816,0.9388743152147013,1.0,0.0
2015-09-14,-0.002064186487520368,0.0,-0.002064186487520368,0.9369363035397552,1.0,0.0
