date,ic,n
2015-01-30,,0
2015-02-27,-0.009889206870126552,326
2015-03-31,-0.08050195782422041,329
2015-04-30,-0.1351258756028313,330
2015-05-29,0.06605269770404436,330
2015-06-30,-0.09156090422401406,330
2015-07-31,0.06136471179968433,331
2015-08-31,-0.3263570546955584,333
2015-09-30,0.1865604611672178,335
2015-10-30,0.1286280551460586,336
2015-11-30,-0.1603463125704179,338
2015-12-31,-0.21830931251905905,339
2016-01-29,-0.09435457155898459,340
2016-02-29,0.1885475695153541,342
2016-03-31,0.22450831984196104,345
2016-04-29,-0.018790578890561713,347
2016-05-31,-0.37809250920998766,349
2016-06-30,0.1982787031497633,350
2016-07-29,0.25722660248155993,352
2016-08-31,0.0844968291608489,353
2016-09-30,-0.06903123965205643,356
2016-10-31,0.15049450702895495,356
2016-11-30,-0.0765191279866908,356
2016-12-30,0.06020184735748546,357
2017-01-31,-0.08126326735546306,358
2017-02-28,-0.11524875118656727,359
2017-03-31,-0.12935383421062124,364
2017-04-28,-0.03224027264000316,365
2017-05-31,-0.11272188399967428,365
2017-06-30,0.12430302135750367,367
2017-07-31,-0.125327719491929,372
2017-08-31,0.1525543996290799,372
2017-09-29,-0.14835259617043295,373
2017-10-31,-0.006586744276067726,374
2017-11-30,0.23183775173512347,375
2017-12-29,0.24147388781431334,375
2018-01-31,-3.86026299452565e-05,376
2018-02-28,-0.008836164569106608,376
2018-03-29,-0.023865064584066786,377
2018-04-30,0.27401829157811325,378
2018-05-31,-0.15668597317218916,378
2018-06-29,-0.22422104541473353,380
2018-07-31,-0.1452898024010432,381
2018-08-31,-0.032890508524308505,382
2018-09-28,-0.2176429822062608,382
2018-10-31,-0.18548370689362859,384
2018-11-30,-0.119395355292376,385
2018-12-31,0.2037853619248968,386
2019-01-31,0.06757368279389005,385
2019-02-28,0.007551110575571355,387
2019-03-29,-0.012171176173670573,387
2019-04-30,-0.37690825863923644,390
2019-05-31,0.1534272970995106,390
2019-06-28,2.9654982076528834e-05,393
2019-07-31,-0.24962504040460026,394
2019-08-30,0.028931408270119488,396
2019-09-30,0.15579621560007378,398
2019-10-31,0.35081459931235126,399
2019-11-29,0.21855736598353737,400
2019-12-31,-0.3136644863172689,405
2020-01-31,-0.01926601527147789,405
2020-02-28,-0.08746380385164954,405
2020-03-31,0.24386796110934045,406
2020-04-30,-0.07573218087998512,409
2020-05-29,0.24616706386908502,412
2020-06-30,-0.3731498263820626,414
2020-07-31,0.14761604582346655,414
2020-08-31,-0.155975074104186,414
2020-09-30,0.029189668372486606,415
2020-10-30,0.40744734792010856,415
2020-11-30,0.30085761104619146,415
2020-12-31,0.13871407044892353,416
2021-01-29,0.3558418815187085,417
2021-02-26,-0.40002098194689956,418
2021-03-31,-0.13492771662942693,420
2021-04-30,0.13591571153570906,421
2021-05-28,-0.01244973022723602,422
2021-06-30,-0.1419529521792557,422
2021-07-30,0.12209721189013466,423
2021-08-31,0.17296982863799873,424
2021-09-30,0.015231745634740742,425
2021-10-29,-0.015227368651420175,425
2021-11-30,-0.1015707117287521,425
2021-12-31,-0.1161462895017162,426
2022-01-31,0.1838350464361163,427
2022-02-28,-0.09298480263487871,429
2022-03-31,-0.3847360637623624,429
2022-04-29,-0.0260476807136819,431
2022-05-31,-0.44711790379922906,431
2022-06-30,0.32750675353567454,434
2022-07-29,-0.10417169060867484,434
2022-08-31,-0.10929252011748086,434
2022-09-30,0.18517240655384523,436
2022-10-31,0.06315227350737695,439
2022-11-30,-0.2331423105585162,440
2022-12-30,0.4227825528544462,442
2023-01-31,0.035688523472350325,443
2023-02-28,0.06319685977101992,443
2023-03-31,-0.1841255464750154,446
2023-04-28,0.009703561101486777,446
2023-05-31,0.17428543482279898,447
2023-06-30,0.28461564742786244,448
2023-07-31,-0.12442279138827021,449
2023-08-31,-0.19552485032847905,450
2023-09-29,-0.11973262513655861,452
2023-10-31,0.1081739685759874,454
2023-11-30,0.48219719070634914,455
2023-12-29,-0.33487531062036385,458
2024-01-31,0.06796647420366927,458
2024-02-29,-0.005458124949373619,458
2024-03-28,-0.02948589654238999,461
2024-04-30,0.1486209943329925,463
2024-05-31,-0.008343203511461018,464
2024-06-28,-0.1793596942616803,467
2024-07-31,-0.22844456949464717,467
2024-08-30,0.135614117068198,467
2024-09-30,0.011232301890543412,470
2024-10-31,0.2342585756675358,470
2024-11-29,-0.043076779959619727,471
2024-12-31,0.02247944640148288,474
2025-01-31,-0.2871533987912217,474
2025-02-28,-0.07075001443716875,474
2025-03-31,0.14495086081406824,478
2025-04-30,0.4179082969962497,478
2025-05-30,0.4832219975367092,479
2025-06-30,0.18526016831559852,479
2025-07-31,0.01623021161177395,482
2025-08-29,-0.02280144862927406,483
2025-09-30,0.3259521127003503,486
2025-10-31,-0.14661154759946857,486
2025-11-28,0.06766248300791226,487
2025-12-31,0.07195284678459539,492
2026-01-30,0.05833585149119112,492
2026-02-27,-0.08940261919063992,493
2026-03-31,0.20988442876221158,496
2026-04-30,0.30668523382815355,497
2026-05-29,-0.08467284864266848,498
2026-06-30,-0.2700329521318085,501
