date,n,intercept,MAX
2015-02-27,326,-0.0016055964410364727,-0.375196618254985
2015-03-31,329,-0.0025184824366898876,0.0453125369704762
2015-04-30,330,0.026469778634505343,-0.8966071681144905
2015-05-29,330,-0.02060843696151631,-0.16093754104235605
2015-06-30,330,0.043745439269485306,-1.9647453805884703
2015-07-31,331,-0.05649357621940424,0.11129939500888575
2015-08-31,333,0.015101048723911638,-1.9570566635203384
2015-09-30,335,0.03844633779403997,1.63695647188982
2015-10-30,336,0.008681528792840862,-0.17979836829890564
2015-11-30,338,0.0035732368680408814,-1.3319433080451797
2015-12-31,339,-0.01215943132670439,-2.0278721387131333
2016-01-29,340,0.016342021040142242,-0.22406149620243657
2016-02-29,342,0.0429529875953717,1.140266727896332
2016-03-31,345,-0.0395648637969148,2.4910907793253534
2016-04-29,347,0.021937308776649896,-0.20128135860977156
2016-05-31,349,0.04572909476172062,-2.4465386605166106
2016-06-30,350,0.006690278058744398,1.5941584997112734
2016-07-29,352,-0.027012038597809644,1.4419609957763604
2016-08-31,353,-0.010558072635784047,0.7979422684590974
2016-09-30,356,-0.016330859632847437,-0.4221746259139567
2016-10-31,356,0.026341904043011424,1.3889767705412792
2016-11-30,356,0.0208992636932721,-0.29274472972342563
2016-12-30,357,0.0013042646828033716,1.6321940227046332
2017-01-31,358,0.05103261383047914,-0.9165497513633519
2017-02-28,359,0.013653820380202724,-0.8772961731364949
2017-03-31,364,0.018359132800382864,-0.9577706102736961
2017-04-28,365,0.0151732907271001,-0.06484782703484944
2017-05-31,365,0.01996268334816302,-0.820385818062837
2017-06-30,367,-0.0036009939024828487,1.5781492782968336
2017-07-31,372,0.003966599032903123,-0.5203026526609634
2017-08-31,372,0.008866776614986773,1.3339406537538114
2017-09-29,373,0.03136825848522328,-0.8097912096193509
2017-10-31,374,0.033728411837426996,0.13746554340619258
2017-11-30,375,-0.01632293816018604,1.390916724666823
2017-12-29,375,0.011624744885079608,2.3596962071132532
2018-01-31,376,-0.050808993107092644,0.29736145750997584
2018-02-28,376,-0.004607581465556247,-0.24513050933676214
2018-03-29,377,0.0067359869573658145,-0.28085522475609126
2018-04-30,378,-0.03860826405303947,2.7915442773976706
2018-05-31,378,0.025533130619212495,-1.2265376279410607
