version,cutoff,strategy_cagr,strategy_final_wealth,spy_cagr,spy_final_wealth,beats_spy_cagr,beats_spy_wealth
base_12_1_top3,2005-12-31,0.04480470804657366,1.2861328404812675,-0.01722560648770377,0.9050558716496662,True,True
base_12_1_top3,2008-12-31,0.007584708879820212,1.0683075871760446,-0.040472238503193814,0.6967848371097025,True,True
base_12_1_top3,2012-12-31,0.03308861432061572,1.514185524053051,0.014222190631389964,1.1971941859143718,True,True
base_12_1_top3,2016-12-31,0.055967181050973425,2.488595666141985,0.0434346752697945,2.037720824034442,True,True
base_12_1_top3,2020-12-31,0.0667624403517415,3.8216967562896103,0.06475158892317467,3.6750023280022064,True,True
base_12_1_top3,2024-12-31,0.07762055936029921,6.358549063073154,0.07581216057635087,6.0997040751789635,True,True
base_12_1_top3,latest,0.08859141737723886,9.368261384896076,0.0829909746299784,8.177430517108784,True,True
composite_6_1_12_1_top3,2005-12-31,0.061152501900128,1.406039116987422,-0.01722560648770377,0.9050558716496662,True,True
composite_6_1_12_1_top3,2008-12-31,0.022404134470268566,1.2137987342809289,-0.040472238503193814,0.6967848371097025,True,True
composite_6_1_12_1_top3,2012-12-31,0.046116162924586535,1.7763969421353496,0.014222190631389964,1.1971941859143718,True,True
composite_6_1_12_1_top3,2016-12-31,0.06853368203999688,3.0336892864763025,0.0434346752697945,2.037720824034442,True,True
composite_6_1_12_1_top3,2020-12-31,0.07464060254136218,4.451911273824432,0.06475158892317467,3.6750023280022064,True,True
composite_6_1_12_1_top3,2024-12-31,0.07662771920548184,6.215161868752842,0.07581216057635087,6.0997040751789635,True,True
composite_6_1_12_1_top3,latest,0.07690444757410408,7.04860220291144,0.0829909746299784,8.177430517108784,False,False
composite_top3_buffer,2005-12-31,0.0788387561903725,1.5460106972404268,-0.01722560648770377,0.9050558716496662,True,True
composite_top3_buffer,2008-12-31,0.0396336323208033,1.4047959993089203,-0.040472238503193814,0.6967848371097025,True,True
composite_top3_buffer,2012-12-31,0.05277776418332358,1.9260807193518386,0.014222190631389964,1.1971941859143718,True,True
composite_top3_buffer,2016-12-31,0.07186940672286446,3.1962003892618744,0.0434346752697945,2.037720824034442,True,True
composite_top3_buffer,2020-12-31,0.08130281630504488,5.060892433349102,0.06475158892317467,3.6750023280022064,True,True
composite_top3_buffer,2024-12-31,0.08524667258141982,7.570786414078832,0.07581216057635087,6.0997040751789635,True,True
composite_top3_buffer,latest,0.09116364177120118,9.969530613471635,0.0829909746299784,8.177430517108784,True,True
