version,window_years,start,end,cagr,sharpe,volatility,max_drawdown,avg_bil_weight
base_12m_equal,3,2008-06-02,2011-05-31,0.06945652245448697,0.7686932354479723,0.0929854671968855,-0.09427711324524668,0.3328473537433913
base_12m_equal,3,2008-07-01,2011-06-29,0.05729955982329926,0.6414411514148463,0.09371059834002236,-0.0942771132452469,0.32242749719737435
base_12m_equal,3,2008-07-31,2011-07-29,0.07007503776057611,0.7653918463902448,0.09430412988415235,-0.0822079340577806,0.3151571957986915
base_12m_equal,3,2008-08-29,2011-08-29,0.06864695724896697,0.7104202063746099,0.10058313433210005,-0.08276419380427902,0.30127798560984487
base_12m_equal,3,2008-09-30,2011-09-28,0.04673327524177373,0.49757800583180195,0.10231830581401637,-0.08276419380427891,0.28743818338128324
base_12m_equal,3,2008-10-29,2011-10-27,0.08153339204243104,0.8150555394504589,0.10264036735392013,-0.09029892006112228,0.2793543575255763
base_12m_equal,3,2008-11-28,2011-11-28,0.06871632019858431,0.69561426873736,0.10320456112431364,-0.0902989200611225,0.26646414960268183
base_12m_equal,3,2008-12-30,2011-12-28,0.056720945341478535,0.5848421533423682,0.1034987130701934,-0.09029892006112272,0.2562303552484052
base_12m_equal,3,2009-01-30,2012-01-30,0.07361325033948418,0.7387970744075151,0.10338730288203707,-0.09029892006112317,0.2487402753234176
base_12m_equal,3,2009-03-03,2012-02-29,0.07282595107182943,0.7319284703439223,0.10334977767197062,-0.09029892006112383,0.23846991946306145
base_12m_equal,3,2009-04-01,2012-03-29,0.07159599984841392,0.7209545923607432,0.103328420256237,-0.09029892006112306,0.22813365385231277
base_12m_equal,3,2009-05-01,2012-04-30,0.07978995285251167,0.794420184946646,0.1033699312671399,-0.09029892006112328,0.21756773598758422
base_12m_equal,3,2009-06-02,2012-05-30,0.0818509165577368,0.81389031438637,0.10322191784332733,-0.09029892006112294,0.20734828356096835
base_12m_equal,3,2009-07-01,2012-06-28,0.08289679479344869,0.823673450279162,0.10316191930824248,-0.0902989200611225,0.20360121491019229
base_12m_equal,3,2009-07-31,2012-07-30,0.08919873033129844,0.8804635775317622,0.10309254021336967,-0.09029892006112294,0.193315234253703
base_12m_equal,3,2009-08-31,2012-08-28,0.0853796065058039,0.8466050392754771,0.10306134955023515,-0.09029892006112361,0.18954650415616905
base_12m_equal,3,2009-09-30,2012-09-27,0.0820725445715611,0.817545287924368,0.1029806830892176,-0.09029892006112294,0.18620877540113123
base_12m_equal,3,2009-10-29,2012-10-26,0.07686574211290553,0.772042341942054,0.10277285697927012,-0.09029892006112361,0.17620266472119034
base_12m_equal,3,2009-11-30,2012-11-29,0.06582978360357417,0.6829227569923344,0.1008041767989022,-0.09029892006112294,0.1787883203548082
base_12m_equal,3,2009-12-30,2012-12-31,0.06588116048382742,0.6904454887949069,0.09960101258043035,-0.09029892006112328,0.17891421629835413
base_12m_equal,3,2010-02-01,2013-01-31,0.08563713038322329,0.8914808508872982,0.09751614303537622,-0.09029892006112261,0.1722249033699911
base_12m_equal,3,2010-03-03,2013-03-04,0.07272898223453228,0.791124106608434,0.09438098119882382,-0.0902989200611235,0.17294417732537426
base_12m_equal,3,2010-04-01,2013-04-03,0.06545048442021995,0.724874705927062,0.09349809195983881,-0.09029892006112317,0.17942354757167528
base_12m_equal,3,2010-05-03,2013-05-02,0.06910575209354808,0.7722353485030348,0.09202241868431603,-0.09029892006112328,0.1794379144395924
base_12m_equal,3,2010-06-02,2013-06-03,0.08064175395803996,0.9515654354960027,0.08534234063513277,-0.09029892006112283,0.1829633694556465
base_12m_equal,3,2010-07-01,2013-07-02,0.07206400839028149,0.8603402454176469,0.08510353138310674,-0.09029892006112383,0.19040963952037915
base_12m_equal,3,2010-08-02,2013-08-01,0.06435442731643826,0.7872663149018807,0.08368056403745773,-0.09029892006112294,0.2007247157169531
base_12m_equal,3,2010-08-31,2013-08-30,0.05571259482298041,0.6934867144997674,0.0831775974734364,-0.09029892006112261,0.21127495322186285
base_12m_equal,3,2010-09-30,2013-10-01,0.047277172589230476,0.6004040027106604,0.08263395373831858,-0.09029892006112272,0.22486604704951713
base_12m_equal,3,2010-10-29,2013-10-30,0.046303418671612695,0.5984714355658233,0.08114218802776042,-0.09029892006112294,0.23840156340432592
base_12m_equal,3,2010-11-30,2013-11-29,0.04710306658769636,0.629578856766671,0.07794289343027237,-0.09029892006112283,0.2523379082634837
base_12m_equal,3,2010-12-30,2013-12-31,0.038032119771762796,0.5214296198547785,0.07732872479389048,-0.09029892006112261,0.2662739428110066
base_12m_equal,3,2011-01-31,2014-01-31,0.03613007758718956,0.4997570450773892,0.07695400746574005,-0.09029892006112361,0.28360477736009126
base_12m_equal,3,2011-03-02,2014-03-04,0.03348829013487986,0.4695083842941947,0.07638058897164461,-0.09029892006112272,0.3007964522796675
base_12m_equal,3,2011-03-31,2014-04-02,0.031036719977434846,0.4447053427304163,0.07507760379654049,-0.09029892006112306,0.3181321076349784
base_12m_equal,3,2011-05-02,2014-05-02,0.016845278604795455,0.2622224124164833,0.07422107544535277,-0.0895650669149397,0.3351570968297544
base_12m_equal,3,2011-06-01,2014-06-03,0.02072010910408828,0.3199856982613372,0.07226022716126243,-0.08956506691494015,0.34801527158279
base_12m_equal,3,2011-06-30,2014-07-02,0.03291770192751309,0.4933385194363008,0.07072809540285477,-0.08956506691494026,0.3511401723197452
base_12m_equal,3,2011-08-01,2014-08-01,0.02278139108215016,0.3580707453297188,0.06970108813611567,-0.0759884519736298,0.3482177885921297
base_12m_equal,3,2011-08-30,2014-09-02,0.03380783898946915,0.5866022286502495,0.059727590527012896,-0.07500087403301636,0.35509208685904053
base_12m_equal,3,2011-09-29,2014-10-01,0.04390711326636354,0.8081079170730201,0.05505357722518568,-0.06953995606768937,0.3621323995293296
base_12m_equal,3,2011-10-28,2014-10-30,0.03789854301798945,0.7303174422868804,0.05284986036487776,-0.06953995606768937,0.36286458220587203
base_12m_equal,3,2011-11-29,2014-12-01,0.046916307189744266,0.9201975203042051,0.051257016908665784,-0.06953995606768959,0.3632476950175
base_12m_equal,3,2011-12-29,2014-12-31,0.047719998394713636,0.9571490801914146,0.050014587371825424,-0.06953995606768937,0.37012846165774266
base_12m_equal,3,2012-01-31,2015-02-02,0.0454855695993035,0.9193144819277126,0.04973511505162373,-0.06953995606768948,0.3734817368355453
base_12m_equal,3,2012-03-01,2015-03-04,0.03904020113858819,0.785566040234768,0.05037013226207209,-0.06953995606768981,0.3705571111748244
base_12m_equal,3,2012-03-30,2015-04-02,0.042779715265858,0.8362643959943005,0.05169377897733656,-0.06953995606768959,0.3705935943912581
base_12m_equal,3,2012-05-01,2015-05-04,0.036681748316371054,0.721801606315751,0.051770095887711906,-0.06953995606768981,0.3702262942662519
base_12m_equal,3,2012-05-31,2015-06-03,0.03371770146295172,0.6516828539674046,0.05304887970056247,-0.0695399560676897,0.36768985378016467
base_12m_equal,3,2012-06-29,2015-07-02,0.030667652867072848,0.5959292081941909,0.05305322431110851,-0.06953995606768926,0.36798735935390403
base_12m_equal,3,2012-07-31,2015-08-03,0.031008449416969563,0.6027230438890592,0.05299904473291813,-0.06953995606768937,0.3711799211518593
base_12m_equal,3,2012-08-29,2015-09-01,0.024917695713507992,0.48414372002472467,0.05383239839630708,-0.0695399560676887,0.3715125453411378
base_12m_equal,3,2012-09-28,2015-10-01,0.026247274164011625,0.5087145397360228,0.05377491912950873,-0.06953995606768926,0.3749454734788348
base_12m_equal,3,2012-10-31,2015-10-30,0.03470097536317551,0.6702680447669244,0.052992220914078195,-0.06953995606768915,0.39154444215024303
base_12m_equal,3,2012-11-30,2015-12-01,0.031779022639583765,0.6204898413102596,0.052656840615589964,-0.06953995606768926,0.39886385272566316
base_12m_equal,3,2013-01-02,2015-12-31,0.02535787177245763,0.5001057886584855,0.05287040252041088,-0.06953995606768981,0.40915447451960374
base_12m_equal,3,2013-02-01,2016-02-02,0.019397286796693614,0.3894601641279446,0.052927455568206105,-0.06953995606768926,0.4272885308915374
base_12m_equal,3,2013-03-05,2016-03-03,0.021068355211534717,0.4269314362527333,0.052005548691648563,-0.06953995606768959,0.4432659560941891
