date,gross_return,cost,net_return,w_bil,w_SPY,w_EFA,w_EEM,w_IEF,w_TLT,w_GLD,w_DBC,w_VNQ,equity_net,equity_gross
2008-06-02,-0.002603535725995858,1.3383151362783314e-05,-0.0026169188773586417,0.0,0.12446487797576641,0.12501826064456265,0.12390584507318654,0.1253268700668461,0.1257438386953085,0.1260001429800636,0.1271549590821621,0.12238520548210398,1.1319597926839062,1.1327498434513459
2008-06-03,-0.005410867041154081,0.0,-0.005410867041154081,0.0,0.12441135558728142,0.1254325677492106,0.12232912283288615,0.12667001436329012,0.12733715582519645,0.12512924832447955,0.12482779589611018,0.12386273942154555,1.1258349087497612,1.1266206846575426
2008-06-04,-0.0050144097232437,0.0,-0.0050144097232437,0.0,0.1249742757545096,0.12533170440273758,0.12187297347547377,0.12684460387823204,0.12683836858462058,0.1254262221813232,0.1235799631528534,0.12513188857024973,1.1201895112365592,1.1209713469419884
2008-06-05,0.014287926639704513,0.0,0.014287926639704513,0.0,0.12567621867524736,0.1256156309286532,0.12397768686042115,0.12440004492736116,0.12430098260981133,0.12337246413613681,0.12646207408706303,0.12619489777530596,1.1361946967956735,1.1369877033123061
2008-06-06,-0.007702385071886159,0.0,-0.007702385071886159,0.0,0.12261624726945072,0.12295698153723744,0.12041724586531492,0.12646245094769848,0.1268916657807483,0.12808784349237792,0.13071009773004832,0.12185746737712398,1.1274432877243183,1.1282301861993953
2008-06-09,-0.0036684473700185896,0.0,-0.0036684473700185896,0.0,0.12336964203073357,0.12324767811521252,0.12055544779868707,0.12602298722320734,0.1273629451993013,0.12701895540369057,0.13253651924208715,0.11988582498708052,1.123307321360621,1.1240913331400566
2008-06-10,-0.011090995895633362,0.0,-0.011090995895633362,0.0,0.12412848900118106,0.12251148086236911,0.11909139536792623,0.12667368493361322,0.12795021270071338,0.12487788275960007,0.1334827791267587,0.12128407524783817,1.1108487244698755,1.1116240407778832
2008-06-11,-9.249175312949984e-05,0.0,-9.249175312949984e-05,0.0,0.12231567275516783,0.1209639675818555,0.11732218428734927,0.12681875204065157,0.12766612871472388,0.12703752386095754,0.13841717596940756,0.11945859478988692,1.1107459801238875,1.1115212247215307
2008-06-12,-0.0025351587745201256,0.0,-0.0025351587745201256,0.0,0.12309342797858291,0.12085068250031626,0.11830618089894919,0.12602915416867955,0.12671003861936225,0.1252820798149636,0.1387373055020841,0.12099113051706213,1.1079300627061135,1.1087033419356125
2008-06-13,0.0048549462505045795,0.0,0.0048549462505045795,0.0,0.12404815649041899,0.12137255240658562,0.11900768037734001,0.1251296217009104,0.12582943796634183,0.12501236291728215,0.1371866098734224,0.1224135782676987,1.1133090036098698,1.1140860370684647
