version,group,members,full_cagr,loo_cagr,cagr_contribution,full_max_drawdown,loo_max_drawdown,maxdd_relief
ensemble_risk_balanced,equity,"SPY,EFA,EEM",0.04546011161556063,0.03512378915477621,0.01033632246078442,-0.08057597352560353,-0.09101534568748604,0.01043937216188251
ensemble_risk_balanced,bonds,"IEF,TLT",0.04546011161556063,0.05566128822458971,-0.010201176609029083,-0.08057597352560353,-0.13406125778519318,0.05348528425958965
ensemble_risk_balanced,gold,GLD,0.04546011161556063,0.04096979110910448,0.004490320506456147,-0.08057597352560353,-0.08423002389384038,0.0036540503682368497
ensemble_risk_balanced,commodities,DBC,0.04546011161556063,0.049669440596886716,-0.004209328981326088,-0.08057597352560353,-0.09021615578766617,0.009640182262062647
ensemble_risk_balanced,real_estate,VNQ,0.04546011161556063,0.04511121930198114,0.00034889231357948525,-0.08057597352560353,-0.07249575968844679,-0.008080213837156736
base_12m_equal,equity,"SPY,EFA,EEM",0.04759068337708361,0.03909336833297927,0.008497315044104337,-0.10861331696488463,-0.1509206278555184,0.042307310890633776
base_12m_equal,bonds,"IEF,TLT",0.04759068337708361,0.05122069430311105,-0.0036300109260274382,-0.10861331696488463,-0.1811417600566846,0.07252844309179995
base_12m_equal,gold,GLD,0.04759068337708361,0.04387885360240085,0.003711829774682762,-0.10861331696488463,-0.11671974168620736,0.008106424721322725
base_12m_equal,commodities,DBC,0.04759068337708361,0.05190201317475496,-0.004311329797671348,-0.10861331696488463,-0.12401441254915546,0.01540109558427083
base_12m_equal,real_estate,VNQ,0.04759068337708361,0.04832662340034677,-0.0007359400232631597,-0.10861331696488463,-0.10784487956885769,-0.0007684373960269442
ensemble_equal,equity,"SPY,EFA,EEM",0.04767512139103647,0.03889916117039216,0.008775960220644308,-0.09222232225568716,-0.1211680453471582,0.02894572309147103
ensemble_equal,bonds,"IEF,TLT",0.04767512139103647,0.05311159654948994,-0.005436475158453469,-0.09222232225568716,-0.13702664301494016,0.044804320759253
ensemble_equal,gold,GLD,0.04767512139103647,0.044525372981923494,0.0031497484091129735,-0.09222232225568716,-0.0992255366400161,0.007003214384328937
ensemble_equal,commodities,DBC,0.04767512139103647,0.05113504905588595,-0.0034599276648494826,-0.09222232225568716,-0.1052647228740784,0.013042400618391237
ensemble_equal,real_estate,VNQ,0.04767512139103647,0.04764283564562266,3.228574541380702e-05,-0.09222232225568716,-0.08182705192815987,-0.010395270327527295
