Date,gross_return,cost,net_return,equity_net,equity_gross
2008-06-02,-0.010331561689168267,0.0,-0.010331561689168267,0.9226080408118517,0.9226080408118517
2008-06-03,-0.005831521478062651,0.0,-0.005831521478062651,0.917227832206024,0.917227832206024
2008-06-04,-0.0005067241484043583,0.0,-0.0005067241484043583,0.9167630507138567,0.9167630507138567
2008-06-05,0.01999721681691269,0.0,0.01999721681691269,0.935095760208716,0.935095760208716
2008-06-06,-0.03189394426925796,0.0,-0.03189394426925796,0.9052718681461998,0.9052718681461998
2008-06-09,0.0024213080741291026,0.0,0.0024213080741291026,0.907463810229824,0.907463810229824
2008-06-10,-0.004977511440880433,0.0,-0.004977511440880433,0.9029468987322201,0.9029468987322201
2008-06-11,-0.014712032648452888,0.0,-0.014712032648452888,0.8896627144782524,0.8896627144782524
2008-06-12,0.0038076898958907535,0.0,0.0038076898958907535,0.893050274206922,0.893050274206922
2008-06-13,0.012644022507541264,0.0,0.012644022507541264,0.9043420219743602,0.9043420219743602
2008-06-16,0.0005875327507429695,0.0,0.0005875327507429695,0.9048733525301432,0.9048733525301432
2008-06-17,-0.004844514168046432,0.0,-0.004844514168046432,0.9004896807535233,0.9004896807535233
2008-06-18,-0.009736903056777657,0.0,-0.009736903056777657,0.8917217000283976,0.8917217000283976
2008-06-19,0.0012661669906581796,0.0,0.0012661669906581796,0.8928507686098272,0.8928507686098272
2008-06-20,-0.016231845951331647,0.0,-0.016231845951331647,0.8783581524762244,0.8783581524762244
2008-06-23,-0.0009874474640227948,0.0,-0.0009874474640227948,0.877490819946058,0.877490819946058
2008-06-24,-0.0019781378572808483,0.0,-0.0019781378572808483,0.8757550221357063,0.8757550221357063
2008-06-25,0.004725719963521335,0.0,0.004725719963521335,0.8798935951269671,0.8798935951269671
2008-06-26,-0.027159839413267495,0.0,-0.027159839413267495,0.855995826382556,0.855995826382556
2008-06-27,-0.005459656749266184,0.0,-0.005459656749266184,0.8513223829917028,0.8513223829917028
2008-06-30,0.003529272445462528,0.0,0.003529272445462528,0.8543269316202009,0.8543269316202009
2008-07-01,0.0031253063548530857,0.0,0.0031253063548530857,0.8569969650087157,0.8569969650087157
2008-07-02,-0.01713653957026562,0.0,-0.01713653957026562,0.8423110026062463,0.8423110026062463
2008-07-03,0.0010300420094080387,0.0,0.0010300420094080387,0.8431786183239173,0.8431786183239173
2008-07-07,-0.010212574018701237,0.0,-0.010212574018701237,0.8345675942732981,0.8345675942732981
2008-07-08,0.017756912464483632,0.0,0.017756912464483632,0.8493869379905037,0.8493869379905037
2008-07-09,-0.01925472931072425,0.0,-0.01925472931072425,0.8330322224194316,0.8330322224194316
2008-07-10,0.004086512985880031,0.0,0.004086512985880031,0.8364364194140052,0.8364364194140052
2008-07-11,-0.011652113339475467,0.0,-0.011652113339475467,0.8266901674537281,0.8266901674537281
2008-07-14,-0.009043815454918391,0.0,-0.009043815454918391,0.8192137341408811,0.8192137341408811
2008-07-15,-0.014097347183892328,0.0,-0.014097347183892328,0.8076649937128841,0.8076649937128841
2008-07-16,0.02454786692485511,0.0,0.02454786692485511,0.827491446498412,0.827491446498412
2008-07-17,0.010003124505914007,0.0,0.010003124505914007,0.8357689464653145,0.8357689464653145
2008-07-18,0.006230237996633248,0.0,0.006230237996633248,0.8409759859119889,0.8409759859119889
2008-07-21,0.000555363054390634,0.0,0.000555363054390634,0.8414430329041941,0.8414430329041941
2008-07-22,0.011344842159394464,0.0,0.011344842159394464,0.8509890712986143,0.8509890712986143
2008-07-23,0.005412328465119076,0.0,0.005412328465119076,0.8555949036727091,0.8555949036727091
2008-07-24,-0.020753306087351264,0.0,-0.020753306087351264,0.8378384807500115,0.8378384807500115
2008-07-25,-0.00023904889466719315,0.0,-0.00023904889466719315,0.8376381963872787,0.8376381963872787
2008-07-28,-0.014664156996915922,0.0,-0.014664156996915922,0.8253549383688421,0.8253549383688421
2008-07-29,0.021352762507001577,0.0,0.021352762507001577,0.8429785463518129,0.8429785463518129
2008-07-30,0.017817415332591624,0.0,0.017817415332591624,0.8579982452286274,0.8579982452286274
2008-07-31,-0.013226583307712758,0.0,-0.013226583307712758,0.8466498599602397,0.8466498599602397
2008-08-01,-0.005282443751531862,0.0,-0.005282443751531862,0.8421774796977574,0.8421774796977574
2008-08-04,-0.009273865393398473,0.0,-0.009273865393398473,0.8343672391136888,0.8343672391136888
2008-08-05,0.02696156793746285,0.0,0.02696156793746285,0.8568630881158459,0.8568630881158459
2008-08-06,0.0044413341353304325,0.0,0.0044413341353304325,0.8606687033983994,0.8606687033983994
2008-08-07,-0.014892150728879838,0.0,-0.014892150728879838,0.8478514953397609,0.8478514953397609
2008-08-08,0.018581088979872096,0.0,0.018581088979872096,0.8636054994163866,0.8636054994163866
2008-08-11,0.010358117110207399,0.0,0.010358117110207399,0.8725508263163607,0.8725508263163607
2008-08-12,-0.010404708979717792,0.0,-0.010404708979717792,0.8634721888985267,0.8634721888985267
2008-08-13,-0.006030103948903909,0.0,-0.006030103948903909,0.858265361842481,0.858265361842481
2008-08-14,0.0075442176629456625,0.0,0.0075442176629456625,0.8647403025447875,0.8647403025447875
2008-08-15,0.004863363976164159,0.0,0.004863363976164159,0.8689458493809211,0.8689458493809211
2008-08-18,-0.013674262582993979,0.0,-0.013674262582993979,0.8570636556660837,0.8570636556660837
