date,gross_return,cost,net_return,w_bil,w_SPY,w_IEF,equity_net,equity_gross
2008-06-02,-0.003919954335131484,6.524930758726621e-06,-0.003926479265890211,0.0,0.598342451399137,0.40165754860086306,0.9994574062195491,1.0000631429489957
2008-06-03,-0.0013760417876416727,0.0,-0.0013760417876416727,0.0,0.5956742697300665,0.40432573026993346,0.998082111063623,0.9986870142740175
2008-06-04,-0.0017732667532475211,0.0,-0.0017732667532475211,0.0,0.5964296042337218,0.4035703957662783,0.9963122452390628,0.9969160757947054
2008-06-05,0.009798382346899169,0.0,0.009798382346899169,0.0,0.6024470088782977,0.3975529911217023,1.0060744935548127,1.0066842406731122
2008-06-06,-0.015787386542603504,0.0,-0.015787386542603504,0.0,0.5925650122863465,0.4074349877136535,0.9901912066344088,0.9907913274392586
2008-06-09,-0.0014826167518497593,0.0,-0.0014826167518497593,0.0,0.5948822805571217,0.4051177194428784,0.9887231325639183,0.9893223636196097
2008-06-10,-0.005374559324266744,0.0,-0.005374559324266744,0.0,0.5951189470346601,0.40488105296533994,0.9834091814326786,0.9840051918855123
2008-06-11,-0.008327007856624229,0.0,-0.008327007856624229,0.0,0.5912925718447732,0.4087074281552268,0.9752203254526123,0.9758113729217226
2008-06-12,-0.0013200097072191578,0.0,-0.0013200097072191578,0.0,0.5943301905403494,0.4056698094596505,0.9739330251563374,0.974523292437051
2008-06-13,0.006562068497132695,0.0,0.006562068497132695,0.0,0.5979149252715747,0.4020850747284253,0.9803240403790329,0.9809181810340741
2008-06-16,0.0004016968500810613,0.0,0.0004016968500810613,0.0,0.5980282366730626,0.4019717633269374,0.9807178334581119,0.9813122127775827
2008-06-17,-0.0015143268403114791,0.0,-0.0015143268403114791,0.0,0.5960494275933182,0.40395057240668175,0.9792327061201341,0.9798261853550482
2008-06-18,-0.003603455253058516,0.0,-0.003603455253058516,0.0,0.5923795455564316,0.40762045444356854,0.9757040848812989,0.9762954255403462
2008-06-19,-0.0016009064442195678,0.0,-0.0016009064442195678,0.0,0.5940804531038961,0.4059195468961038,0.974142073924161,0.9747324679021365
2008-06-20,-0.007770394347720046,0.0,-0.007770394347720046,0.0,0.5890079581562505,0.41099204184374954,0.9665726058590643,0.9671584122430105
2008-06-23,-0.000761876196605467,0.0,-0.000761876196605467,0.0,0.5888807134678333,0.41111928653216673,0.9658361971983693,0.9664215572703757
2008-06-24,0.001021126383023357,0.0,0.001021126383023357,0.0,0.5871170122111147,0.4128829877888852,0.9668224380210075,0.967408395819627
2008-06-25,0.0027259986718510365,0.0,0.0027259986718510365,0.0,0.5882872908079798,0.41171270919202013,0.9694579947029687,0.9700455498217689
2008-06-26,-0.013704645644423984,0.0,-0.013704645644423984,0.0,0.5802352585309781,0.4197647414690219,0.9561719164184106,0.9567514193025112
2008-06-27,-0.0011035787573085115,0.0,-0.0011035787573085115,0.0,0.5777057257528583,0.4222942742471418,0.9551167054031163,0.9556955687601442
2008-06-30,0.0023253058844641943,0.0,0.0023253058844641943,0.0,0.5783988705815826,0.4216011294184173,0.9573376438985401,0.9579178532899384
2008-07-01,0.00121956429291734,2.5241412846467998e-05,0.001194322880070872,0.0,0.6049692373511014,0.39503076264889847,0.9584810141506013,0.9590860956993589
2008-07-02,-0.009391570015728786,0.0,-0.009391570015728786,0.0,0.600255588742893,0.399744411257107,0.9494793725974592,0.9500787714804864
2008-07-03,0.0007671820104773741,0.0,0.0007671820104773741,0.0,0.6004206754841949,0.3995793245158051,0.9502077960914352,0.9508076548225026
2008-07-07,-0.004246503512172779,0.0,-0.004246503512172779,0.0,0.596833665064991,0.4031663349350089,0.9461727353480389,0.946770046776898
2008-07-08,0.011603042916099121,0.0,0.011603042916099121,0.0,0.6004634805742435,0.3995365194257567,0.9571512182023252,0.9577554602613275
2008-07-09,-0.009648676133943912,0.0,-0.009648676133943912,0.0,0.5946475404589786,0.4053524595410214,0.947915976086681,0.9485143880097495
2008-07-10,0.002573375539163713,0.0,0.002573375539163713,0.0,0.5955487536637961,0.40445124633620383,0.9503553198727249,0.9509552717343986
2008-07-11,-0.010747634795554139,0.0,-0.010747634795554139,0.0,0.5949874112469304,0.4050125887530695,0.9401412479687208,0.9407347517668904
2008-07-14,-0.0031452587877675896,0.0,-0.0031452587877675896,0.0,0.5915094447059894,0.40849055529401057,0.9371842604468044,0.9377758975219371
2008-07-15,-0.006872252815443924,0.0,-0.006872252815443924,0.0,0.587199187474113,0.41280081252588696,0.9307436932743591,0.9313312644699365
2008-07-16,0.010638945847213126,0.0,0.010638945847213126,0.0,0.5952756827020141,0.40472431729798586,0.9406458250247401,0.9412396473584487
2008-07-17,0.004029487742853532,0.0,0.004029487742853532,0.0,0.5988221225086474,0.4011778774913526,0.9444361458470436,0.9450323609805673
2008-07-18,0.002366755956216031,0.0,0.002366755956216031,0.0,0.6011371018569668,0.3988628981430331,0.9466713957204927,0.9472690219497348
2008-07-21,0.0012510671237028427,0.0,0.0012510671237028427,0.0,0.6007208590613525,0.39927914093864747,0.9478557451806287,0.9484541190803983
2008-07-22,0.005492232177151595,0.0,0.005492232177151595,0.0,0.6042458202274346,0.39575417977256555,0.9530615890036077,0.9536632493117636
2008-07-23,0.0026329098706215116,0.0,0.0026329098706215116,0.0,0.6059198274888397,0.39408017251116034,0.9555709142686055,0.9561741586941255
2008-07-24,-0.00916327949152652,0.0,-0.00916327949152652,0.0,0.5988404912480227,0.40115950875197726,0.9468147509071888,0.947412467635436
2008-07-25,-0.0024730107490351003,0.0,-0.0024730107490351003,0.0,0.6001831862821856,0.3998168137178144,0.9444732678508504,0.9450695064192037
2008-07-28,-0.006497192044145697,0.0,-0.006497192044145697,0.0,0.5952564889760548,0.40474351102394523,0.9383368436490616,0.9389292083409322
2008-07-29,0.01154630221799939,0.0,0.01154630221799939,0.0,0.601021001669421,0.3989789983305791,0.9491711644281172,0.9497703687417435
2008-07-30,0.011458339085557873,0.0,0.011458339085557873,0.0,0.6047843479047043,0.3952156520952958,0.9600470894803683,0.9606531596802017
2008-07-31,-0.004847426716769719,0.0,-0.004847426716769719,0.0,0.5996889013733875,0.40031109862661246,0.9553933315694642,0.9559964638884186
2008-08-01,-0.002955431253803051,1.072303428348409e-06,-0.0029565035572313996,0.0,0.5972219074533992,0.4027780925466008,0.9525687077861239,0.9531710820605176
2008-08-04,-0.005818770708229704,0.0,-0.005818770708229704,0.0,0.5951428563034173,0.40485714369658266,0.9470259288916818,0.9476247980882923
2008-08-05,0.013933478904097837,0.0,0.013933478904097837,0.0,0.6027645398520785,0.3972354601479215,0.9602212946935278,0.9608285082214555
2008-08-06,0.0028199734377304547,0.0,0.0028199734377304547,0.0,0.6037433348603122,0.3962566651396879,0.9629290932389067,0.9635380190928543
2008-08-07,-0.005288696751606467,0.0,-0.005288696751606467,0.0,0.5979103136194005,0.40208968638059955,0.9578364532714667,0.9584421587012286
2008-08-08,0.010948357276235835,0.0,0.010948357276235835,0.0,0.6024366686258658,0.3975633313741342,0.9683231889740853,0.9689355258832965
2008-08-11,0.004305993686074419,0.0,0.004305993686074419,0.0,0.6060672532721504,0.39393274672784967,0.9724927825118871,0.973107756139963
2008-08-12,-0.0035753276331459555,0.0,-0.0035753276331459555,0.0,0.601912316586843,0.398087683413157,0.9690158021935373,0.9696285770894072
2008-08-13,-0.0044885867056646996,0.0,-0.0044885867056646996,0.0,0.6009772774044245,0.39902272259557536,0.9646662907462324,0.9652763151488511
2008-08-14,0.005770452124814811,0.0,0.005770452124814811,0.0,0.6020476100476208,0.39795238995237936,0.9702328513934062,0.9708463959126352
