date,gross_return,cost,net_return,w_bil,w_SPY,w_EFA,w_EEM,w_IEF,w_TLT,w_GLD,w_DBC,w_VNQ,w_BIL,equity_net,equity_gross
2008-06-02,6.274289380957986e-06,0.0005,-0.000493725710619042,0.4415993855006108,0.037795557201179594,0.03813308804131598,0.04732388829125174,0.17756134649187172,0.06067184157992688,0.06011199920558592,0.08721911816021052,0.04958377552804692,0.4415993855006108,0.999506274289381,1.000006274289381
2008-06-03,-0.002256018641830446,0.0,-0.002256018641830446,0.44259750172000284,0.037660080085910236,0.038138720505678965,0.04657423932422892,0.17889793939834833,0.06124672779203731,0.05950812301677093,0.08535264292485381,0.0500240252321686,0.44259750172000284,0.9972513695019577,0.9977502414926367
2008-06-04,-0.0031152252152152776,0.0,-0.0031152252152152776,0.44388320486483707,0.037758575962049616,0.03803562115688846,0.046312377574345094,0.17880401895951048,0.0608908664625428,0.05953598169947161,0.08433881483988818,0.05044053848046673,0.44388320486483707,0.9941447068897773,0.9946420247818517
2008-06-05,0.005485807637106481,0.0,0.005485807637106481,0.4411723017451397,0.038303519324388344,0.03845597675909605,0.047525182633515024,0.1768953480608928,0.06019586557183149,0.05907449421114512,0.08706233848974702,0.051314973204244475,0.4411723017451397,0.9995983935152222,1.0000984395975872
2008-06-06,0.00024969723659406737,0.0,0.00024969723659406737,0.44116540417852523,0.03707318822641642,0.037342182598982414,0.04579259950406594,0.17839546581293744,0.060960924268763504,0.06084375784951936,0.0892699948274158,0.049156482733374064,0.44116540417852523,0.9998479904717866,1.0003481614142766
2008-06-09,-0.0019475863359672309,0.0,-0.0019475863359672309,0.4422228575453268,0.03723576610031063,0.03736502906478156,0.04576500576297456,0.17746473309626182,0.06108036318434233,0.06023053560672251,0.09035912233892826,0.048276587300351476,0.4422228575453268,0.9979007001874994,0.9983998970038962
2008-06-10,-0.005052972098205124,0.0,-0.005052972098205124,0.44475749440599704,0.037238414146204935,0.03691739831996612,0.04493603865548906,0.17730313495470892,0.060991209998491315,0.0588574490140419,0.09045433876344823,0.048544521741652635,0.44475749440599704,0.9928583357926727,0.9933550101814846
2008-06-11,0.002251335464976073,0.0,0.002251335464976073,0.4440489037775774,0.03660815808112443,0.03636523363052839,0.04416422376700183,0.17708816852730763,0.06071248195976,0.05973432896791791,0.09357723496788374,0.047701266320898716,0.4440489037775774,0.9950935929757398,0.9955913855452179
2008-06-12,-0.0026832743820047597,0.0,-0.0026832743820047597,0.44495205552439804,0.0368463792236286,0.03633654642255167,0.0445412168834216,0.17601159325334204,0.06026671266256469,0.058917607803908006,0.09380752138634736,0.04832036683983788,0.44495205552439804,0.992423483830011,0.9929199406854398
2008-06-13,0.0014012694602184733,0.0,0.0014012694602184733,0.4446206634491483,0.03726010205713849,0.03661919557547893,0.044959700315922446,0.17535742462643544,0.060054078976370114,0.058993326952257584,0.09307861318160691,0.049056894865641715,0.4446206634491483,0.9938141365495057,0.9943112890747643
2008-06-16,0.00177422468322109,0.0,0.00177422468322109,0.44383412456217264,0.037216041327070806,0.036741026309528496,0.04503271959366991,0.17506752520802432,0.05996136112499264,0.059698579098931094,0.09282872783654615,0.04961989493906395,0.44383412456217264,0.9955773861211059,0.9960754207066461
2008-06-17,0.00043570621553745,0.0,0.00043570621553745,0.4435456549711915,0.03701973043527538,0.03683603587883551,0.04520382973353976,0.17558231272914598,0.06005680258510155,0.05983735472950457,0.09372582311479746,0.048192455822608254,0.4435456549711915,0.9960111653762873,0.996509416958592
2008-06-18,0.0020465941293550446,0.0,0.0020465941293550446,0.4428321373107676,0.03658436276624904,0.03645892125012594,0.04489272151220993,0.17617852508761533,0.06043871159051071,0.06042002724478373,0.0948097761879849,0.047384817049752836,0.4428321373107676,0.9980495959801184,0.9985488672811864
2008-06-19,-0.002440994727575043,0.0,-0.002440994727575043,0.4438187245119194,0.03672029689073394,0.03647750706345129,0.045072464875235065,0.1755910785127466,0.06022904477637692,0.06066388887736802,0.09282550688755976,0.048601487604608994,0.4438187245119194,0.9956133621784725,0.996111414760927
2008-06-20,-0.001593572499660882,0.0,-0.001593572499660882,0.4447217454733186,0.036181985354749494,0.03573770313612324,0.043670766504266004,0.17668765382896692,0.060676674891079925,0.0611250367540288,0.09361414143858131,0.04758429261888573,0.4447217454733186,0.99402678010421,0.9945240390037657
2008-06-23,-0.0016630704828895994,0.0,-0.0016630704828895994,0.4454622938263534,0.0362064481063924,0.03579213917355196,0.04387101428932503,0.17690006915752066,0.06090623927141518,0.05994653033829433,0.09443278318103894,0.04648248265610803,0.4454622938263534,0.9923736435070168,0.9928700754299744
2008-06-24,0.0012305711789020444,0.0,0.0012305711789020444,0.4449147760839088,0.03609041344213419,0.03558643963813407,0.043622831603269956,0.17762158531391328,0.06123692844457872,0.06013409676689062,0.09433808015177472,0.04645484855539562,0.4449147760839088,0.9935948299114186,0.9940918727291929
2008-06-25,0.0018904736266776511,0.0,0.0018904736266776511,0.44417188272451713,0.03619252670730905,0.03589856885318784,0.044412364608695284,0.17726592914737996,0.06114833913287745,0.05998628671652472,0.09379770171179419,0.04712640039771423,0.44417188272451713,0.9954731947329694,0.995971177197082
2008-06-26,0.0017222185382940896,0.0,0.0017222185382940896,0.4434087472285163,0.03514904967731999,0.03492877809574838,0.04281484661518022,0.17795778405267923,0.06145408726124354,0.06206839459688334,0.09674287197218563,0.04547544050024327,0.4434087472285163,0.9971876171233134,0.9976864572220574
2008-06-27,0.0025898607514539106,0.0,0.0025898607514539106,0.44245527734103063,0.03486679192107504,0.03493061240921008,0.04311710082800687,0.17837010645169904,0.062014021135882016,0.062495545270980536,0.09674747589815712,0.0450030687439587,0.44245527734103063,0.9997701941947368,1.0002703262198738
2008-06-30,-0.0011961274031405968,0.0,-0.0011961274031405968,0.44269737506465867,0.03503187926600941,0.03518262114678925,0.04349581916677875,0.1787060786864747,0.06210187616782431,0.06252273679225422,0.09514270885960802,0.0451189048496027,0.44269737506465867,0.9985743416686172,0.9990738754721338
2008-07-01,-0.0014505062174030602,0.0001348317197824209,-0.0015853379371854812,0.4870577380835773,0.0,0.0,0.05500458291924837,0.17466217878691567,0.12246049011222726,0.08180752039357403,0.07900748970445738,0.0,0.4870577380835773,0.9969912638816699,0.9976247126041164
2008-07-02,0.0014506694101447432,0.0,0.0014506694101447432,0.4863522450119414,0.0,0.0,0.05335917938608238,0.17482804576799926,0.12292266267928506,0.08213863485304819,0.08039923230164377,0.0,0.4863522450119414,0.9984375686103647,0.9990719362574958
2008-07-03,-0.0013728978081928257,0.0,-0.0013728978081928257,0.48702066196112304,0.0,0.0,0.0532798433578359,0.17512810861837033,0.12282472334855418,0.08127160085496148,0.08047506185915518,0.0,0.48702066196112304,0.9970668158608021,0.9977003125859809
