version,dropped,cagr,sharpe,max_drawdown,avg_bil_weight
base_12m_equal,SPY,0.039612837739238405,0.6072817632891954,-0.10784487956885769,0.417268162458341
ensemble_equal,SPY,0.04126021368808552,0.6761556893975376,-0.08620117847348574,0.42089224202545344
ensemble_risk_balanced,SPY,0.03877561863802237,0.7460951734718296,-0.07504387886276209,0.4103842433959
base_12m_equal,EFA,0.048996426829853945,0.7347234210664786,-0.11252868874956157,0.387062775882654
ensemble_equal,EFA,0.0480716142790496,0.7902068353056969,-0.09350386710230507,0.399286549378671
ensemble_risk_balanced,EFA,0.04495135612688661,0.8667103951480911,-0.0787516529068043,0.3895862562784124
base_12m_equal,EEM,0.04840753107705331,0.7421051176222085,-0.12401441254915546,0.3814269224066504
ensemble_equal,EEM,0.04768870387040858,0.8097113066998464,-0.08947179177157549,0.3921933091315264
ensemble_risk_balanced,EEM,0.045068462071355286,0.874330081535781,-0.07882036863056596,0.3824170477791826
base_12m_equal,IEF,0.04942096498920345,0.6395440412871488,-0.12764805461238127,0.3837700453571579
ensemble_equal,IEF,0.05063504598830981,0.7101447467802005,-0.10923735884901709,0.3915141584907866
ensemble_risk_balanced,IEF,0.05400703401236351,0.779135763019669,-0.11117568705086389,0.3768193420404395
base_12m_equal,TLT,0.04913280185363189,0.6316127320862047,-0.1396910136644357,0.376020223237
ensemble_equal,TLT,0.049598025942899415,0.6948840511614915,-0.11077017577384496,0.3851565470097978
ensemble_risk_balanced,TLT,0.04597945056945907,0.8002005489982134,-0.09023788291622892,0.37391406116052317
base_12m_equal,GLD,0.04387885360240085,0.6248687408833314,-0.11671974168620736,0.38991731102038435
ensemble_equal,GLD,0.044525372981923494,0.692437701592968,-0.0992255366400161,0.3993885345537436
ensemble_risk_balanced,GLD,0.04096979110910448,0.764670685182027,-0.08423002389384038,0.3884040047613746
base_12m_equal,DBC,0.05190201317475496,0.7191657831727984,-0.12401441254915546,0.36417876817899614
ensemble_equal,DBC,0.05113504905588595,0.7769882880129886,-0.1052647228740784,0.3789208439269911
ensemble_risk_balanced,DBC,0.049669440596886716,0.8886489790779221,-0.09021615578766617,0.366597802051753
base_12m_equal,VNQ,0.04832662340034677,0.7305466109868841,-0.10784487956885769,0.39498008999981904
ensemble_equal,VNQ,0.04764283564562266,0.7733706559901962,-0.08182705192815987,0.4032087633110888
ensemble_risk_balanced,VNQ,0.04511121930198114,0.8580896004686711,-0.07249575968844679,0.3921208410134949
