window,start,strategy,sample_years,n_days,n_rebalances,annual_return,sharpe,max_drawdown,turnover,total_fees,cand_mean,cand_median,cand_p10,cand_p90,cand_min,cand_max
full_original,2005-02-23,MOM_12m,20.66,5207,991,0.02887278617103428,0.29300659935092443,-0.3259794810187123,98.0,0.0196,18.460815047021942,12.0,3.0,38.0,2.0,39.0
full_original,2005-02-23,equal_weight_pool,20.66,5207,991,0.053493768283965126,0.2802750786211966,-0.7123287671232876,78.3951543689319,0.01567903087378638,18.460815047021942,12.0,3.0,38.0,2.0,39.0
full_original,2005-02-23,mom_plus_shares,20.66,5207,991,0.020993685313706045,0.22802200524188554,-0.36595213085584666,193.7,0.03874,18.460815047021942,12.0,3.0,38.0,2.0,39.0
full_original,2005-02-23,restricted_mom_shares,20.66,5207,709,0.03482930951287955,0.35661276463390423,-0.45484652240628287,191.4,0.03828,16.687853107344633,11.0,2.0,37.30000000000007,1.0,39.0
full_original,2005-02-23,restricted_mom_shares_mbr,20.66,5207,709,0.022878210335725235,0.24877538441294747,-0.39601335064109067,185.5,0.0371,16.687853107344633,11.0,2.0,37.30000000000007,1.0,39.0
full_original,2005-02-23,restricted_mom_shares_both_m,20.66,5207,709,0.016899351757725167,0.17445814733574086,-0.4173776188454039,189.29999999999998,0.03786,16.687853107344633,11.0,2.0,37.30000000000007,1.0,39.0
full_original,2005-02-23,C1_research_partial,20.66,5207,991,0.03368258835628102,0.4474789482322546,-0.1953334245217323,166.70000000000002,0.03334,18.460815047021942,12.0,3.0,38.0,2.0,39.0
after_med10_1y,2019-02-19,MOM_12m,7.16,1805,361,0.021061528182915845,0.14513938163221252,-0.32597948101871166,59.5,0.0119,29.066481994459835,35.0,12.0,38.0,11.0,39.0
after_med10_1y,2019-02-19,equal_weight_pool,7.16,1805,361,0.02913692362897269,0.2820260085629659,-0.3184584592951233,47.354333245610775,0.009470866649122155,29.066481994459835,35.0,12.0,38.0,11.0,39.0
after_med10_1y,2019-02-19,mom_plus_shares,7.16,1805,361,0.028943579254017582,0.2067829544364195,-0.3659521308558462,120.4,0.02408,29.066481994459835,35.0,12.0,38.0,11.0,39.0
after_med10_1y,2019-02-19,restricted_mom_shares,7.16,1805,361,0.023652039270964265,0.15813098588599778,-0.44782605665662123,119.2,0.02384,29.01108033240997,34.0,12.0,38.0,11.0,39.0
after_med10_1y,2019-02-19,restricted_mom_shares_mbr,7.16,1805,361,0.05027527263134912,0.391001174964016,-0.43166101179755556,119.80000000000001,0.023960000000000002,29.01108033240997,34.0,12.0,38.0,11.0,39.0
after_med10_1y,2019-02-19,restricted_mom_shares_both_m,7.16,1805,361,0.07421909317947084,0.4926563169144616,-0.318903423452745,122.70000000000002,0.024540000000000006,29.01108033240997,34.0,12.0,38.0,11.0,39.0
after_med10_1y,2019-02-19,C1_research_partial,7.16,1805,361,0.05786628872265309,0.550264031584481,-0.19533342452173375,105.1,0.02102,29.066481994459835,35.0,12.0,38.0,11.0,39.0
after_med20_1y,2021-07-07,MOM_12m,4.86,1225,245,-0.014453664383001552,-0.0945862814732322,-0.32597948101871244,42.1,0.00842,35.55102040816327,37.0,31.0,38.599999999999994,27.0,39.0
after_med20_1y,2021-07-07,equal_weight_pool,4.86,1225,245,0.010270270561313799,0.0899355940667359,-0.3184584592951243,36.2543221948591,0.00725086443897182,35.55102040816327,37.0,31.0,38.599999999999994,27.0,39.0
after_med20_1y,2021-07-07,mom_plus_shares,4.86,1225,245,-0.012263685854717488,-0.07909512096758299,-0.36284323772339555,89.4,0.017880000000000004,35.55102040816327,37.0,31.0,38.599999999999994,27.0,39.0
after_med20_1y,2021-07-07,restricted_mom_shares,4.86,1225,245,-0.035796907966621716,-0.2171498012857389,-0.447826056656621,92.6,0.01852,35.51020408163265,37.0,31.0,38.0,27.0,39.0
after_med20_1y,2021-07-07,restricted_mom_shares_mbr,4.86,1225,245,0.01305747183886119,0.09028962056340022,-0.4316610117975559,92.5,0.018500000000000003,35.51020408163265,37.0,31.0,38.0,27.0,39.0
after_med20_1y,2021-07-07,restricted_mom_shares_both_m,4.86,1225,245,0.05440382519630482,0.3213207692289604,-0.31890342345274403,92.80000000000001,0.018560000000000004,35.51020408163265,37.0,31.0,38.0,27.0,39.0
after_med20_1y,2021-07-07,C1_research_partial,4.86,1225,245,0.02368134152270529,0.20582700873626036,-0.1920716258050722,76.6,0.01532,35.55102040816327,37.0,31.0,38.599999999999994,27.0,39.0
from_2020,2020-01-01,MOM_12m,6.31,1590,318,0.035449144395194976,0.23439540175631032,-0.32597948101871277,52.5,0.0105,31.39937106918239,35.0,14.700000000000003,38.0,12.0,39.0
from_2020,2020-01-01,equal_weight_pool,6.31,1590,318,0.027237737185366928,0.2550017988387958,-0.31845845929512506,44.954333245610776,0.008990866649122155,31.39937106918239,35.0,14.700000000000003,38.0,12.0,39.0
from_2020,2020-01-01,mom_plus_shares,6.31,1590,318,0.02072360724045863,0.14269764836106533,-0.36595213085584566,107.00000000000001,0.021400000000000002,31.39937106918239,35.0,14.700000000000003,38.0,12.0,39.0
from_2020,2020-01-01,restricted_mom_shares,6.31,1590,318,0.020540115617911248,0.12984268590676457,-0.44782605665662045,108.00000000000001,0.021600000000000005,31.342767295597483,35.0,14.700000000000003,38.0,12.0,39.0
from_2020,2020-01-01,restricted_mom_shares_mbr,6.31,1590,318,0.04419297304090608,0.32599610248333794,-0.43166101179755567,108.5,0.0217,31.342767295597483,35.0,14.700000000000003,38.0,12.0,39.0
from_2020,2020-01-01,restricted_mom_shares_both_m,6.31,1590,318,0.07327544586954327,0.46823805324401935,-0.3189034234527447,109.5,0.0219,31.342767295597483,35.0,14.700000000000003,38.0,12.0,39.0
from_2020,2020-01-01,C1_research_partial,6.31,1590,318,0.0383236616432745,0.3541545015389124,-0.1953334245217334,93.69999999999999,0.01874,31.39937106918239,35.0,14.700000000000003,38.0,12.0,39.0
from_2022,2022-01-01,MOM_12m,4.38,1104,221,0.0328982980160355,0.21566524851109709,-0.19949307166784702,39.6,0.00792,36.33181818181818,37.0,33.0,39.0,31.0,39.0
from_2022,2022-01-01,equal_weight_pool,4.38,1104,221,0.039840291317446264,0.3181836497707342,-0.2567844676201426,34.321352323983916,0.006864270464796784,36.33181818181818,37.0,33.0,39.0,31.0,39.0
from_2022,2022-01-01,mom_plus_shares,4.38,1104,221,0.033278355610720345,0.2102014014454832,-0.2835735153507639,88.1,0.01762,36.33181818181818,37.0,33.0,39.0,31.0,39.0
from_2022,2022-01-01,restricted_mom_shares,4.38,1104,221,0.004775273678793601,0.030282266011691837,-0.33650606493440216,82.5,0.0165,36.29545454545455,37.0,33.0,39.0,31.0,39.0
from_2022,2022-01-01,restricted_mom_shares_mbr,4.38,1104,221,0.0821618782374256,0.36335089987136054,-0.23143320656958766,82.8,0.016560000000000002,36.29545454545455,37.0,33.0,39.0,31.0,39.0
from_2022,2022-01-01,restricted_mom_shares_both_m,4.38,1104,221,0.028897737632629372,0.18741161441997722,-0.2927388511662733,84.4,0.016880000000000003,36.29545454545455,37.0,33.0,39.0,31.0,39.0
from_2022,2022-01-01,C1_research_partial,4.38,1104,221,0.06518152972065527,0.5433083644354286,-0.18962460450723762,70.3,0.01406,36.33181818181818,37.0,33.0,39.0,31.0,39.0
frozen_oos,2025-05-01,MOM_12m,1.19,300,60,0.15588463916377182,0.9906089751012275,-0.14033944302796175,8.9,0.0017800000000000001,38.416666666666664,38.0,38.0,39.0,38.0,39.0
frozen_oos,2025-05-01,equal_weight_pool,1.19,300,60,0.1637861669471381,1.8968246985357264,-0.06036065031662263,7.300000000000004,0.001460000000000001,38.416666666666664,38.0,38.0,39.0,38.0,39.0
frozen_oos,2025-05-01,mom_plus_shares,1.19,300,60,0.21377259474557708,1.3432550984235496,-0.10931959841760674,18.8,0.0037600000000000003,38.416666666666664,38.0,38.0,39.0,38.0,39.0
frozen_oos,2025-05-01,restricted_mom_shares,1.19,300,60,0.22147926160074527,1.4342597197669837,-0.10931959841760697,19.800000000000004,0.003960000000000001,38.38333333333333,38.0,38.0,39.0,38.0,39.0
frozen_oos,2025-05-01,restricted_mom_shares_mbr,1.19,300,60,0.3967712435480506,2.3913236247877627,-0.09057276977706163,19.5,0.0039000000000000003,38.38333333333333,38.0,38.0,39.0,38.0,39.0
frozen_oos,2025-05-01,restricted_mom_shares_both_m,1.19,300,60,0.41321204265632017,2.155187474833165,-0.12833586694225207,18.2,0.00364,38.38333333333333,38.0,38.0,39.0,38.0,39.0
frozen_oos,2025-05-01,C1_research_partial,1.19,300,60,-0.07081566760862257,-0.2556117026482647,-0.26482368768988007,20.4,0.00408,38.416666666666664,38.0,38.0,39.0,38.0,39.0
