kind,label,start,end,n_days,shares_vs_mom12,mbr_vs_rest_shares,both_m_vs_rest_shares,c1_vs_mom12,c1_vs_ew
roll_2y,2y_2015-04-03_2017-04-26,2015-04-03,2017-04-26,504,-0.019206436122372654,-0.03227677427384429,-0.014932664615870287,-0.051205378709504604,-0.04763766648989018
roll_2y,2y_2015-07-06_2017-07-27,2015-07-06,2017-07-27,504,-0.03350550223224345,0.022990650104460005,0.03394834466685469,-0.0355890006977226,-0.02852065816751858
roll_2y,2y_2015-10-12_2017-10-31,2015-10-12,2017-10-31,504,-0.04735034532189213,0.009388890115098119,0.007902340627203651,-0.06989885742705522,-0.010096498122365613
roll_2y,2y_2016-01-08_2018-01-29,2016-01-08,2018-01-29,504,-0.0544520877726838,-0.006473468348847242,0.005328492804307345,-0.0815303706308731,-0.010468181621717278
roll_2y,2y_2016-04-14_2018-05-09,2016-04-14,2018-05-09,504,-0.016385772295775525,-0.038013833432859516,-0.01871446864285523,-0.07151729378911104,-0.005962186097007854
roll_2y,2y_2016-07-15_2018-08-07,2016-07-15,2018-08-07,504,-0.025774926931006917,-0.018671120891636726,-0.018448133399251013,-0.0833991952127199,0.002840375119989599
roll_2y,2y_2016-10-21_2018-11-12,2016-10-21,2018-11-12,504,-0.018380867782101164,-0.018421761125750176,-0.005947140330760749,-0.09451316541765073,-0.003217228255309311
roll_2y,2y_2017-01-19_2019-02-18,2017-01-19,2019-02-18,504,-0.030372591183702502,0.003799809559434545,0.009569257429023866,-0.05899067414121266,0.015777330998870777
roll_2y,2y_2017-04-27_2019-05-22,2017-04-27,2019-05-22,504,0.027345199444212133,0.015479838699224783,0.0214589164413222,0.015254596378481967,0.05278600896607928
roll_2y,2y_2017-07-28_2019-08-20,2017-07-28,2019-08-20,504,0.04359196992635075,-0.03491791178426695,-0.03369671205912615,0.002690145098733228,0.030402531125176775
roll_2y,2y_2017-11-01_2019-11-25,2017-11-01,2019-11-25,504,0.07560316652776705,-0.03196078506728338,-0.0009348351561447536,0.056820033466615454,0.029303403715297032
roll_2y,2y_2018-01-30_2020-03-02,2018-01-30,2020-03-02,504,0.10529471484841753,-0.013004359009815943,-0.007513073536379285,0.09469685662006443,0.05133861136996064
roll_2y,2y_2018-05-10_2020-06-03,2018-05-10,2020-06-03,504,0.05585920980407721,0.028287945691328788,0.008335760833982804,0.0743466515648736,0.04887159692544053
roll_2y,2y_2018-08-08_2020-09-02,2018-08-08,2020-09-02,504,0.05260646240352648,0.011505305962077139,-0.004802359620969431,0.083481557689322,0.05679588517860967
roll_2y,2y_2018-11-13_2020-12-08,2018-11-13,2020-12-08,504,0.04329352452011824,0.012886505386088223,-0.0037150204123963535,0.07006353272118883,0.055209953894917466
