bin,n_days,cand_mean,MOM_12m_ann,mom_plus_shares_ann,restricted_mom_shares_ann,restricted_mom_shares_mbr_ann,restricted_mom_shares_both_m_ann,C1_research_partial_ann,equal_weight_pool_ann,shares_vs_mom12,mbr_vs_rest_shares,both_m_vs_rest_shares,c1_vs_mom12,c1_vs_ew,top2_over_cand_mean
<=5,920,3.152173913043478,0.09253051701954368,0.032896042970859796,0.07155316191491629,0.06023694430234573,0.06081832915920585,0.056839161496327444,0.07219669249434482,-0.0596344740486839,-0.011316217612570545,-0.010734832755710425,-0.03569135552321624,-0.015357530998017371,0.6775362318840579
6-10,460,7.543478260869565,0.06931519960560695,0.06012274013520164,0.036096034414925676,0.03573851125629258,0.042059819356886095,0.023185069055305513,-0.008186568770228766,-0.009192459470405314,-0.0003575231586331073,0.005963784941960417,-0.046130130550301435,0.03137163782553428,0.2772688060731539
11-20,495,13.545454545454545,0.09999159008851154,0.13567896724138254,0.14143740957985743,0.13127148276752287,0.12351354234500929,0.1700624697805222,0.09360784996062836,0.03568737715287099,-0.01016592681233455,-0.017923867234848134,0.07007087969201066,0.07645461981989383,0.15235067372228453
21-30,210,27.11904761904762,0.038493900373510255,-0.023800826317301644,0.09527068807914686,0.12139635744122768,0.05402480258743365,0.06320965081472253,0.0024512519320533713,-0.0622947266908119,0.026125669362080824,-0.04124588549171321,0.024715750441212263,0.06075839888266919,0.07431028164197294
>30,1105,36.30769230769231,-0.000503212494966527,0.009148764789386213,-0.025145161581194817,0.015084332005372174,0.07051629445973076,0.024270403243640923,0.016787330699673433,0.009651977284352728,0.040229493586567,0.09566145604092556,0.02477361573860746,0.007483072543967524,0.05527965574907378
