min_cand,strategy,sample_years,n_days,n_rebalances_approx,annual_return,sharpe,max_drawdown,turnover,total_fees,n_rebalances
5,mom_plus_shares,20.66,5207,1042,0.00628310049313785,0.07830478150370226,-0.36595213085584566,107.0,0.021400000000000002,318
5,restricted_mom_shares_mbr,20.66,5207,1042,0.013292575290169362,0.17744716555653717,-0.43166101179755567,108.50000000000001,0.021700000000000004,318
5,restricted_mom_shares_both_m,20.66,5207,1042,0.021828270567460617,0.2523771981850937,-0.3189034234527447,109.49999999999999,0.0219,318
5,C1_research_partial,20.66,5207,1042,0.01154996402141606,0.19315234393650968,-0.1953334245217334,93.69999999999999,0.01874,318
5,MOM_12m,20.66,5207,1042,0.010694016588091992,0.12797292499277818,-0.32597948101871277,52.50000000000001,0.010500000000000002,318
10,mom_plus_shares,20.66,5207,1042,0.00628310049313785,0.07830478150370226,-0.36595213085584566,107.0,0.021400000000000002,318
10,restricted_mom_shares_mbr,20.66,5207,1042,0.013292575290169362,0.17744716555653717,-0.43166101179755567,108.50000000000001,0.021700000000000004,318
10,restricted_mom_shares_both_m,20.66,5207,1042,0.021828270567460617,0.2523771981850937,-0.3189034234527447,109.49999999999999,0.0219,318
10,C1_research_partial,20.66,5207,1042,0.01154996402141606,0.19315234393650968,-0.1953334245217334,93.69999999999999,0.01874,318
10,MOM_12m,20.66,5207,1042,0.010694016588091992,0.12797292499277818,-0.32597948101871277,52.50000000000001,0.010500000000000002,318
