date,gross_return,cost,net_return,equity,exposure
2015-01-02,0.0,0.0,0.0,1.0,0.0
2015-01-05,0.0,0.0,0.0,1.0,0.0
2015-01-06,0.0,0.0,0.0,1.0,0.0
2015-01-07,0.0,0.0,0.0,1.0,0.0
2015-01-08,0.0,0.0,0.0,1.0,0.0
2015-01-09,0.0,0.0,0.0,1.0,0.0
2015-01-12,0.0,0.0,0.0,1.0,0.0
2015-01-13,0.0,0.0,0.0,1.0,0.0
2015-01-14,0.0,0.0,0.0,1.0,0.0
2015-01-15,0.0,0.0,0.0,1.0,0.0
2015-01-16,0.0,0.0,0.0,1.0,0.0
2015-01-20,0.0,0.0,0.0,1.0,0.0
2015-01-21,0.0,0.0,0.0,1.0,0.0
2015-01-22,0.0,0.0,0.0,1.0,0.0
2015-01-23,0.0,0.0,0.0,1.0,0.0
2015-01-26,0.0,0.0,0.0,1.0,0.0
2015-01-27,0.0,0.0,0.0,1.0,0.0
2015-01-28,0.0,0.0,0.0,1.0,0.0
2015-01-29,0.0,0.0,0.0,1.0,0.0
2015-01-30,0.0,0.0,0.0,1.0,0.0
2015-02-02,0.0,0.0,0.0,1.0,0.0
2015-02-03,0.0,0.0,0.0,1.0,0.0
2015-02-04,0.0,0.0,0.0,1.0,0.0
2015-02-05,0.0,0.0,0.0,1.0,0.0
2015-02-06,0.0,0.0,0.0,1.0,0.0
2015-02-09,0.0,0.0,0.0,1.0,0.0
2015-02-10,0.0,0.0,0.0,1.0,0.0
2015-02-11,0.0,0.0,0.0,1.0,0.0
2015-02-12,0.0,0.0,0.0,1.0,0.0
2015-02-13,0.0,0.0,0.0,1.0,0.0
2015-02-17,0.0,0.0,0.0,1.0,0.0
2015-02-18,0.0,0.0,0.0,1.0,0.0
2015-02-19,0.0,0.0,0.0,1.0,0.0
2015-02-20,0.0,0.0,0.0,1.0,0.0
2015-02-23,0.0,0.0,0.0,1.0,0.0
2015-02-24,0.0,0.0,0.0,1.0,0.0
2015-02-25,0.0,0.0,0.0,1.0,0.0
2015-02-26,0.0,0.0,0.0,1.0,0.0
2015-02-27,0.0,0.0005,-0.0005,0.9995,1.0
2015-03-02,0.004322576033833991,0.0,0.004322576033833991,1.003820414745817,1.0
2015-03-03,-0.0062468734234880415,0.0,-0.0062468734234880415,0.9975496756749865,1.0
2015-03-04,-0.00753688622599753,0.0,-0.00753688622599753,0.9900312572646434,1.0
2015-03-05,0.0041164985558437735,0.0,0.0041164985558437735,0.9941067195054134,1.0
2015-03-06,-0.017577419507097503,0.0,-0.017577419507097503,0.9766328886618423,1.0
2015-03-09,0.00649525550137673,2.222220102945996e-06,0.006493033281273784,0.9829741985115102,0.995555559794108
2015-03-10,-0.016173628147187945,1.5555487738715818e-06,-0.016175183695961815,0.9670744102821958,0.9986666573418512
2015-03-11,-0.00668168519635556,1.8111112382676875e-05,-0.006699796308738237,0.9605952087179118,0.9624444325764975
2015-03-12,0.010628098439829892,2.0000033908420394e-06,0.01062609843643905,0.9708025879633201,0.9584444257948134
2015-03-13,-0.0036965394520443737,1.6111119588216176e-05,-0.00371265057163259,0.9671983371801757,0.9906666649712458
2015-03-16,0.01766681283383638,6.444443596734031e-06,0.017660368390239645,0.9842794161212048,0.9777777777777776
2015-03-17,-0.008370889432163372,4.33333714803065e-06,-0.008375222769311403,0.976035856743942,0.986444452073839
2015-03-18,0.011113414439114344,5.555576748318692e-07,0.011112858881439511,0.9868824054831623,0.9853333367241752
2015-03-19,-0.0032258650278586456,7.333331637912402e-06,-0.003233198359496558,0.9836916189087381,1.0
2015-03-20,0.01062407506843166,0.0,0.01062407506843166,0.9941424325122117,1.0
2015-03-23,0.00014134735258979352,0.0,0.00014134735258979352,0.9942829519131444,1.0
2015-03-24,-0.0040752200427381265,0.0,-0.0040752200427381265,0.9902310300993552,1.0
2015-03-25,-0.014880846961096395,0.0,-0.014880846961096395,0.9754955536843178,1.0
2015-03-26,-0.003547379274946372,4.8888842264811775e-06,-0.003552268159172853,0.9720303318895503,0.9902222315470377
2015-03-27,0.001157416539979063,4.000006781684009e-06,0.001153416533197379,0.9731514877451212,0.9822222179836697
2015-03-30,0.011295374761592791,8.11111662122936e-06,0.011287263644971561,0.9841357051537966,0.9984444512261283
2015-03-31,-0.008572105155366133,0.0007995333353678386,-0.009371638490733972,0.9749127410992716,1.0
2015-04-01,0.00031171414595898604,3.222221798366981e-06,0.00030849192416061906,0.9752134938066621,0.9935555564032661
2015-04-02,0.005017382779630146,2.0000033908420394e-06,0.005015382776239304,0.9801045627666563,0.9975555631849502
2015-04-06,0.0068194163787522084,1.222218407524872e-06,0.006818194160344683,0.9867871059730391,0.9999999999999999
2015-04-07,-0.0003996535213071084,0.0,-0.0003996535213071084,0.9863927330313566,0.9999999999999999
2015-04-08,-0.0006957457444001223,0.0,-0.0006957457444001223,0.9857064544850428,0.9999999999999999
2015-04-09,0.0041966880134883585,0.0,0.0041966880134883585,0.9898431569473982,0.9999999999999999
2015-04-10,0.0029910738965067017,0.0,0.0029910738965067017,0.9928038509757793,0.9999999999999999
2015-04-13,-0.005385913734128622,0.0,-0.005385913734128622,0.987456695079513,0.9999999999999999
2015-04-14,-0.00026847776658043263,0.0,-0.00026847776658043263,0.9871915849114231,0.9999999999999999
2015-04-15,0.004396326088242341,0.0,0.004396326088242341,0.9915316010302624,0.9999999999999999
2015-04-16,0.020466638191347773,0.0,0.020466638191347773,1.0118249195638367,0.9999999999999999
2015-04-17,-0.009130762140261893,0.0,-0.009130762140261893,1.0025861868957098,0.9999999999999999
2015-04-20,0.009542307807630813,0.0,0.009542307807630813,1.0121531728947475,0.9999999999999999
2015-04-21,-0.0016243243888414802,0.0,-0.0016243243888414802,1.0105091078107713,0.9999999999999999
2015-04-22,0.0022870329617931113,0.0,0.0022870329617931113,1.0128201754485266,0.9999999999999999
2015-04-23,-0.0001653478522060767,0.0,-0.0001653478522060767,1.012652707807845,0.9999999999999999
2015-04-24,0.0002170385213806638,0.0,0.0002170385213806638,1.0128724924542198,0.9999999999999999
2015-04-27,-0.0003889173674665791,0.0,-0.0003889173674665791,1.0124785687508753,0.9999999999999999
2015-04-28,0.0039487881927163125,0.0,0.0039487881927163125,1.016476632168537,0.9999999999999999
2015-04-29,-0.0013054636178393862,0.0,-0.0013054636178393862,1.0151496589068572,0.9999999999999999
2015-04-30,-0.005810982530670206,0.0008,-0.006610982530670206,1.008438522245808,1.0
2015-05-01,0.011735617380298758,0.0,0.011735617380298758,1.0202731708944388,1.0
2015-05-04,0.006275037326469501,0.0,0.006275037326469501,1.0266754231249968,1.0
2015-05-05,-0.009584015965232529,0.0,-0.009584015965232529,1.016835749478655,1.0
2015-05-06,-0.0007119829006030812,0.0,-0.0007119829006030812,1.0161117798123045,1.0
2015-05-07,0.003548398611640602,1.6666624281141268e-06,0.0035467319492124877,1.0197156559257359,0.9966666751437718
2015-05-08,0.013385560383219145,2.2221671210388705e-07,0.013385338166507041,1.0333648948139833,0.9971111085679796
2015-05-11,-0.006789643988347456,1.4444457160102397e-06,-0.0067910884340634655,1.0263472224286447,1.0
2015-05-12,-0.0014818798532578946,0.0,-0.0014818798532578946,1.0248262991572805,1.0
2015-05-13,-0.002975367266313778,0.0,-0.002975367266313778,1.0217770645331106,1.0
2015-05-14,0.009734279132541034,0.0,0.009734279132541034,1.0317233276905042,1.0
2015-05-15,0.0005819923177144302,0.0,0.0005819923177144302,1.0323237827412268,1.0
2015-05-18,0.0020655363485336366,0.0,0.0020655363485336366,1.0344560850379345,1.0
2015-05-19,-0.006710238606889151,0.0,-0.006710238606889151,1.0275146378789817,1.0
2015-05-20,-0.0009605965497645034,0.0,-0.0009605965497645034,1.0265276108630026,1.0
2015-05-21,0.0012859409882667984,0.0,0.0012859409882667984,1.027847664793399,1.0
2015-05-22,-0.004240113645268374,0.0,-0.004240113645268374,1.0234894738846512,1.0
2015-05-26,-0.01160576427352984,0.0,-0.01160576427352984,1.0116110963143068,1.0
2015-05-27,0.006697738513485962,0.0,0.006697738513485962,1.0183866029147608,1.0
2015-05-28,-0.00263467058584963,0.0,-0.00263467058584963,1.0157034896870378,1.0
2015-05-29,-0.00830848210176489,0.0006000000000000001,-0.00890848210176489,1.0066551133284607,1.0
2015-06-01,0.0014319140677445663,0.0,0.0014319140677445663,1.0080965569466027,1.0
2015-06-02,-0.0011512195191228259,0.0,-0.0011512195191228259,1.0069360165130854,1.0
2015-06-03,-0.0008142530521988878,0.0,-0.0008142530521988878,1.0061161157882708,1.0
2015-06-04,-0.0076357091504899895,0.0,-0.0076357091504899895,0.9984337057564908,1.0
2015-06-05,-0.006660018270427704,0.0,-0.006660018270427704,0.9917841190343417,1.0
2015-06-08,-0.001160111088265148,0.0,-0.001160111088265148,0.9906335392806846,1.0
2015-06-09,0.0022398640248723514,3.222221798366981e-06,0.0022366418030739846,0.9928492316661669,0.9935555564032661
2015-06-10,0.007785972841122882,3.222221798366981e-06,0.007782750619324515,1.0005763296388126,1.0
2015-06-11,-0.0031161926654088125,0.0,-0.0031161926654088125,0.9974583410192104,1.0
2015-06-12,-0.008443987666443876,0.0,-0.008443987666443876,0.9890358150898526,1.0
2015-06-15,-0.0070099668325547485,0.0,-0.0070099668325547485,0.982102706829864,1.0
2015-06-16,0.009956210224536612,4.333337148030581e-06,0.009951876887388581,0.9918764720590059,0.991333325703939
2015-06-17,0.003999790951743965,4.333337148030511e-06,0.003995457614595935,0.9958394724620326,0.9999999999999999
2015-06-18,0.0071755747590357185,0.0,0.0071755747590357185,1.0029851930446825,0.9999999999999999
2015-06-19,-0.0047684647998207375,0.0,-0.0047684647998207375,0.9982024934569075,0.9999999999999999
2015-06-22,0.0018648364265059002,0.0,0.0018648364265059002,1.000063977827735,0.9999999999999999
2015-06-23,-0.003372964140697099,0.0,-0.003372964140697099,0.9966907978921191,0.9999999999999999
2015-06-24,-0.00472196039848023,0.0,-0.00472196039848023,0.9919844634149428,0.9999999999999999
