top_returns,portfolio_size,variant,status,gross_cagr,gross_volatility,gross_sharpe,gross_max_drawdown,net_cagr,net_volatility,net_sharpe,net_max_drawdown,cost_drag_cagr,benchmark_sharpe,realized_beta_to_spy,average_exposure,one_way_turnover,annualized_turnover,cost_total
1,15,raw,OK,0.07987422285632118,0.15051200139231788,0.5861261105433874,-0.34616353285843526,0.0684923850224406,0.1505538068293306,0.5156085689963318,-0.3467354690651332,0.011381837833880581,0.8328409822588789,0.6695654514520494,0.9869684499314128,122.56666666666668,10.65892261904762,0.12256666666666667
1,15,vol_neutral,OK,0.24788376382345323,0.24809582429353047,1.017682327492842,-0.4571934299899185,0.23597635264652195,0.24811981397688432,0.9789344110856362,-0.4580378482666445,0.011907411176931282,0.8328409822588789,1.1660793358307808,0.9722222222222221,110.96666666666667,9.650136904761904,0.11096666666666667
1,15,beta_neutral,OK,0.21048491665770763,0.22843477401578435,0.9510144000035353,-0.41235833573512937,0.1982025012883628,0.2285075034439362,0.9061228517271696,-0.41291279691234517,0.012282415369344823,0.8328409822588789,1.1543078929317796,0.9502743484224964,117.9,10.253089285714287,0.11790000000000002
1,15,beta_hedged,OK,-0.006236778267835863,0.09657598844928329,-0.016475593998087065,-0.33338374734221143,-0.019332518199242754,0.09662009312368641,-0.15371039014417065,-0.39111484621491377,0.013095739931406891,0.8328409822588789,0.0788834454519341,0.3657508884125698,127.00501888307926,11.044900749296357,0.12700501888307927
1,15,size_neutral,BLOCKED_BY_PIT_MARKET_CAP,,,,,,,,,,,,,,,
1,25,raw,OK,0.06678424377487957,0.15031963089185155,0.5055467043389069,-0.3588156687026435,0.05609419605831656,0.15035582403285339,0.4384645103327924,-0.3593636053791711,0.010690047716563011,0.8328409822588789,0.6884869215268379,0.9869684499314129,116.5,10.131339285714287,0.11649999999999999
1,25,vol_neutral,OK,0.21830762197220577,0.2375107632756409,0.9511238863188335,-0.46488976545129246,0.206892691647373,0.23753567327817585,0.9113898107191626,-0.46529402813023835,0.011414930324832762,0.8328409822588789,1.1657945218792076,0.9722222222222222,108.93999999999998,9.473889285714284,0.10894000000000001
1,25,beta_neutral,OK,0.18016274554025036,0.21764725078602673,0.8703923864658774,-0.40256621608492893,0.1687125440750321,0.21772038011822412,0.825366021081579,-0.4031465179619699,0.011450201465218246,0.8328409822588789,1.1236025306660806,0.9502743484224966,112.7,9.800875,0.11270000000000001
1,25,beta_hedged,OK,-0.020911957869213182,0.09036276876362952,-0.18867845312616524,-0.37307125092885074,-0.03322966149904627,0.09039032770072383,-0.3286419110264883,-0.41970285846013267,0.012317703629833088,0.8328409822588789,0.07793150142008838,0.3519128926216626,119.75261287721656,10.414200441286512,0.11975261287721653
1,25,size_neutral,BLOCKED_BY_PIT_MARKET_CAP,,,,,,,,,,,,,,,
1,35,raw,OK,0.07579491736389077,0.14810124718326925,0.5675733247131289,-0.3247069009556601,0.06547829050346987,0.1481343300702965,0.5024155028028793,-0.3252389876642279,0.010316626860420897,0.8328409822588789,0.6864711683688443,0.9869684499314129,111.47142857142856,9.694033163265305,0.11147142857142857
1,35,vol_neutral,OK,0.19689793655077836,0.22838674289585945,0.9021123154003472,-0.46195101207065936,0.18593116315872704,0.22841878634702856,0.861692651837279,-0.4623960714380767,0.010966773392051321,0.8328409822588789,1.1476891802646025,0.9722222222222222,106.49999999999999,9.261696428571428,0.10649999999999998
1,35,beta_neutral,OK,0.1725990676184399,0.21070986776536435,0.8615883840069903,-0.4209679013626779,0.16158067439228674,0.21078351239480442,0.8165454133925824,-0.42152088580031,0.011018393226153167,0.8328409822588789,1.0973142406436405,0.9502743484224966,109.12857142857142,9.490288265306122,0.10912857142857141
1,35,beta_hedged,OK,-0.01607295156772859,0.08665508341973564,-0.14369448114497577,-0.34518869739013947,-0.027987608130811026,0.08667503938604022,-0.2841887136828673,-0.3922931437978958,0.011914656563082437,0.8328409822588789,0.06827011927620129,0.3382720089830547,114.00727600556624,9.914561324055493,0.11400727600556623
1,35,size_neutral,BLOCKED_BY_PIT_MARKET_CAP,,,,,,,,,,,,,,,
1,50,raw,OK,0.08529263838267398,0.14958700230128194,0.6223711844430301,-0.3442958816082591,0.07537148629516155,0.1496152756991261,0.5608848693899341,-0.3447837614560407,0.00992115208751243,0.8328409822588789,0.7078305408617642,0.9869684499314129,106.24533283618719,9.239549480575565,0.1062453328361872
