date,turnover,cost,holdings,leverage,reason
2015-01-30,0.0,0.0,0,1.3746666590372723,monthly_rebalance
2015-02-27,1.5,0.00075,5,1.5,monthly_rebalance
2015-03-09,0.006666660308838057,3.3333301544190287e-06,5,1.493333339691162,vix_resize
2015-03-10,0.004666646321614676,2.333323160807338e-06,5,1.4979999860127766,vix_resize
2015-03-11,0.054333337148030625,2.7166668574015314e-05,5,1.443666648864746,vix_resize
2015-03-12,0.0060000101725257715,3.0000050862628857e-06,5,1.4376666386922201,vix_resize
2015-03-13,0.04833335876464839,2.4166679382324197e-05,5,1.4859999974568685,vix_resize
2015-03-16,0.019333330790201886,9.666665395100944e-06,5,1.4666666666666666,vix_resize
2015-03-17,0.013000011444091464,6.500005722045732e-06,5,1.4796666781107584,vix_resize
2015-03-18,0.001666673024495191,8.333365122475955e-07,5,1.478000005086263,vix_resize
2015-03-19,0.021999994913737275,1.0999997456868638e-05,5,1.5,vix_resize
2015-03-26,0.01466665267944367,7.333326339721835e-06,5,1.4853333473205566,vix_resize
2015-03-27,0.012000020345052098,6.000010172526049e-06,5,1.4733333269755045,vix_resize
2015-03-30,0.02433334986368829,1.2166674931844146e-05,5,1.4976666768391926,vix_resize
2015-03-31,2.398600006103516,0.001199300003051758,5,1.5,monthly_rebalance
2015-04-01,0.009666665395101082,4.833332697550541e-06,5,1.490333334604899,vix_resize
2015-04-02,0.006000010172526327,3.0000050862631635e-06,5,1.4963333447774252,vix_resize
2015-04-06,0.0036666552225750326,1.8333276112875162e-06,5,1.5,vix_resize
2015-04-30,2.4000000000000004,0.0012000000000000001,5,1.5,monthly_rebalance
2015-05-07,0.0049999872843425885,2.4999936421712944e-06,5,1.4950000127156575,vix_resize
2015-05-08,0.0006666501363122856,3.3332506815614283e-07,5,1.4956666628519695,vix_resize
2015-05-11,0.004333337148030303,2.1666685740151514e-06,5,1.5,vix_resize
2015-05-29,1.7999999999999998,0.0009,5,1.5,monthly_rebalance
2015-06-09,0.009666665395101082,4.833332697550541e-06,5,1.490333334604899,vix_resize
2015-06-10,0.00966666539510136,4.833332697550679e-06,5,1.5,vix_resize
2015-06-16,0.013000011444092019,6.50000572204601e-06,5,1.4869999885559082,vix_resize
2015-06-17,0.013000011444092019,6.50000572204601e-06,5,1.5,vix_resize
2015-06-30,1.774333330790202,0.000887166665395101,5,1.3716666539510092,monthly_rebalance
2015-07-01,0.02066669464111326,1.0333347320556629e-05,5,1.3923333485921223,vix_resize
