variant,engine,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,trades
M1_VEC,VEC,1.8543068208635836,0.05206987970964416,0.24897413779720412,0.20913770470431925,0.20565898071678837,-0.6085838351210603,0.08555909096613838,0.3543307086614173,1.0816883004649402,1099
M1_EVT,EVT,3.8858168169399745,0.07979688948748964,0.4737683989315394,0.16843016475444678,0.31649011277250433,-0.5393889604230662,0.14793941912511793,0.35452275782600345,1.1762548679940958,1119
H1_VEC,VEC,0.17935958292362297,0.008015985448284413,0.2369579460534527,0.03382872607477859,0.033074771800938006,-0.723809252874257,0.011074720883233833,0.34933743038217785,1.0366843033356288,589
H1_EVT,EVT,1.6864738400799912,0.048988891200341333,0.49656079175649454,0.09865638208577028,0.19858690162991133,-0.49929115297717275,0.09811688212024272,0.3474169387363165,1.1611598121485476,609
R1_VEC,VEC,0.021364718311857045,0.0010236083047159283,0.11718870487795804,0.008734701059986355,0.008138588721623513,-0.5765079675972884,0.0017755319306028319,0.34933743038217785,1.019456016002185,589
R1_EVT,EVT,0.30673994075998956,0.013031934435773884,0.1170997115502749,0.11128921039381749,0.11821136329664522,-0.36539217867538953,0.035665608615425004,0.3476089879009026,1.0531138105369728,609
v8_reference_VEC,VEC,0.8264592607174353,0.029582089334543094,0.09369683982574374,0.31572131343553855,0.23332015650755436,-0.3372797683995338,0.08770786778856192,0.34991357787593624,1.1410499070777755,495
v8_reference_EVT,EVT,0.6590902280200182,0.02480424196647335,0.10149770886321575,0.24438228452921038,0.20101855650488157,-0.2875550538087954,0.08625910634478533,0.3543307086614173,1.1506737453088085,500
