start,end,observations,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor
2005-02-23,2005-05-24,60,0.0,0.0,0.0,,,0.0,,0.0,
2005-05-25,2005-08-16,60,0.0,0.0,0.0,,,0.0,,0.0,
2005-08-17,2005-11-15,60,0.0,0.0,0.0,,,0.0,,0.0,
2005-11-16,2006-02-20,60,0.0,0.0,0.0,,,0.0,,0.0,
2006-02-21,2006-05-22,60,0.0,0.0,0.0,,,0.0,,0.0,
2006-05-23,2006-08-14,60,0.0,0.0,0.0,,,0.0,,0.0,
2006-08-15,2006-11-13,60,0.0,0.0,0.0,,,0.0,,0.0,
2006-11-14,2007-02-08,60,0.0,0.0,0.0,,,0.0,,0.0,
2007-02-09,2007-05-17,60,0.0,0.0,0.0,,,0.0,,0.0,
2007-05-18,2007-08-09,60,0.0,0.0,0.0,,,0.0,,0.0,
2007-08-10,2007-11-08,60,0.0,0.0,0.0,,,0.0,,0.0,
2007-11-09,2008-02-04,60,0.0,0.0,0.0,,,0.0,,0.0,
2008-02-05,2008-05-08,60,0.0,0.0,0.0,,,0.0,,0.0,
2008-05-09,2008-08-01,60,0.0,0.0,0.0,,,0.0,,0.0,
2008-08-04,2008-11-03,60,0.0,0.0,0.0,,,0.0,,0.0,
2008-11-04,2009-02-04,60,0.0,0.0,0.0,,,0.0,,0.0,
2009-02-05,2009-04-30,60,0.0,0.0,0.0,,,0.0,,0.0,
2009-05-04,2009-07-28,60,0.0,0.0,0.0,,,0.0,,0.0,
2009-07-29,2009-10-28,60,0.0,0.0,0.0,,,0.0,,0.0,
2009-10-29,2010-01-21,60,0.0,0.0,0.0,,,0.0,,0.0,
2010-01-22,2010-04-23,60,0.0,0.0,0.0,,,0.0,,0.0,
2010-04-26,2010-07-22,60,0.0,0.0,0.0,,,0.0,,0.0,
2010-07-23,2010-10-26,60,0.0,0.0,0.0,,,0.0,,0.0,
2010-10-27,2011-01-19,60,0.0,0.0,0.0,,,0.0,,0.0,
2011-01-20,2011-04-22,60,0.0,0.0,0.0,,,0.0,,0.0,
2011-04-25,2011-07-19,60,0.0,0.0,0.0,,,0.0,,0.0,
2011-07-20,2011-10-19,60,0.0,0.0,0.0,,,0.0,,0.0,
2011-10-20,2012-01-13,60,0.0,0.0,0.0,,,0.0,,0.0,
2012-01-16,2012-04-18,60,0.0,0.0,0.0,,,0.0,,0.0,
2012-04-19,2012-07-16,60,-0.04853195960000001,-0.18856140396500665,0.09083423809955908,-2.0758846874273718,-1.517259716298758,-0.05471792369672468,-3.446062847890802,0.18333333333333332,0.519132738973074
2012-07-17,2012-10-15,60,-0.025398646064706987,-0.10241942840047058,0.16934896254825846,-0.6047833234956174,-1.1487883421621163,-0.07903964463599089,-1.295798189277709,0.43333333333333335,0.9002112129095777
2012-10-16,2013-01-10,60,-0.03786904191955842,-0.149677651098309,0.11386351314018539,-1.314535683735933,-1.1260162761069394,-0.0736031091955941,-2.0335778302592242,0.43333333333333335,0.7022725138631168
2013-01-11,2013-04-15,60,0.005495386160421667,0.02328438014473977,0.027676837029945455,0.8412948386965899,1.3331190812739266,-0.008801894975210223,2.645382637525012,0.45,1.16309976302086
2013-04-16,2013-07-16,60,0.016851254384426806,0.07270721227204002,0.03150559866539653,2.3077552991207355,3.0278621656857783,-0.015003369118799514,4.846059021565794,0.6166666666666667,1.4460112179932982
2013-07-17,2013-10-17,60,0.01169640386887627,0.050052144807503085,0.06720310486818593,0.7447891716562319,0.8987273232291246,-0.02371022154667779,2.1109943957700494,0.5166666666666667,1.156967395835169
2013-10-18,2014-01-10,60,-0.017249335826752143,-0.07047290593067546,0.08834829114272633,-0.7976714095898781,-1.2365865946134802,-0.05917352769021189,-1.1909532637570404,0.4,0.8594664887501265
2014-01-13,2014-04-14,60,0.06850593554997308,0.32087932923759244,0.10220296037074315,3.1396285202854854,5.099807250736536,-0.030153258716311804,10.641613639722745,0.5166666666666667,1.621760901026777
2014-04-15,2014-07-10,60,0.005936037217023404,0.02516917844892408,0.045881954958617854,0.5485637757071342,0.633398043985587,-0.015271699219878143,1.6480928602995961,0.5166666666666667,1.1120610182372859
2014-07-11,2014-10-10,60,0.08234835811943908,0.3942532427051719,0.07889261868145282,4.99734004643781,10.375770609991205,-0.0173444596929343,22.73078837190765,0.6833333333333333,2.493697684254525
2014-10-13,2015-01-06,60,0.012123520548362965,0.05191530344226236,0.035827576238025884,1.4490319718351932,2.2434738747482768,-0.01836320507714495,2.8271373773893496,0.5666666666666667,1.2550781698030522
2015-01-07,2015-04-08,60,0.031627076942824406,0.13971293266844675,0.020075812689811078,6.9592665974291625,11.99164587621653,-0.0029105148682893045,48.00282389574769,0.6666666666666666,3.1441872024289976
2015-04-09,2015-07-03,60,0.1740876051135387,0.9621947685419854,0.5236096806493374,1.837618371281354,4.9863895529137094,-0.06527365082109382,14.740936908511983,0.5333333333333333,2.800208112228394
