date,turnover,cost,holdings,leverage,reason
2015-01-30,0.0,0.0,0,0.9164444393581815,monthly_rebalance
2015-02-27,1.0,0.0005,5,1.0,monthly_rebalance
2015-03-09,0.004444440205891992,2.222220102945996e-06,5,0.995555559794108,vix_resize
2015-03-10,0.0031110975477431635,1.5555487738715818e-06,5,0.9986666573418511,vix_resize
2015-03-11,0.03622222476535375,1.8111112382676875e-05,5,0.9624444325764974,vix_resize
2015-03-12,0.004000006781684079,2.0000033908420394e-06,5,0.9584444257948134,vix_resize
2015-03-13,0.032222239176432355,1.6111119588216176e-05,5,0.9906666649712457,vix_resize
2015-03-16,0.012888887193468063,6.444443596734031e-06,5,0.9777777777777777,vix_resize
2015-03-17,0.0086666742960613,4.33333714803065e-06,5,0.9864444520738389,vix_resize
2015-03-18,0.0011111153496637383,5.555576748318692e-07,5,0.9853333367241753,vix_resize
2015-03-19,0.014666663275824804,7.333331637912402e-06,5,1.0,vix_resize
2015-03-26,0.009777768452962354,4.8888842264811775e-06,5,0.9902222315470377,vix_resize
2015-03-27,0.00800001356336802,4.000006781684009e-06,5,0.9822222179836696,vix_resize
2015-03-30,0.016222233242458722,8.11111662122936e-06,5,0.9984444512261285,vix_resize
2015-03-31,1.599066670735677,0.0007995333353678386,5,1.0,monthly_rebalance
2015-04-01,0.006444443596733962,3.222221798366981e-06,5,0.993555556403266,vix_resize
2015-04-02,0.004000006781684079,2.0000033908420394e-06,5,0.9975555631849501,vix_resize
2015-04-06,0.002444436815049744,1.222218407524872e-06,5,1.0,vix_resize
2015-04-30,1.6,0.0008,5,1.0,monthly_rebalance
2015-05-07,0.0033333248562282536,1.6666624281141268e-06,5,0.9966666751437717,vix_resize
2015-05-08,0.0004444334242077741,2.2221671210388705e-07,5,0.9971111085679797,vix_resize
2015-05-11,0.0028888914320204795,1.4444457160102397e-06,5,1.0,vix_resize
2015-05-29,1.2000000000000002,0.0006000000000000001,5,1.0,monthly_rebalance
2015-06-09,0.006444443596733962,3.222221798366981e-06,5,0.993555556403266,vix_resize
2015-06-10,0.006444443596733962,3.222221798366981e-06,5,1.0,vix_resize
2015-06-16,0.008666674296061161,4.333337148030581e-06,5,0.9913333257039388,vix_resize
2015-06-17,0.008666674296061022,4.333337148030511e-06,5,1.0,vix_resize
2015-06-30,1.1828888871934677,0.0005914444435967338,5,0.9144444359673395,monthly_rebalance
2015-07-01,0.013777796427408562,6.888898213704281e-06,5,0.9282222323947482,vix_resize
2015-07-02,0.047555541992187755,2.377777099609388e-05,5,0.9757777743869358,vix_resize
2015-07-06,0.01555557250976572,7.77778625488286e-06,5,0.9602222018771701,vix_resize
2015-07-07,0.004888873630099766,2.444436815049883e-06,5,0.9553333282470703,vix_resize
2015-07-08,0.020444446139865347,1.0222223069932673e-05,5,0.9757777743869358,vix_resize
2015-07-09,0.07933332655164924,3.966666327582462e-05,5,0.8964444478352864,vix_resize
2015-07-10,0.006888877020941736,3.444438510470868e-06,5,0.8895555708143447,vix_resize
2015-07-13,0.06977776421440957,3.488888210720478e-05,5,0.9593333350287544,vix_resize
2015-07-14,0.04066666497124574,2.0333332485622872e-05,5,1.0,vix_resize
2015-07-28,0.013333341810438382,6.666670905219191e-06,5,0.9866666581895616,vix_resize
2015-07-29,0.013333341810438382,6.666670905219191e-06,5,1.0,vix_resize
2015-07-31,2.0,0.001,5,1.0,monthly_rebalance
2015-08-20,0.005555555555555591,2.7777777777777957e-06,5,0.9944444444444445,vix_resize
2015-08-21,0.08644443088107634,4.322221544053817e-05,5,0.908000013563368,vix_resize
2015-08-24,0.1975555843777127,9.877779218885635e-05,5,0.7104444291856554,vix_resize
2015-08-25,0.28955557081434463,0.0001447777854071723,5,1.0,vix_resize
2015-08-28,0.2466666751437717,0.00012333333757188586,5,0.7533333248562283,vix_resize
2015-08-31,1.2064444563123915,0.0006032222281561958,5,0.7544444613986544,monthly_rebalance
2015-09-01,0.05288891262478279,2.6444456312391396e-05,5,0.7015555487738716,vix_resize
2015-09-02,0.29844445122612834,0.00014922222561306416,5,1.0,vix_resize
2015-09-03,0.24644444783528632,0.00012322222391764317,5,0.7535555521647135,vix_resize
2015-09-04,0.010666656494140725,5.333328247070362e-06,5,0.7642222086588543,vix_resize
2015-09-08,0.04866663614908867,2.4333318074544336e-05,5,0.7155555725097656,vix_resize
2015-09-09,0.06444443596733948,3.222221798366974e-05,5,0.780000008477105,vix_resize
2015-09-10,0.029555553860134698,1.4777776930067349e-05,5,0.7504444546169705,vix_resize
2015-09-11,0.04133330451117634,2.066665225558817e-05,5,0.7917777591281467,vix_resize
2015-09-14,0.026000001695420938,1.300000084771047e-05,5,0.8177777608235677,vix_resize
2015-09-15,0.02333331637912328,1.166665818956164e-05,5,0.7944444444444444,vix_resize
2015-09-16,0.037999979654947946,1.899998982747397e-05,5,0.8324444240993923,vix_resize
2015-09-17,0.026444456312391534,1.3222228156195767e-05,5,0.8588888804117838,vix_resize
2015-09-18,0.004666688707139904,2.333344353569952e-06,5,0.8635555691189237,vix_resize
2015-09-21,0.025333362155490757,1.2666681077745378e-05,5,0.8382222069634331,vix_resize
2015-09-22,0.047555584377712706,2.3777792188856352e-05,5,0.8857777913411459,vix_resize
2015-09-23,0.05111113654242605,2.5555568271213027e-05,5,0.8346666547987196,vix_resize
2015-09-24,0.0068889194064669645,3.4444597032334824e-06,5,0.8415555742051867,vix_resize
2015-09-25,0.029777781168619788,1.4888890584309893e-05,5,0.8117777930365668,vix_resize
2015-09-28,0.003333367241753482,1.666683620876741e-06,5,0.8084444257948133,vix_resize
2015-09-29,0.08911107381184905,4.455553690592452e-05,5,0.7193333519829643,vix_resize
2015-09-30,1.1687111239963106,0.0005843555619981553,5,0.7371111128065321,monthly_rebalance
2015-10-01,0.051777776082356786,2.5888888041178394e-05,5,0.7888888888888889,vix_resize
2015-10-02,0.0433333502875434,2.16666751437717e-05,5,0.8322222391764322,vix_resize
2015-10-05,0.03577774895562075,1.7888874477810374e-05,5,0.8679999881320529,vix_resize
2015-10-06,0.03111110263400607,1.5555551317003036e-05,5,0.8991110907660591,vix_resize
2015-10-07,0.0031111399332681144,1.5555699666340572e-06,5,0.9022222306993273,vix_resize
2015-10-08,0.022222222222222365,1.1111111111111183e-05,5,0.9244444529215494,vix_resize
2015-10-09,0.02177776760525177,1.0888883802625885e-05,5,0.9462222205268013,vix_resize
2015-10-12,0.007555558946397561,3.777779473198781e-06,5,0.9537777794731989,vix_resize
2015-10-13,0.020222218831380256,1.0111109415690128e-05,5,0.9739999983045791,vix_resize
2015-10-14,0.03333333333333327,1.6666666666666634e-05,5,0.9406666649712457,vix_resize
2015-10-15,0.008000013563368158,4.000006781684079e-06,5,0.9326666514078776,vix_resize
2015-10-16,0.044000032212999085,2.2000016106499543e-05,5,0.9766666836208767,vix_resize
2015-10-19,0.022222201029459543,1.1111100514729772e-05,5,0.9988888846503364,vix_resize
2015-10-20,0.0011111153496637383,5.555576748318692e-07,5,1.0,vix_resize
2015-10-21,0.016666666666666635,8.333333333333317e-06,5,0.9833333333333334,vix_resize
2015-10-22,0.021111128065321172,1.0555564032660587e-05,5,0.9622222052680122,vix_resize
2015-10-23,0.03777779473198767,1.8888897365993836e-05,5,1.0,vix_resize
2015-10-27,0.006444443596733823,3.2222217983669117e-06,5,0.993555556403266,vix_resize
2015-10-28,0.0031111187405057084,1.5555593702528541e-06,5,0.9904444376627604,vix_resize
2015-10-29,0.00955556233723967,4.7777811686198355e-06,5,1.0,vix_resize
2015-10-30,1.6,0.0008,5,1.0,monthly_rebalance
2015-11-02,0.0015555487738715124,7.777743869357562e-07,5,0.9984444512261285,vix_resize
2015-11-03,0.0015555487738713736,7.777743869356868e-07,5,1.0,vix_resize
2015-11-05,0.011333338419596273,5.666669209798136e-06,5,0.9886666615804036,vix_resize
2015-11-06,0.010222223069932812,5.111111534966406e-06,5,0.9988888846503364,vix_resize
2015-11-09,0.0011111153496635995,5.555576748317997e-07,5,1.0,vix_resize
2015-11-10,0.03377778795030387,1.6888893975151933e-05,5,0.9662222120496962,vix_resize
2015-11-11,0.027333344353569905,1.3666672176784952e-05,5,0.993555556403266,vix_resize
2015-11-12,0.017111100090874687,8.555550045437344e-06,5,0.9764444563123914,vix_resize
2015-11-13,0.05133336385091128,2.5666681925455636e-05,5,0.92511109246148,vix_resize
2015-11-16,0.037999979654948085,1.8999989827474043e-05,5,0.8871111128065321,vix_resize
2015-11-17,0.04266666836208757,2.1333334181043786e-05,5,0.9297777811686198,vix_resize
2015-11-18,0.015111117892795123,7.555558946397562e-06,5,0.9146666632758246,vix_resize
2015-11-19,0.0442222171359595,2.211110856797975e-05,5,0.9588888804117839,vix_resize
2015-11-20,0.0031110975477433023,1.555548773871651e-06,5,0.9557777828640407,vix_resize
2015-11-23,0.03377776675754146,1.6888883378770732e-05,5,0.9895555496215821,vix_resize
2015-11-24,0.003333324856228531,1.6666624281142655e-06,5,0.9862222247653537,vix_resize
