version,dropped,cagr,final_wealth,sharpe,max_drawdown,rel_spy_relative_cagr
base_12_1_top3,XLB,0.09931102722707497,6.9791458279734,0.516137955140944,-0.4617694294876846,-0.010694372881317582
composite_6_1_12_1_top3,XLB,0.08546817402315976,5.381081923730636,0.44719874301476037,-0.43400215261940955,-0.023191783448225367
composite_top3_buffer,XLB,0.09530536142577617,6.47545303833473,0.4978703382407593,-0.42281536391500163,-0.014339340131513056
base_12_1_top3,XLE,0.08960048918513563,5.817440148055026,0.47413334797787404,-0.463970656423181,-0.01978196901673357
composite_6_1_12_1_top3,XLE,0.08643743775113588,5.480545764826628,0.45597991954575673,-0.42197006672732584,-0.022642105137292035
composite_top3_buffer,XLE,0.09882089086649759,6.915570116224208,0.518595355197168,-0.40290904133476135,-0.011501964667709585
base_12_1_top3,XLF,0.09656913637154885,6.630507443263075,0.49647646930932926,-0.463360740295221,-0.013161889339475485
composite_6_1_12_1_top3,XLF,0.0894612096169467,5.802199910950036,0.46769783937821324,-0.4570800790372269,-0.019573312387539565
composite_top3_buffer,XLF,0.0930797606803635,6.210741189531385,0.48403084573653654,-0.4455697209082975,-0.016316910046872635
base_12_1_top3,XLI,0.09303379674549062,6.205384308981474,0.47898831456744273,-0.4633607402952209,-0.01634345606555243
composite_6_1_12_1_top3,XLI,0.07721534346683256,4.601020000014727,0.4039606000344102,-0.4453951593439386,-0.030588866329747888
composite_top3_buffer,XLI,0.08728047152178853,5.568475928308181,0.45295619725823555,-0.4828601153016886,-0.021531023571131902
base_12_1_top3,XLK,0.08060640134982378,4.907544983979907,0.42024268659598457,-0.4633607402952209,-0.027527272011048654
composite_6_1_12_1_top3,XLK,0.07854282520641909,4.718778809507604,0.41321598777611024,-0.4628214274346425,-0.02939423464732349
composite_top3_buffer,XLK,0.0791381290583748,4.772513356311359,0.4161438841539322,-0.457819472648093,-0.028858506869676614
base_12_1_top3,XLP,0.09622339207595654,6.587740199156764,0.4751722890156548,-0.5363924384457237,-0.013473035838239
composite_6_1_12_1_top3,XLP,0.08982308354209212,5.841875936736007,0.4506389877922458,-0.5069312626818939,-0.019242867896377636
composite_top3_buffer,XLP,0.09471116719827721,6.403748456158381,0.4714962212392907,-0.5033578739314064,-0.014843967762475652
base_12_1_top3,XLU,0.10708628617145965,8.065146367826303,0.5369793694290362,-0.47323890602765273,-0.003737735804865694
composite_6_1_12_1_top3,XLU,0.10342839208425825,7.535607025645569,0.5243246232093953,-0.4697864103977729,-0.006999134405404561
composite_top3_buffer,XLU,0.10856305111600162,8.288805930861129,0.5455712393993859,-0.4592294879379454,-0.002378335357970829
base_12_1_top3,XLV,0.10615164663197962,7.926572367171764,0.534431745586731,-0.470882915050593,-0.004533417118398386
composite_6_1_12_1_top3,XLV,0.0908211013929614,5.952640880273077,0.4611378341893979,-0.48545408196017625,-0.018344728427698298
composite_top3_buffer,XLV,0.1019772743628855,7.334839596591102,0.5139027080402179,-0.47772168800856296,-0.008305028982469986
base_12_1_top3,XLY,0.09924362828497935,6.970370642132786,0.5124049547050247,-0.4633607402952218,-0.010755027374018677
composite_6_1_12_1_top3,XLY,0.08272425214210877,5.108732930204881,0.43182534288675223,-0.4570800790372266,-0.02563127132650722
composite_top3_buffer,XLY,0.0878728649093663,5.63106484600346,0.45487615547654164,-0.45662405039456533,-0.02099791498804926
