version,cutoff,strategy_cagr,strategy_final_wealth,spy_cagr,spy_final_wealth,beats_spy_cagr,beats_spy_wealth
base_12_1_top3,2005-12-31,,,,,False,False
base_12_1_top3,2008-12-31,-0.08030073893330725,0.7836058369037567,-0.09327917732664592,0.7518261914524026,True,True
base_12_1_top3,2012-12-31,0.015297644155893186,1.1106584068859728,0.03772680547367435,1.2917640671750872,False,False
base_12_1_top3,2016-12-31,0.05670767345511685,1.825389588567412,0.0748835057764623,2.198686841443661,False,False
base_12_1_top3,2020-12-31,0.07156315058041951,2.8032201703739537,0.0967750853578393,3.9653027763338593,False,False
base_12_1_top3,2024-12-31,0.08482482357512056,4.664004673830191,0.10475968810552794,6.581538484329719,False,False
base_12_1_top3,latest,0.0979843042072368,6.808326997580673,0.11198252567488631,8.829559269688971,False,False
composite_6_1_12_1_top3,2005-12-31,,,,,False,False
composite_6_1_12_1_top3,2008-12-31,-0.06791411638466638,0.8147472233016084,-0.09327917732664592,0.7518261914524026,True,True
composite_6_1_12_1_top3,2012-12-31,0.025779292571536105,1.192385295837806,0.03772680547367435,1.2917640671750872,False,False
composite_6_1_12_1_top3,2016-12-31,0.06735229188547942,2.0363266727274207,0.0748835057764623,2.198686841443661,False,False
composite_6_1_12_1_top3,2020-12-31,0.07616685935222844,2.9882918826647926,0.0967750853578393,3.9653027763338593,False,False
composite_6_1_12_1_top3,2024-12-31,0.078447389192283,4.171854918976983,0.10475968810552794,6.581538484329719,False,False
composite_6_1_12_1_top3,latest,0.07807635850551908,4.677076312311165,0.11198252567488631,8.829559269688971,False,False
composite_top3_buffer,2005-12-31,,,,,False,False
composite_top3_buffer,2008-12-31,-0.05137536890368344,0.857579322017509,-0.09327917732664592,0.7518261914524026,True,True
composite_top3_buffer,2012-12-31,0.023703759492680554,1.1758059909584755,0.03772680547367435,1.2917640671750872,False,False
composite_top3_buffer,2016-12-31,0.06318130921253329,1.9511691811632035,0.0748835057764623,2.198686841443661,False,False
composite_top3_buffer,2020-12-31,0.07857307524342882,3.0894993821985333,0.0967750853578393,3.9653027763338593,False,False
composite_top3_buffer,2024-12-31,0.08430233212471672,4.6217019585887185,0.10475968810552794,6.581538484329719,False,False
composite_top3_buffer,latest,0.09138684060934099,6.016313643096182,0.11198252567488631,8.829559269688971,False,False
