n,n_boot,block,seed,observed_cagr_diff,mean_cagr_diff,ci_2_5,ci_97_5,p_diff_positive,method,version
5162,400,21,42,-0.014025331699200505,-0.01272090813709634,-0.057663867535938565,0.0269382413405311,0.2375,moving_block_bootstrap_paired_returns,base_12_1_top3
5162,400,21,42,-0.03397128972417085,-0.032923323260150086,-0.0734424475516472,0.0066610970320097,0.0625,moving_block_bootstrap_paired_returns,composite_6_1_12_1_top3
5162,400,21,42,-0.02063546363820845,-0.0196133929247995,-0.06008331904316886,0.020523020310543424,0.1425,moving_block_bootstrap_paired_returns,composite_top3_buffer
