date,gross_return,cost,net_return,w_XLB,w_XLE,w_XLF,w_XLI,w_XLK,w_XLP,w_XLU,w_XLV,w_XLY,equity_net,equity_gross
2006-02-01,0.0008722148207381982,1.3924789490155743e-05,0.0008582900312480424,0.11087794980012113,0.10863178747506967,0.11105196683633921,0.11225455155027006,0.11223891006384418,0.11156770180171306,0.11077582412488819,0.11108506235550986,0.11151624599224462,1.130048229429962,1.130769331406024
2006-02-02,-0.008513969317292714,0.0,-0.008513969317292714,0.11017774569603199,0.10847352980960583,0.111232765609327,0.11225550770717882,0.11163872905512401,0.11247661226511921,0.11027046931797073,0.1111368336066554,0.11233780693298694,1.1204270334775344,1.1211419960134976
2006-02-03,-0.005494351910765517,0.0,-0.005494351910765517,0.10979647036453982,0.1080738161681033,0.11138799999121991,0.11262411477875676,0.11146892959383604,0.11237152399798815,0.11032132374078117,0.1115409158621563,0.11241490550261858,1.1142710130652738,1.1149820473454615
2006-02-06,0.0038641220961496588,0.0,0.0038641220961496588,0.11134444755630418,0.10976334737192578,0.11127534172509639,0.11258304368785119,0.11072670143039333,0.11169796023596638,0.11055602716469123,0.11010485576178314,0.11194827506598855,1.1185766923079585,1.1192904741114194
2006-02-07,-0.011438954174418639,0.0,-0.011438954174418639,0.10967530925101304,0.10639604452143371,0.11181361654160096,0.11305259280122697,0.11168833602498367,0.11245129790486616,0.11116529924458554,0.11120041581426636,0.11255708789602356,1.105781344784075,1.1064869616701956
2006-02-08,0.006293808236791778,0.0,0.006293808236791778,0.10916642826686355,0.10575036808675249,0.11182087164770747,0.11288368840877135,0.11314052922301376,0.1122325663939057,0.11043526658643087,0.11193575175795581,0.11263452962859903,1.1127409205199676,1.113450978423458
2006-02-09,-0.0008560454417135088,0.0,-0.0008560454417135088,0.1096143767906894,0.10342872258824636,0.11219982192263632,0.11362700988460046,0.1127128638071002,0.11266845869342794,0.11091444372174285,0.11213682658710473,0.11269747600445167,1.1117883637271484,1.1124978137888073
2006-02-10,0.0017862063221565144,0.0,0.0017862063221565144,0.10920692476840796,0.10287238424784602,0.11263505192543843,0.11417707442523002,0.11340288533963364,0.11232249460826482,0.11078648406392336,0.11169289170739172,0.11290380891386405,1.1137742471313379,1.1144849644171821
2006-02-13,-0.0035336320525264833,0.0,-0.0035336320525264833,0.10849438306692161,0.10282423589189951,0.11260914924154763,0.11472553736172865,0.11275287817662728,0.11257475526937967,0.1110390461178855,0.11194868374587494,0.11303133112813518,1.109838578752396,1.110546784624859
2006-02-14,0.009620433586555217,0.0,0.009620433586555217,0.11033962942440566,0.10069478299250705,0.11286740546885178,0.11498431580177473,0.11318748751767316,0.11289544523756284,0.10987553055313376,0.11195458075982612,0.11320082224426485,1.1205157070910805,1.121230726211105
2006-02-15,0.002634843545180681,0.0,0.002634843545180681,0.10955922175610901,0.09988667844558898,0.1132355417330468,0.11500188854865465,0.11351349715347574,0.1133184608121641,0.10975961796583505,0.1123170484590856,0.11340804512604015,1.123468090669183,1.1241849937527204
2006-02-16,0.008232411710492167,0.0,0.008232411710492167,0.11008884385245918,0.10134230619459922,0.1129695269693504,0.11437945160831035,0.11361655555485554,0.1129159690099874,0.1097197761421432,0.11211914325451067,0.11284842741378388,1.1327169425351722,1.13343974746005
2006-02-17,-0.000391444370961838,0.0,-0.000391444370961838,0.11002829433589544,0.10209517489070745,0.11256313770920262,0.11470690699329451,0.11304310023799305,0.11248481985364311,0.11075776312995439,0.11209512970195343,0.11222567314735596,1.1322735468641236,1.1329960688510823
2006-02-21,-0.001148782447550241,0.0,-0.001148782447550241,0.11019083065715594,0.10421905481756918,0.11234639852871772,0.11438133221750628,0.11193576421928192,0.11247246663697352,0.11105805886292358,0.11164167744875639,0.11175441661111546,1.1309728108876607,1.1316945028540428
2006-02-22,0.005499946894654717,0.0,0.005499946894654717,0.11003739629976036,0.10171150857524452,0.11383925563897172,0.11494821700797084,0.11188739387129286,0.11275712218439964,0.11085953102411801,0.11198625222474923,0.11197332317349273,1.137193101286841,1.1379187625207126
2006-02-23,-0.0031338679196533633,0.0,-0.0031338679196533633,0.10982744120504809,0.10191560290309234,0.11378084304436137,0.11492202247721126,0.1116724567454349,0.1131588356482046,0.11107079774603512,0.11192707163172816,0.11172492859888429,1.133629288308267,1.1343526754156772
