strategy,cagr,cagr_minus_bil,sharpe_rf_bil,sortino,max_drawdown,calmar,final_wealth,volatility,start,end,avg_w_risk,avg_w_bil,avg_w_equity,avg_w_bonds,avg_w_gold,avg_w_commodities,avg_w_real_estate
bil_buy_hold,0.012689215601996207,0.0,0.0,2.306768975744838,-0.007799792429056818,1.6268658066751447,1.2577616553722344,0.00459908270592526,2008-06-02,2026-08-10,0.0,1.0,,,,,
ensemble_risk_balanced,0.04546011161556063,0.03277089601356442,0.6114685342150283,1.1131063563390537,-0.08057597352560353,0.5641894180914288,2.2446849255458408,0.054593032517200185,2008-06-02,2026-08-10,0.615240579023224,0.3847594209767759,0.2087913692861425,0.22682831635448145,0.06968594649809953,0.04615757273747144,0.06377737414702915
ensemble_equal,0.04767512139103647,0.03498590578904026,0.5588308745950124,0.9635354785785145,-0.09222232225568716,0.5169585868685543,2.3327742766523967,0.06459805286888262,2008-06-02,2026-08-10,0.6036912645589692,0.3963087354410308,0.24704088134904878,0.13672054694677666,0.07828949208297853,0.06017267227777962,0.0814676719023856
sixty_forty_spy_ief_monthly,0.0857308085087305,0.07304159290673429,0.6815707541153629,0.9886350668983261,-0.3087810282273121,0.2776427327835016,4.463734342722886,0.11146388887882298,2008-06-02,2026-08-10,1.0,0.0,0.6009754675695652,0.3990245324304348,,,
spy_buy_hold,0.11872995447240076,0.10604073887040455,0.6034749663312798,0.8102093751431865,-0.5069911001919267,0.2341854806276763,7.6947208973157295,0.19771124686268146,2008-06-02,2026-08-10,1.0,0.0,1.0,,,,
