period,start,end,gross_sharpe,net_sharpe,gross_max_drawdown,net_max_drawdown,mean_ic,one_way_turnover,annualized_turnover
P1_2015_2018,2015-01-01,2018-12-31,0.7268912954003729,0.643828444684932,-0.16729640473168317,-0.16957613985682563,-0.014680636345339636,38.740000000000016,10.10698928571429
P2_2019_2022,2019-01-01,2022-12-31,0.8238502534393889,0.7743675798078534,-0.3306359435102363,-0.33119619089846064,0.010360456879746155,38.120000000000005,9.743407977606719
P3_2023_2026,2023-01-01,2026-12-31,0.39868652664915916,0.3180512878013193,-0.18307513130676123,-0.187539288714346,0.03909055631430909,37.040000000000006,10.343165137614681
