date,signal_date,turnover,cost,holdings,leverage,hedge_weight,reason
2015-02-02,2015-01-30,0.0,0.0,0,0.0,0.0,next_open_rebalance
2015-03-02,2015-02-27,1.0,0.0005,25,1.0,0.0,next_open_rebalance
2015-04-01,2015-03-31,1.8400000000000003,0.0009200000000000001,25,1.0,0.0,next_open_rebalance
2015-05-01,2015-04-30,1.6800000000000002,0.00084,25,1.0,0.0,next_open_rebalance
2015-06-01,2015-05-29,1.4400000000000002,0.0007200000000000002,25,1.0,0.0,next_open_rebalance
2015-07-01,2015-06-30,1.7600000000000002,0.00088,25,1.0,0.0,next_open_rebalance
2015-08-03,2015-07-31,1.7600000000000002,0.00088,25,1.0,0.0,next_open_rebalance
2015-09-01,2015-08-31,1.7600000000000002,0.00088,25,1.0,0.0,next_open_rebalance
2015-10-01,2015-09-30,1.6800000000000002,0.00084,25,1.0,0.0,next_open_rebalance
2015-11-02,2015-10-30,1.6800000000000002,0.00084,25,1.0,0.0,next_open_rebalance
2015-12-01,2015-11-30,1.6800000000000002,0.00084,25,1.0,0.0,next_open_rebalance
2016-01-04,2015-12-31,1.44,0.0007199999999999999,25,1.0,0.0,next_open_rebalance
2016-02-01,2016-01-29,1.6,0.0008,25,1.0,0.0,next_open_rebalance
2016-03-01,2016-02-29,1.8400000000000003,0.0009200000000000001,25,1.0,0.0,next_open_rebalance
2016-04-01,2016-03-31,1.52,0.0007599999999999999,25,1.0,0.0,next_open_rebalance
2016-05-02,2016-04-29,1.7600000000000002,0.00088,25,1.0,0.0,next_open_rebalance
2016-06-01,2016-05-31,1.7600000000000002,0.00088,25,1.0,0.0,next_open_rebalance
2016-07-01,2016-06-30,1.7600000000000002,0.00088,25,1.0,0.0,next_open_rebalance
2016-08-01,2016-07-29,1.44,0.0007199999999999999,25,1.0,0.0,next_open_rebalance
2016-09-01,2016-08-31,1.6,0.0008,25,1.0,0.0,next_open_rebalance
2016-10-03,2016-09-30,1.7600000000000002,0.00088,25,1.0,0.0,next_open_rebalance
2016-11-01,2016-10-31,1.8400000000000003,0.0009200000000000001,25,1.0,0.0,next_open_rebalance
2016-12-01,2016-11-30,1.7600000000000002,0.00088,25,1.0,0.0,next_open_rebalance
2017-01-03,2016-12-30,1.7600000000000002,0.00088,25,1.0,0.0,next_open_rebalance
2017-02-01,2017-01-31,1.9200000000000004,0.0009600000000000001,25,1.0,0.0,next_open_rebalance
2017-03-01,2017-02-28,1.8400000000000003,0.0009200000000000001,25,1.0,0.0,next_open_rebalance
2017-04-03,2017-03-31,1.8400000000000003,0.0009200000000000001,25,1.0,0.0,next_open_rebalance
2017-05-01,2017-04-28,1.44,0.0007199999999999999,25,1.0,0.0,next_open_rebalance
2017-06-01,2017-05-31,1.6000000000000003,0.0008000000000000001,25,1.0,0.0,next_open_rebalance
2017-07-03,2017-06-30,1.6800000000000002,0.00084,25,1.0,0.0,next_open_rebalance
2017-08-01,2017-07-31,1.52,0.0007599999999999999,25,1.0,0.0,next_open_rebalance
2017-09-01,2017-08-31,1.6000000000000003,0.0008000000000000001,25,1.0,0.0,next_open_rebalance
2017-10-02,2017-09-29,1.6800000000000002,0.00084,25,1.0,0.0,next_open_rebalance
2017-11-01,2017-10-31,1.8400000000000003,0.0009200000000000001,25,1.0,0.0,next_open_rebalance
2017-12-01,2017-11-30,1.6,0.0008,25,1.0,0.0,next_open_rebalance
2018-01-02,2017-12-29,1.44,0.0007199999999999999,25,1.0,0.0,next_open_rebalance
2018-02-01,2018-01-31,1.6800000000000002,0.00084,25,1.0,0.0,next_open_rebalance
2018-03-01,2018-02-28,1.6800000000000002,0.00084,25,1.0,0.0,next_open_rebalance
2018-04-02,2018-03-29,1.6,0.0008,25,1.0,0.0,next_open_rebalance
2018-05-01,2018-04-30,1.6,0.0008,25,1.0,0.0,next_open_rebalance
2018-06-01,2018-05-31,1.6800000000000002,0.00084,25,1.0,0.0,next_open_rebalance
2018-07-02,2018-06-29,1.7600000000000002,0.00088,25,1.0,0.0,next_open_rebalance
2018-08-01,2018-07-31,2.0,0.001,25,1.0,0.0,next_open_rebalance
2018-09-04,2018-08-31,1.8400000000000003,0.0009200000000000001,25,1.0,0.0,next_open_rebalance
2018-10-01,2018-09-28,1.7600000000000002,0.00088,25,1.0,0.0,next_open_rebalance
2018-11-01,2018-10-31,1.8400000000000003,0.0009200000000000001,25,1.0,0.0,next_open_rebalance
2018-12-03,2018-11-30,1.9200000000000004,0.0009600000000000001,25,1.0,0.0,next_open_rebalance
2019-01-02,2018-12-31,1.6,0.0008,25,1.0,0.0,next_open_rebalance
2019-02-01,2019-01-31,1.6800000000000002,0.00084,25,1.0,0.0,next_open_rebalance
2019-03-01,2019-02-28,1.52,0.0007599999999999999,25,1.0,0.0,next_open_rebalance
2019-04-01,2019-03-29,1.6800000000000002,0.00084,25,1.0,0.0,next_open_rebalance
2019-05-01,2019-04-30,1.6800000000000002,0.00084,25,1.0,0.0,next_open_rebalance
