date,member_count
2015-01-01,502
2015-02-01,502
2015-03-01,502
2015-04-01,503
2015-05-01,503
2015-06-01,503
2015-07-01,503
2015-08-01,503
2015-09-01,503
2015-10-01,506
2015-11-01,506
2015-12-01,506
2016-01-01,505
2016-02-01,505
2016-03-01,505
2016-04-01,505
2016-05-01,506
2016-06-01,506
2016-07-01,506
2016-08-01,506
2016-09-01,506
2016-10-01,506
2016-11-01,506
2016-12-01,506
