sample,periods,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,total_return,win_rate,best_period,worst_period,average_turnover,strict_b_exposure,cash_exposure,condition_switches,longest_cash_periods,annual_return_vs_always,max_drawdown_improvement_vs_always,transition_cost_drag,signal_available_ratio,scaled_strict_cost_drag,total_cost_drag,average_target_exposure,scheme,annual_return_vs_hard_cash,sharpe_vs_hard_cash,max_drawdown_improvement_vs_hard_cash,average_turnover_vs_hard_cash,total_cost_drag_vs_hard_cash
all_sample,90,0.09687548897223919,0.13294555321271473,0.728685440251146,1.2329575847081589,0.6909501328742359,-0.14020619486568953,1.0006908600543079,0.5555555555555556,0.1321289072006305,-0.09900843696827702,0.26733333333333326,1.0,0.0,0,0,0.0,0.0,0.0,1.0,0.1901524759352623,0.1901524759352623,1.0,Always,0.03854388256576846,0.03243432557146997,-0.07012306066062357,-0.03266666666666673,0.11046217152796489
in_sample,66,0.11900338588847359,0.1342191316300441,0.8866350455648117,1.4013003309655496,0.8487740930596743,-0.14020619486568953,0.8559774848418142,0.5909090909090909,0.10856306383934286,-0.09900843696827702,0.2569696969696969,1.0,0.0,0,0,0.0,0.0,0.0,1.0,0.13956835262306605,0.13956835262306605,1.0,Always,0.059075968389494804,0.09817462474600946,-0.07012306066062357,-0.0848484848484849,0.07184324785869317
out_of_sample,24,0.03825407026150773,0.13080735517315784,0.2924458659902453,0.5850201235570905,0.4014818072185826,-0.09528220102058249,0.07797151441458783,0.4583333333333333,0.1321289072006305,-0.058271618083638906,0.2958333333333334,1.0,0.0,0,0,0.0,0.0,0.0,1.0,0.05058412331219625,0.05058412331219625,1.0,Always,-0.015701433322432123,-0.22593003850856824,-0.04023898671905046,0.11083333333333342,0.03861892366927171
all_sample,90,0.058331606406470726,0.08377955191254138,0.696251114679676,0.8628203513566992,0.8323201732929094,-0.07008313420506596,0.5299007124876425,0.2111111111111111,0.1321289072006305,-0.0700831342050659,0.3,0.3111111111111111,0.6888888888888889,19,0,-0.03854388256576846,0.07012306066062357,0.020199999999999996,1.0,0.05949030440729742,0.07969030440729741,0.3111111111111111,HardCash,0.0,0.0,0.0,0.0,0.0
in_sample,66,0.059927417498978786,0.07600561285846819,0.7884604208188022,0.9733684314844747,0.8550904319380016,-0.07008313420506596,0.37726875427873807,0.24242424242424243,0.08711345100578147,-0.0700831342050659,0.3418181818181818,0.36363636363636365,0.6363636363636364,16,0,-0.059075968389494804,0.07012306066062357,0.0168,1.0,0.050925104764372876,0.06772510476437288,0.36363636363636365,HardCash,0.0,0.0,0.0,0.0,0.0
out_of_sample,24,0.05395550358393986,0.10408567048676035,0.5183759044988135,0.5019750333615767,0.9802389680291272,-0.05504321430153203,0.11082220353487648,0.125,0.1321289072006305,-0.055043214301532084,0.18499999999999997,0.16666666666666666,0.8333333333333334,3,0,0.015701433322432123,0.04023898671905046,0.0034,1.0,0.008565199642924539,0.01196519964292454,0.16666666666666666,HardCash,0.0,0.0,0.0,0.0,0.0
all_sample,90,0.08822933445424663,0.11369894864116452,0.7759907678012016,1.3692817565972486,0.8532468421756426,-0.10340423203826454,0.8853987495319116,0.5555555555555556,0.1321289072006305,-0.07425632772620777,0.27549999999999997,0.8277777777777777,0.17222222222222222,19,0,-0.008646154517992555,0.03680196282742498,0.005049999999999999,1.0,0.15748693305327108,0.16253693305327108,0.8277777777777777,Soft75,0.029897728047775907,0.07973965312152553,-0.03332109783319859,-0.024500000000000022,0.08284662864597367
in_sample,66,0.10525881758205857,0.11194150802069903,0.9403019437847419,1.5438164860414232,1.0179352963339812,-0.10340423203826454,0.7340113498301626,0.5909090909090909,0.08711345100578147,-0.07425632772620777,0.2781818181818182,0.8409090909090909,0.1590909090909091,16,0,-0.013744568306415017,0.03680196282742498,0.0042,1.0,0.11740754065839276,0.12160754065839274,0.8409090909090909,Soft75,0.04533140008307979,0.15184152296593967,-0.03332109783319859,-0.0636363636363636,0.053882435894019864
out_of_sample,24,0.04273905366102926,0.11997935637858491,0.35622006110926047,0.7433704147107463,0.5942699762311403,-0.07191858140315333,0.08730473402989891,0.4583333333333333,0.1321289072006305,-0.055043214301532084,0.268125,0.7916666666666666,0.20833333333333334,3,0,0.004484983399521525,0.023363619617429165,0.00085,1.0,0.04007939239487833,0.040929392394878326,0.7916666666666666,Soft75,-0.011216449922910599,-0.16215584338955308,-0.016875367101621297,0.08312500000000003,0.028964192751953787
all_sample,90,0.07891289357260711,0.0978221688732597,0.806697443754781,1.4713214054932298,1.1259897900927927,-0.07008313420506584,0.7676564969201647,0.5555555555555556,0.1321289072006305,-0.0700831342050659,0.28366666666666673,0.6555555555555556,0.34444444444444444,19,0,-0.017962595399632075,0.07012306066062368,0.010099999999999998,1.0,0.12482139017127986,0.13492139017127985,0.6555555555555556,Soft50,0.020581287166136386,0.11044632907510499,1.1102230246251565e-16,-0.016333333333333255,0.055231085763982446
in_sample,66,0.09081317916620613,0.09307679360167054,0.9756801416564506,1.6532500162296362,1.295792207301737,-0.07008313420506584,0.6129728986093261,0.5909090909090909,0.08711345100578147,-0.0700831342050659,0.29939393939393943,0.6818181818181818,0.3181818181818182,16,0,-0.028190206722267463,0.07012306066062368,0.0084,1.0,0.09524672869371946,0.10364672869371946,0.6818181818181818,Soft50,0.03088576166722734,0.18721972083764837,1.1102230246251565e-16,-0.042424242424242364,0.035921623929346586
out_of_sample,24,0.04685227628384547,0.11155155904681054,0.42000557127296434,0.8960460105474202,0.8511907757999777,-0.05504321430153203,0.09589968836066864,0.4583333333333333,0.1321289072006305,-0.055043214301532084,0.24041666666666672,0.5833333333333334,0.4166666666666667,3,0,0.00859820602233774,0.04023898671905046,0.0017,1.0,0.029574661477560396,0.031274661477560396,0.5833333333333334,Soft50,-0.0071032273000943835,-0.0983703332258492,0.0,0.05541666666666675,0.019309461834635857
