variant,sample,periods,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,total_return,win_rate,best_period,worst_period,average_turnover,cost_drag
STRICT_B,in_sample,66,0.1190033858884735,0.1342191316300441,0.8866350455648117,1.4013003309655498,0.8487740930596743,-0.1402061948656895,0.8559774848418147,0.5909090909090909,0.1085630638393428,-0.099008436968277,0.2569696969696969,0.139568352623066
STRICT_B,out_of_sample,23,0.0730414541873925,0.1252829366244366,0.583011989943614,1.342360516768338,1.3269838092532964,-0.055043214301532,0.1446734909071978,0.4782608695652174,0.1321289072006305,-0.055043214301532,0.3000000000000001,0.0485572414693092
NO_BANK,in_sample,66,0.0910433585508807,0.1549557698151446,0.5875441660513283,0.9441409934345858,0.4764521113669475,-0.1910860638011995,0.614845787472756,0.5454545454545454,0.1270673956671431,-0.1107083156045604,0.283030303030303,0.1394070873523829
NO_BANK,out_of_sample,23,0.046189810898199,0.1274368549424595,0.362452533209916,0.879626902337392,0.7554472259663301,-0.0611423396771566,0.0904023149707307,0.4347826086956521,0.1316428895313287,-0.0527163522447825,0.3043478260869566,0.0484943327738688
NO_COAL,in_sample,66,0.1170453167044247,0.1359394634286198,0.8610105833313361,1.3859419770585015,0.7860118100587221,-0.1489103792164146,0.8381855868807266,0.5909090909090909,0.1099960900557892,-0.1005038724849522,0.2575757575757575,0.1395573101152642
NO_COAL,out_of_sample,23,0.075778986241179,0.1249945978836894,0.6062580905431871,1.343560962473556,1.3450003599274711,-0.0563412386337691,0.1502772365474167,0.4782608695652174,0.1321289072006305,-0.0563412386337691,0.3052173913043479,0.0485635605123564
NO_BANK_COAL,in_sample,66,0.0945935732764291,0.155342355176699,0.608936134442089,0.984341232851366,0.4893268634613448,-0.1933136730064314,0.6439587519500696,0.5454545454545454,0.1279753544082602,-0.1107976678262235,0.2866666666666667,0.139346975243822
NO_BANK_COAL,out_of_sample,23,0.0484765114559078,0.1270467729768615,0.3815642878606339,0.9150757287834556,0.8103675563097554,-0.0598204001115983,0.0949749548305143,0.4347826086956521,0.1316428895313287,-0.0527163522447825,0.311304347826087,0.048499682039385
