parameter_group,test_points,positive_return_ratio_is,sharpe_gt_0_5_ratio_is,positive_return_ratio_oos,median_annual_return_is,median_sharpe_is,median_annual_return_oos,median_sharpe_oos,worst_is_setting,worst_is_annual_return,worst_is_sharpe,single_point_peak_is_sharpe
持股数,4,1.0,1.0,1.0,0.1128117359440785,0.8253126066303358,0.0658950460914197,0.5370676335458966,30,0.1062228010663042,0.7639901676958604,否
权重,2,1.0,1.0,1.0,0.1190033858884733,0.8866350455648111,0.0730414541873918,0.5830119899436093,逆波动,0.1190033858884733,0.8866350455648111,不适用
波动窗口,3,1.0,1.0,1.0,0.1190033858884733,0.8866350455648111,0.0701997883345566,0.5830119899436093,60日,0.1079057814313604,0.7701042790076458,否
行业权重上限,3,1.0,1.0,1.0,0.1190033858884733,0.8866350455648111,0.0730414541873918,0.5830119899436093,15%,0.091050217484083,0.6345606699618126,否
调仓日,3,1.0,1.0,1.0,0.1190033858884733,0.8866350455648111,0.0544250747697534,0.3712351036038467,月中,0.0825050352106158,0.6850575846637122,否
高股息池,3,1.0,1.0,1.0,0.1190033858884733,0.8516322686711446,0.0730414541873918,0.5830119899436093,前30%,0.1108999733998927,0.8051073997467638,是
