variant,sample,periods,annual_return,sharpe,max_drawdown,calmar,monthly_win_rate,average_turnover,cost_drag
LEGACY_B,all_sample,89,0.1446053487737904,1.0699220409608996,-0.1371605528795051,1.0542779664997812,0.6179775280898876,0.2267415730337078,0.1885403874976874
LEGACY_B,in_sample,66,0.1448113689351839,1.0335889278284054,-0.1371605528795051,1.05578000303338,0.6363636363636364,0.2142424242424242,0.1398227661760384
LEGACY_B,out_of_sample,23,0.144014366303393,1.1731194933762603,-0.0381831916613728,3.771669156957402,0.5652173913043478,0.2626086956521739,0.048717621321649
A,all_sample,89,0.1118335644258108,0.4319962493475004,-0.3589862386219979,0.3115260486170566,0.5842696629213483,0.1633707865168539,0.1882505734637908
A,in_sample,66,0.0675481523998322,0.2551399865364585,-0.3319618493092842,0.2034816727897505,0.5606060606060606,0.1633333333333333,0.1392590722665961
A,out_of_sample,23,0.2493790737272712,1.0225727024004214,-0.1337746982084152,1.864172201971626,0.6521739130434783,0.1634782608695652,0.0489915011971947
STRICT_B,all_sample,90,0.09687548897223897,0.7286854402511449,-0.14020619486568975,0.6909501328742332,0.5555555555555556,0.26733333333333326,0.19015247593525758
STRICT_B,in_sample,66,0.11900338588847337,0.8866350455648111,-0.14020619486568975,0.8487740930596713,0.5909090909090909,0.2569696969696969,0.13956835262306272
STRICT_B,out_of_sample,24,0.03825407026150729,0.292445865990242,-0.09528220102058238,0.4014818072185784,0.4583333333333333,0.29583333333333334,0.0505841233121949
