sample,periods,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,total_return,win_rate,best_period,worst_period,average_turnover,strict_b_exposure,cash_exposure,condition_switches,longest_cash_periods,annual_return_vs_always,max_drawdown_improvement_vs_always,transition_cost_drag,signal_available_ratio,result_type,condition,mode,state_family,state,months,mean_monthly_return,return_contribution,etf_code,status,start,end,calibration_days,tracking_error_2018,mean_daily_amount,selected,fund_name,tracked_index,management_fee_annual,custody_fee_annual,fee_source,price_series_treatment,market_series,market_code,rows
all_sample,90.0,0.09687548897223919,0.13294555321271473,0.728685440251146,1.2329575847081589,0.6909501328742359,-0.14020619486568953,1.0006908600543079,0.5555555555555556,0.1321289072006305,-0.09900843696827702,0.26733333333333326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,A_ma120,Always,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.11900338588847359,0.1342191316300441,0.8866350455648117,1.4013003309655496,0.8487740930596743,-0.14020619486568953,0.8559774848418142,0.5909090909090909,0.10856306383934286,-0.09900843696827702,0.2569696969696969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,A_ma120,Always,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.03825407026150773,0.13080735517315784,0.2924458659902453,0.5850201235570905,0.4014818072185826,-0.09528220102058249,0.07797151441458783,0.4583333333333333,0.1321289072006305,-0.058271618083638906,0.2958333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,A_ma120,Always,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.0773630678764019,0.09196244303282171,0.841246331926945,1.3202296645054465,1.1038756864102952,-0.07008313420506584,0.7487012823789834,0.26666666666666666,0.1321289072006305,-0.0700831342050659,0.38133333333333336,0.43333333333333335,0.5666666666666667,27.0,9.0,-0.019512421095837285,0.07012306066062368,0.025816,1.0,performance,A_ma120,Cash,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.08528207450916314,0.08751794085273389,0.9744524800082645,1.5571714792442843,1.2168701568001317,-0.07008313420506584,0.5684997878749896,0.30303030303030304,0.08711345100578147,-0.0700831342050659,0.4121212121212121,0.5,0.5,21.0,9.0,-0.03372131137931045,0.07012306066062368,0.02022,1.0,performance,A_ma120,Cash,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.05588247590180484,0.10504747343057866,0.5319735361244566,0.692064335695651,1.0152473217802154,-0.05504321430153203,0.11488780291652545,0.16666666666666666,0.1321289072006305,-0.055043214301532084,0.2966666666666667,0.25,0.75,5.0,9.0,0.017628405640297107,0.04023898671905046,0.005596,1.0,performance,A_ma120,Cash,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.047503654342429646,0.19631039077899975,0.24198237369874023,0.36396084211716806,0.17254477944299723,-0.2753120349151056,0.41633699928873447,0.5,0.1545233189735904,-0.15200000000000002,0.6813333333333335,0.43333333333333335,0.0,27.0,0.0,-0.04937183462980954,-0.13510584004941606,0.04741599999999999,1.0,performance,A_ma120,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.0037459336092948714,0.18808350206480276,0.019916332736106955,0.02859899223627056,0.015123664553399266,-0.24768690128431325,0.020777041738509583,0.45454545454545453,0.1545233189735904,-0.15200000000000002,0.7303030303030303,0.5,0.0,21.0,0.0,-0.11525745227917872,-0.10748070641862373,0.03702,1.0,performance,A_ma120,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.17792558069832443,0.2176915565769462,0.8173288091466886,1.3788123712665292,1.0815063642639764,-0.16451644352496475,0.38750867366348474,0.625,0.1321289072006305,-0.12219679633867286,0.5466666666666666,0.25,0.0,5.0,0.0,0.1396715104368167,-0.06923424250438226,0.010395999999999999,1.0,performance,A_ma120,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.05049925495414609,0.1963843839150022,0.2571449620760215,0.38554379953424894,0.18742554399913353,-0.2694363525730492,0.44699861507337,0.5111111111111111,0.1545233189735904,-0.15200000000000002,0.38133333333333336,0.43333333333333335,0.0,27.0,0.0,-0.0463762340180931,-0.12923015770735968,0.025816,1.0,performance,A_ma120,BenchmarkIndexUpperBound,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.006789635331545307,0.18823726731120205,0.03606955959640227,0.05157564149486401,0.0280352645707277,-0.24218196030989236,0.03791800937984835,0.4696969696969697,0.1545233189735904,-0.15200000000000002,0.4121212121212121,0.5,0.0,21.0,0.0,-0.11221375055692828,-0.10197576544420284,0.02022,1.0,performance,A_ma120,BenchmarkIndexUpperBound,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.18073526337056167,0.2176059819865577,0.8305620172782122,1.3918981278335743,1.107815938395987,-0.16314557058300616,0.39413576216674984,0.625,0.1321289072006305,-0.12219679633867286,0.2966666666666667,0.25,0.0,5.0,0.0,0.14248119310905394,-0.06786336956242367,0.005596,1.0,performance,A_ma120,BenchmarkIndexUpperBound,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.09687548897223919,0.13294555321271473,0.728685440251146,1.2329575847081589,0.6909501328742359,-0.14020619486568953,1.0006908600543079,0.5555555555555556,0.1321289072006305,-0.09900843696827702,0.26733333333333326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,B_ma250,Always,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.11900338588847359,0.1342191316300441,0.8866350455648117,1.4013003309655496,0.8487740930596743,-0.14020619486568953,0.8559774848418142,0.5909090909090909,0.10856306383934286,-0.09900843696827702,0.2569696969696969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,B_ma250,Always,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.03825407026150773,0.13080735517315784,0.2924458659902453,0.5850201235570905,0.4014818072185826,-0.09528220102058249,0.07797151441458783,0.4583333333333333,0.1321289072006305,-0.058271618083638906,0.2958333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,B_ma250,Always,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.05942641103338975,0.08674818581769206,0.6850450009211593,0.8342035471221714,0.8479416867902322,-0.07008313420506584,0.5418103839707726,0.2,0.1321289072006305,-0.0700831342050659,0.1822222222222222,0.3333333333333333,0.6666666666666666,9.0,21.0,-0.03744907793884944,0.07012306066062368,0.008836,1.0,performance,B_ma250,Cash,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.06496063674180363,0.0806570945578149,0.8053927196105475,0.9988981038224265,0.926908270850536,-0.07008313420506584,0.41362610261296195,0.24242424242424243,0.08711345100578147,-0.0700831342050659,0.21757575757575753,0.4090909090909091,0.5909090909090909,8.0,21.0,-0.054042749146669955,0.07012306066062368,0.007535999999999999,1.0,performance,B_ma250,Cash,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.044355132026484334,0.10350664675920151,0.4285244804584616,0.3369338261294684,0.8058237984341294,-0.05504321430153203,0.09067764179005566,0.08333333333333333,0.1321289072006305,-0.055043214301532084,0.085,0.125,0.875,1.0,21.0,0.006101061764976601,0.04023898671905046,0.0013,1.0,performance,B_ma250,Cash,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.14572101626853873,0.1959158763007119,0.7437938109970786,1.1984092783383906,0.8030931654128162,-0.18144970290418716,1.7739050844031068,0.5444444444444444,0.1545233189735904,-0.15200000000000002,0.28222222222222226,0.3333333333333333,0.0,9.0,0.0,0.04884552729629954,-0.041243508038497634,0.016035999999999998,1.0,performance,B_ma250,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.1064748542276781,0.18177412448359037,0.5857536353436823,0.9043326430574701,0.5868009289819623,-0.18144970290418716,0.7445303012716602,0.5151515151515151,0.1545233189735904,-0.15200000000000002,0.3387878787878788,0.4090909090909091,0.0,8.0,0.0,-0.012528531660795483,-0.041243508038497634,0.013935999999999999,1.0,performance,B_ma250,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.26097518382500073,0.23208340737297084,1.1244887636693441,1.9927026524981295,2.1356957927251914,-0.12219679633867286,0.5900584142224943,0.625,0.1321289072006305,-0.12219679633867286,0.12666666666666668,0.125,0.0,1.0,0.0,0.222721113563493,-0.026914595318090373,0.0021,1.0,performance,B_ma250,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.14680744975746673,0.19592439046824917,0.7493066555246364,1.204162670562165,0.8090806841110512,-0.18144970290418716,1.7936937179901058,0.5555555555555556,0.1545233189735904,-0.15200000000000002,0.1822222222222222,0.3333333333333333,0.0,9.0,0.0,0.04993196078522755,-0.041243508038497634,0.008836,1.0,performance,B_ma250,BenchmarkIndexUpperBound,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.10774422593531541,0.18182014567122437,0.5925868420001352,0.9106152529499192,0.5937966511425414,-0.18144970290418716,0.7555662467857369,0.5303030303030303,0.1545233189735904,-0.15200000000000002,0.21757575757575753,0.4090909090909091,0.0,8.0,0.0,-0.011259159953158182,-0.041243508038497634,0.007535999999999999,1.0,performance,B_ma250,BenchmarkIndexUpperBound,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.2614812054763771,0.23203902753702185,1.1268845945954404,1.9906839353138472,2.139836831332897,-0.12219679633867286,0.5913348317701335,0.625,0.1321289072006305,-0.12219679633867286,0.085,0.125,0.0,1.0,0.0,0.22322713521486937,-0.026914595318090373,0.0013,1.0,performance,B_ma250,BenchmarkIndexUpperBound,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.09687548897223919,0.13294555321271473,0.728685440251146,1.2329575847081589,0.6909501328742359,-0.14020619486568953,1.0006908600543079,0.5555555555555556,0.1321289072006305,-0.09900843696827702,0.26733333333333326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,C_ret60,Always,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.11900338588847359,0.1342191316300441,0.8866350455648117,1.4013003309655496,0.8487740930596743,-0.14020619486568953,0.8559774848418142,0.5909090909090909,0.10856306383934286,-0.09900843696827702,0.2569696969696969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,C_ret60,Always,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.03825407026150773,0.13080735517315784,0.2924458659902453,0.5850201235570905,0.4014818072185826,-0.09528220102058249,0.07797151441458783,0.4583333333333333,0.1321289072006305,-0.058271618083638906,0.2958333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,C_ret60,Always,,,,,,,,,,,,,,,,,,,,,,
