date,turnover,cost,holdings,leverage,hedge_weight,reason
2020-09-30,1.44,0.0028799999999999997,25,1.0,0.0,monthly_rebalance
2020-10-30,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2020-11-30,1.44,0.0028799999999999997,25,1.0,0.0,monthly_rebalance
2020-12-31,1.12,0.0022400000000000002,25,1.0,0.0,monthly_rebalance
2021-01-29,1.36,0.00272,25,1.0,0.0,monthly_rebalance
2021-02-26,1.52,0.0030399999999999997,25,1.0,0.0,monthly_rebalance
2021-03-31,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2021-04-30,1.7600000000000002,0.00352,25,1.0,0.0,monthly_rebalance
2021-05-28,1.6,0.0032,25,1.0,0.0,monthly_rebalance
2021-06-30,1.7600000000000002,0.00352,25,1.0,0.0,monthly_rebalance
2021-07-30,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2021-08-31,1.6,0.0032,25,1.0,0.0,monthly_rebalance
2021-09-30,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2021-10-29,1.8400000000000003,0.0036800000000000005,25,1.0,0.0,monthly_rebalance
2021-11-30,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2021-12-31,1.9200000000000004,0.0038400000000000005,25,1.0,0.0,monthly_rebalance
2022-01-31,1.3599999999999999,0.0027199999999999998,25,1.0,0.0,monthly_rebalance
2022-02-28,1.2800000000000002,0.0025600000000000006,25,1.0,0.0,monthly_rebalance
2022-03-31,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2022-04-29,1.9200000000000004,0.0038400000000000005,25,1.0,0.0,monthly_rebalance
2022-05-31,1.7600000000000002,0.00352,25,1.0,0.0,monthly_rebalance
2022-06-30,1.52,0.0030399999999999997,25,1.0,0.0,monthly_rebalance
2022-07-29,1.8400000000000003,0.0036800000000000005,25,1.0,0.0,monthly_rebalance
2022-08-31,1.2000000000000002,0.0024000000000000002,25,1.0,0.0,monthly_rebalance
2022-09-30,1.44,0.0028799999999999997,25,1.0,0.0,monthly_rebalance
2022-10-31,1.44,0.0028799999999999997,25,1.0,0.0,monthly_rebalance
2022-11-30,1.6,0.0032,25,1.0,0.0,monthly_rebalance
2022-12-30,1.3599999999999999,0.0027199999999999998,25,1.0,0.0,monthly_rebalance
2023-01-31,1.6,0.0032,25,1.0,0.0,monthly_rebalance
2023-02-28,1.7600000000000002,0.00352,25,1.0,0.0,monthly_rebalance
2023-03-31,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2023-04-28,1.4400000000000002,0.0028800000000000006,25,1.0,0.0,monthly_rebalance
2023-05-31,1.6,0.0032,25,1.0,0.0,monthly_rebalance
2023-06-30,1.3599999999999999,0.0027199999999999998,25,1.0,0.0,monthly_rebalance
2023-07-31,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2023-08-31,1.8400000000000003,0.0036800000000000005,25,1.0,0.0,monthly_rebalance
2023-09-29,1.9200000000000004,0.0038400000000000005,25,1.0,0.0,monthly_rebalance
2023-10-31,1.7600000000000002,0.00352,25,1.0,0.0,monthly_rebalance
2023-11-30,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2023-12-29,1.4400000000000002,0.0028800000000000006,25,1.0,0.0,monthly_rebalance
2024-01-31,1.7600000000000002,0.00352,25,1.0,0.0,monthly_rebalance
2024-02-29,1.9200000000000004,0.0038400000000000005,25,1.0,0.0,monthly_rebalance
