signal_date,execution_date,action,code,rank_benefit
2016-05-25,2016-05-26,buy,510500,0.125
2016-06-08,2016-06-13,sell,510050,0.625
2016-06-08,2016-06-13,buy,510300,0.625
2016-06-17,2016-06-20,sell,510500,0.375
2016-06-17,2016-06-20,buy,510050,0.375
2016-07-15,2016-07-18,sell,510050,0.5
2016-07-15,2016-07-18,buy,510500,0.5
2016-08-05,2016-08-08,sell,510500,0.125
2016-08-05,2016-08-08,buy,510050,0.125
2016-08-26,2016-08-29,sell,510050,0.25
2016-08-26,2016-08-29,buy,510500,0.25
2016-09-09,2016-09-12,sell,510300,0.28571428571428575
2016-09-09,2016-09-12,buy,159915,0.28571428571428575
2016-09-27,2016-09-28,sell,510500,0.4285714285714286
2016-09-27,2016-09-28,buy,518880,0.4285714285714286
2016-10-11,2016-10-12,sell,159915,0.5
2016-10-11,2016-10-12,buy,512010,0.5
2016-10-25,2016-10-26,sell,518880,0.7857142857142857
2016-10-25,2016-10-26,buy,510300,0.7857142857142857
2016-11-01,2016-11-02,sell,512010,0.42857142857142855
2016-11-01,2016-11-02,buy,159928,0.42857142857142855
2016-11-29,2016-11-30,sell,159928,0.1428571428571429
2016-11-29,2016-11-30,buy,510050,0.1428571428571429
2016-12-06,2016-12-07,sell,510300,0.19999999999999996
2016-12-06,2016-12-07,buy,159928,0.19999999999999996
2016-12-20,2016-12-21,sell,510050,0.8
2016-12-20,2016-12-21,buy,511010,0.8
2016-12-27,2016-12-28,sell,159928,0.4666666666666667
2016-12-27,2016-12-28,buy,518880,0.4666666666666667
2017-01-18,2017-01-19,sell,518880,0.6000000000000001
2017-01-18,2017-01-19,buy,510050,0.6000000000000001
2017-02-22,2017-02-23,sell,510050,0.4
2017-02-22,2017-02-23,buy,159928,0.4
2017-03-15,2017-03-16,sell,511010,0.125
2017-03-15,2017-03-16,buy,518880,0.125
2017-04-07,2017-04-10,sell,159928,0.125
2017-04-07,2017-04-10,buy,512010,0.125
2017-05-08,2017-05-09,sell,512010,0.25
2017-05-08,2017-05-09,buy,159928,0.25
2017-05-31,2017-06-01,sell,159928,0.25
2017-05-31,2017-06-01,buy,510050,0.25
2017-06-21,2017-06-22,sell,510050,0.375
2017-06-21,2017-06-22,buy,159928,0.375
2017-06-28,2017-06-29,sell,518880,0.4375
2017-06-28,2017-06-29,buy,510300,0.4375
2017-07-12,2017-07-13,sell,159928,0.20000000000000007
2017-07-12,2017-07-13,buy,510050,0.20000000000000007
2017-08-02,2017-08-03,sell,510050,0.3125
2017-08-02,2017-08-03,buy,511010,0.3125
2017-08-09,2017-08-10,sell,510300,0.1875
2017-08-09,2017-08-10,buy,159928,0.1875
2017-08-23,2017-08-24,sell,511010,0.4375
2017-08-23,2017-08-24,buy,510300,0.4375
2017-09-06,2017-09-07,sell,159928,0.2941176470588235
2017-09-06,2017-09-07,buy,512660,0.2941176470588235
2017-09-20,2017-09-21,sell,510300,0.5294117647058822
2017-09-20,2017-09-21,buy,159928,0.5294117647058822
2017-10-11,2017-10-12,sell,512660,0.42105263157894735
2017-10-11,2017-10-12,buy,512010,0.42105263157894735
2017-10-18,2017-10-19,sell,159928,0.26315789473684215
2017-10-18,2017-10-19,buy,511010,0.26315789473684215
2017-11-01,2017-11-02,sell,512010,0.25
2017-11-01,2017-11-02,buy,510050,0.25
2017-11-08,2017-11-09,sell,511010,0.15000000000000002
2017-11-08,2017-11-09,buy,512660,0.15000000000000002
2017-11-29,2017-11-30,sell,510050,0.6
2017-11-29,2017-11-30,buy,512880,0.6
2017-12-06,2017-12-07,sell,512660,0.4
2017-12-06,2017-12-07,buy,510300,0.4
2017-12-20,2017-12-21,sell,512880,0.95
2017-12-20,2017-12-21,buy,511010,0.95
2017-12-27,2017-12-28,sell,510300,0.6000000000000001
2017-12-27,2017-12-28,buy,159928,0.6000000000000001
2018-01-18,2018-01-19,sell,159928,0.75
2018-01-18,2018-01-19,buy,518880,0.75
2018-02-22,2018-02-23,sell,518880,0.15000000000000002
2018-02-22,2018-02-23,buy,510050,0.15000000000000002
2018-03-08,2018-03-09,sell,511010,0.19047619047619047
2018-03-08,2018-03-09,buy,512660,0.19047619047619047
2018-03-15,2018-03-16,sell,510050,0.7142857142857143
2018-03-15,2018-03-16,buy,512010,0.7142857142857143
2018-04-09,2018-04-10,sell,512010,0.7142857142857142
2018-04-09,2018-04-10,buy,512100,0.7142857142857142
2018-04-16,2018-04-17,sell,512660,0.6666666666666667
2018-04-16,2018-04-17,buy,511010,0.6666666666666667
2018-05-02,2018-05-03,sell,512100,0.1428571428571428
2018-05-02,2018-05-03,buy,159928,0.1428571428571428
2018-06-13,2018-06-14,sell,511010,0.23809523809523814
2018-06-13,2018-06-14,buy,510050,0.23809523809523814
2018-06-28,2018-06-29,sell,159928,0.19047619047619047
2018-06-28,2018-06-29,buy,511010,0.19047619047619047
2018-07-05,2018-07-06,sell,510050,0.2857142857142857
2018-07-05,2018-07-06,buy,518880,0.2857142857142857
2018-07-26,2018-07-27,sell,511010,0.9047619047619048
2018-07-26,2018-07-27,buy,510050,0.9047619047619048
2018-08-09,2018-08-10,sell,518880,0.2857142857142857
2018-08-09,2018-08-10,buy,511010,0.2857142857142857
2018-08-30,2018-08-31,sell,510050,0.19047619047619047
2018-08-30,2018-08-31,buy,518880,0.19047619047619047
2018-09-20,2018-09-21,sell,518880,0.1428571428571429
2018-09-20,2018-09-21,buy,512800,0.1428571428571429
2018-10-12,2018-10-15,sell,511010,0.5238095238095238
2018-10-12,2018-10-15,buy,512400,0.5238095238095238
2018-10-19,2018-10-22,sell,512800,0.23809523809523814
2018-10-19,2018-10-22,buy,512200,0.23809523809523814
2018-11-02,2018-11-05,sell,512400,0.23809523809523814
2018-11-02,2018-11-05,buy,511260,0.23809523809523814
2018-11-23,2018-11-26,sell,511260,0.8095238095238095
2018-11-23,2018-11-26,buy,159915,0.8095238095238095
