experiment,reproduction_status,run_mode,declared_factors,actual_factors,factor_tiers,implicit_margin_screen,mean_complete_score_ratio,annual_return,sharpe,max_drawdown,turnover,total_return,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026
ohlcv_baseline,BASELINE_OHLCV,baseline,MOM_20D,MOM_20D,"{""MOM_20D"": ""production""}",False,0.6668708677155738,-0.01846406158059355,-0.1456285704546915,-0.6971780860339045,202.1,-0.3196061660804017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04743975530809297,0.023891184954280442,0.27771520284780316,0.04696864598585648,0.015259803426133534,0.12304215301396071,-0.057117442029690046,-0.006787848968596855,0.0833269660541971,-0.20992018115700695,-0.11049112227564584,-0.11961299397923875,-0.23814208607735166,-0.15631737941083035,0.1336160336858967
share_chg_5d_only,PRODUCTION_FACTORS,research,MOM_20D|SHARE_CHG_5D,MOM_20D|SHARE_CHG_5D,"{""MOM_20D"": ""production"", ""SHARE_CHG_5D"": ""production""}",False,0.5875996513404588,-0.0006937803201214621,-0.007549692654323667,-0.48861286110829516,212.29999999999998,-0.014238015569170925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0791319947568061,-0.05699186962073677,0.13888552934726595,0.013879109443892146,0.010965645762723408,0.16766145048680614,-0.02138440440109235,-0.032077799481931235,0.179422962260265,0.010491847400739385,-0.08322891835082635,-0.10573292389314892,-0.19178208852716405,0.022155584079316837,0.0892085815808299
both_share_factors,PRODUCTION_FACTORS,research,MOM_20D|SHARE_CHG_5D|SHARE_CHG_20D,MOM_20D|SHARE_CHG_5D|SHARE_CHG_20D,"{""MOM_20D"": ""production"", ""SHARE_CHG_5D"": ""production"", ""SHARE_CHG_20D"": ""production""}",False,0.5851066146475841,0.03174099082764137,0.32633455356627505,-0.3574958821185309,191.7,0.9072471634166686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047411936154693635,-0.05699186962073677,0.16916306055130748,0.021632951622895025,0.03481583129775956,0.18265184532890122,0.025259084131629805,0.07377163538796783,0.18223093914133082,0.05236059384388736,-0.09017022454235313,-0.07515772480009297,-0.013158050064351556,0.2759619621566878,0.0008542746440098892
C1_research_partial,PARTIAL_REPRODUCTION,research,ADX_14D|BREAKOUT_20D|MARGIN_BUY_RATIO|PRICE_POSITION_120D|SHARE_CHG_5D,ADX_14D|BREAKOUT_20D|MARGIN_BUY_RATIO|PRICE_POSITION_120D|SHARE_CHG_5D,"{""ADX_14D"": ""production"", ""BREAKOUT_20D"": ""production"", ""MARGIN_BUY_RATIO"": ""research_staging"", ""PRICE_POSITION_120D"": ""production"", ""SHARE_CHG_5D"": ""production""}",True,0.40092137880411705,0.0410851011676614,0.5446977175080172,-0.23466529908878098,172.2,1.2978026480429623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09906119617014542,-0.05705197978843923,0.20607737503889134,0.023280614771327812,-0.018851397315194363,0.11610380567745304,-0.02397885454652604,0.03939100473302348,0.22338280871907168,0.11799032413149191,-0.10700138594194242,0.13484793839489684,-0.01789678083844648,0.26968501492711905,0.1414061243900102
C4_research_partial,PARTIAL_REPRODUCTION,research,MARGIN_CHG_10D|PRICE_POSITION_120D|SHARE_CHG_20D|SLOPE_20D,MARGIN_CHG_10D|PRICE_POSITION_120D|SHARE_CHG_20D|SLOPE_20D,"{""MARGIN_CHG_10D"": ""research_staging"", ""PRICE_POSITION_120D"": ""production"", ""SHARE_CHG_20D"": ""production"", ""SLOPE_20D"": ""production""}",True,0.3980994958865432,0.0141594025689884,0.13600458453150993,-0.5031095554390927,184.89999999999998,0.3371219338092615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.062241813044733973,-0.05705197978843923,0.16138216879189282,-0.00298988075140616,0.0475649974424166,0.186440807372241,-0.02429681418260421,0.03624290715801193,0.1522789173539647,0.025936968982006814,-0.12949742307702383,-0.10593677015018654,-0.1095400880172327,0.07593770091130625,0.1789441676796566
