code,participation_ratio
159801,0.9238643634037108
159819,0.9157820240622788
159859,0.8840816326530613
159883,0.8534278959810875
159915,0.6363380281690141
159920,0.7170206401435836
159928,0.7234314980793854
159949,0.8222222222222222
159985,0.0
159992,0.9220183486238532
159995,0.9241555130656469
159998,0.921967213114754
510050,0.6554637987324755
510300,0.9639744334689134
510500,0.9633281972265023
511010,0.8041460396039604
511260,0.41840036985668055
511380,0.9221713538260301
512010,0.6584084084084084
512100,0.5878864887759424
512200,0.6484593837535014
512400,0.701112140871177
512480,0.9085648148148148
512660,0.801984291029351
512690,0.7913340935005702
512720,0.8995243757431629
512800,0.8907755851307939
512880,0.8520049607275734
512980,0.9093992248062015
513050,0.8964767290126142
513100,0.5944233206590621
513130,0.9048
513180,0.9051792828685259
513400,0.8006700167504187
513500,0.6159658344283837
513520,0.38546511627906976
515030,0.9233247422680413
515180,0.925531914893617
515210,0.7786357786357786
515220,0.8558558558558559
515650,0.926859250153657
515790,0.9123065585851142
516090,0.6029298380878951
516160,0.9101208459214502
516520,0.0899390243902439
518850,0.24110141034251176
518880,0.0
588000,0.9138305575669804
588200,0.8593406593406593
