code,participation_ratio
159801,0.9872040946896993
159819,0.9858457183297947
159859,0.9836734693877551
159883,0.9842395587076438
159915,0.9943661971830986
159920,0.9940173496859108
159928,0.9935979513444302
159949,0.9917695473251029
159985,0.9875699192044748
159992,0.9868938401048493
159995,0.9872530274059911
159998,0.9868852459016394
510050,0.6781256001536393
510300,0.9941894247530505
510500,0.9938366718027735
511010,0.9938118811881188
511260,0.9907535829865927
511380,0.986919555264879
512010,0.9924924924924925
512100,0.9915290131300296
512200,0.9906629318394025
512400,0.9907321594068582
512480,0.9884259259259259
512660,0.9917321207110377
512690,0.9885974914481186
512720,0.9881093935790726
512800,0.9908214777420835
512880,0.9917321207110377
512980,0.9903100775193798
513050,0.9913005654632449
513100,0.9936628643852978
513130,0.984
513180,0.9840637450199203
513400,0.966499162479062
513500,0.9934296977660972
513520,0.9883720930232558
515030,0.9871134020618557
515180,0.9874843554443054
515210,0.9871299871299871
515220,0.9871299871299871
515650,0.9877074370006146
515790,0.9852616064848931
516090,0.9845797995373939
516160,0.9848942598187311
516520,0.9847560975609756
518850,0.9865681665547347
518880,0.9936688825577714
588000,0.9855177407675597
588200,0.978021978021978
