signal_date,execution_date,action,code,rank_benefit
2016-06-17,2016-06-20,buy,159915,0.8181818181818181
2016-07-01,2016-07-04,sell,510500,0.18181818181818177
2016-07-01,2016-07-04,buy,159928,0.18181818181818177
2016-07-08,2016-07-11,sell,159915,0.36363636363636365
2016-07-08,2016-07-11,buy,518880,0.36363636363636365
2016-07-29,2016-08-01,sell,518880,0.3636363636363636
2016-07-29,2016-08-01,buy,510300,0.3636363636363636
2016-08-12,2016-08-15,sell,159928,0.36363636363636365
2016-08-12,2016-08-15,buy,510050,0.36363636363636365
2016-08-19,2016-08-22,sell,510300,0.25
2016-08-19,2016-08-22,buy,512010,0.25
2016-09-09,2016-09-12,sell,510050,0.5714285714285714
2016-09-09,2016-09-12,buy,159915,0.5714285714285714
2016-10-11,2016-10-12,sell,159915,0.1428571428571428
2016-10-11,2016-10-12,buy,510500,0.1428571428571428
2016-10-25,2016-10-26,sell,512010,0.2857142857142857
2016-10-25,2016-10-26,buy,510050,0.2857142857142857
2016-11-01,2016-11-02,sell,510500,0.2857142857142857
2016-11-01,2016-11-02,buy,159928,0.2857142857142857
2016-11-22,2016-11-23,sell,159928,0.1428571428571428
2016-11-22,2016-11-23,buy,510300,0.1428571428571428
2016-12-13,2016-12-14,sell,510300,0.20000000000000007
2016-12-13,2016-12-14,buy,159928,0.20000000000000007
2016-12-20,2016-12-21,sell,510050,0.4666666666666667
2016-12-20,2016-12-21,buy,512010,0.4666666666666667
2017-01-18,2017-01-19,sell,512010,0.5333333333333333
2017-01-18,2017-01-19,buy,518880,0.5333333333333333
2017-02-15,2017-02-16,sell,159928,0.33333333333333337
2017-02-15,2017-02-16,buy,510050,0.33333333333333337
2017-02-22,2017-02-23,sell,518880,0.8125
2017-02-22,2017-02-23,buy,159928,0.8125
2017-03-08,2017-03-09,sell,510050,0.4375
2017-03-08,2017-03-09,buy,159915,0.4375
2017-03-29,2017-03-30,sell,159915,0.75
2017-03-29,2017-03-30,buy,512010,0.75
2017-04-14,2017-04-17,sell,159928,0.1875
2017-04-14,2017-04-17,buy,518880,0.1875
2017-04-21,2017-04-24,sell,512010,0.125
2017-04-21,2017-04-24,buy,159928,0.125
2017-05-08,2017-05-09,sell,518880,0.1875
2017-05-08,2017-05-09,buy,511010,0.1875
2017-05-15,2017-05-16,sell,159928,0.1875
2017-05-15,2017-05-16,buy,512010,0.1875
2017-05-31,2017-06-01,sell,511010,0.4375
2017-05-31,2017-06-01,buy,510050,0.4375
2017-06-07,2017-06-08,sell,512010,0.25
2017-06-07,2017-06-08,buy,510300,0.25
2017-06-21,2017-06-22,sell,510050,0.1875
2017-06-21,2017-06-22,buy,159928,0.1875
2017-07-12,2017-07-13,sell,159928,0.4666666666666667
2017-07-12,2017-07-13,buy,510050,0.4666666666666667
2017-08-09,2017-08-10,sell,510300,0.3125
2017-08-09,2017-08-10,buy,159928,0.3125
2017-08-16,2017-08-17,sell,510050,0.875
2017-08-16,2017-08-17,buy,159949,0.875
2017-08-30,2017-08-31,sell,159928,0.125
2017-08-30,2017-08-31,buy,159915,0.125
2017-09-13,2017-09-14,sell,159949,0.11764705882352944
2017-09-13,2017-09-14,buy,510500,0.11764705882352944
2017-09-20,2017-09-21,sell,159915,0.17647058823529416
2017-09-20,2017-09-21,buy,512880,0.17647058823529416
2017-10-11,2017-10-12,sell,510500,0.368421052631579
2017-10-11,2017-10-12,buy,512010,0.368421052631579
2017-10-18,2017-10-19,sell,512880,0.8947368421052632
2017-10-18,2017-10-19,buy,159928,0.8947368421052632
2017-11-15,2017-11-16,sell,512010,0.1499999999999999
2017-11-15,2017-11-16,buy,510050,0.1499999999999999
2017-11-29,2017-11-30,sell,159928,0.29999999999999993
2017-11-29,2017-11-30,buy,510300,0.29999999999999993
2017-12-13,2017-12-14,sell,510050,0.35
2017-12-13,2017-12-14,buy,159928,0.35
2017-12-20,2017-12-21,sell,510300,0.7
2017-12-20,2017-12-21,buy,511010,0.7
2018-01-11,2018-01-12,sell,511010,0.5
2018-01-11,2018-01-12,buy,510050,0.5
2018-01-25,2018-01-26,sell,159928,0.19999999999999996
2018-01-25,2018-01-26,buy,512880,0.19999999999999996
2018-02-22,2018-02-23,sell,512880,0.8999999999999999
2018-02-22,2018-02-23,buy,511010,0.8999999999999999
2018-03-01,2018-03-02,sell,510050,0.7619047619047619
2018-03-01,2018-03-02,buy,159949,0.7619047619047619
2018-03-15,2018-03-16,sell,511010,0.7142857142857142
2018-03-15,2018-03-16,buy,159915,0.7142857142857142
2018-03-29,2018-03-30,sell,159949,0.1428571428571429
2018-03-29,2018-03-30,buy,512010,0.1428571428571429
2018-04-16,2018-04-17,sell,159915,0.23809523809523814
2018-04-16,2018-04-17,buy,512660,0.23809523809523814
2018-04-23,2018-04-24,sell,512010,0.23809523809523814
2018-04-23,2018-04-24,buy,511010,0.23809523809523814
2018-05-09,2018-05-10,sell,512660,0.9047619047619047
2018-05-09,2018-05-10,buy,512010,0.9047619047619047
2018-05-16,2018-05-17,sell,511010,0.5714285714285714
2018-05-16,2018-05-17,buy,159928,0.5714285714285714
2018-06-13,2018-06-14,sell,512010,0.19047619047619047
2018-06-13,2018-06-14,buy,518880,0.19047619047619047
2018-06-28,2018-06-29,sell,159928,0.1428571428571429
2018-06-28,2018-06-29,buy,511010,0.1428571428571429
2018-07-19,2018-07-20,sell,518880,0.47619047619047616
2018-07-19,2018-07-20,buy,512660,0.47619047619047616
2018-07-26,2018-07-27,sell,511010,0.6666666666666667
2018-07-26,2018-07-27,buy,159949,0.6666666666666667
2018-08-09,2018-08-10,sell,512660,0.47619047619047616
2018-08-09,2018-08-10,buy,511010,0.47619047619047616
2018-08-16,2018-08-17,sell,159949,0.6666666666666667
2018-08-16,2018-08-17,buy,512800,0.6666666666666667
2018-08-30,2018-08-31,sell,511010,0.38095238095238093
2018-08-30,2018-08-31,buy,512660,0.38095238095238093
2018-09-06,2018-09-07,sell,512800,0.19047619047619047
2018-09-06,2018-09-07,buy,511010,0.19047619047619047
2018-09-28,2018-10-08,sell,511010,0.33333333333333337
2018-09-28,2018-10-08,buy,512800,0.33333333333333337
2018-10-12,2018-10-15,sell,512660,0.8571428571428572
2018-10-12,2018-10-15,buy,518880,0.8571428571428572
2018-11-02,2018-11-05,sell,512800,0.1428571428571429
2018-11-02,2018-11-05,buy,512880,0.1428571428571429
2018-11-09,2018-11-12,sell,518880,0.47619047619047616
