code,participation_ratio
159801,0.9219449776071658
159819,0.9122434536447275
159859,0.8873469387755102
159883,0.8581560283687943
159915,0.6380281690140845
159920,0.7206102303320371
159928,0.7259923175416133
159949,0.8246913580246914
159985,0.0
159992,0.919397116644823
159995,0.9222434671765456
159998,0.9186885245901639
510050,0.6577683887075091
510300,0.9639744334689134
510500,0.9633281972265023
511010,0.8078589108910891
511260,0.42302357836338417
511380,0.9221713538260301
512010,0.6621621621621622
512100,0.5921219822109276
512200,0.6531279178338002
512400,0.705746061167748
512480,0.9143518518518519
512660,0.8061182306738321
512690,0.7970353477765109
512720,0.9054696789536266
512800,0.8953648462597522
512880,0.8561389003720545
512980,0.9142441860465116
513050,0.9008264462809917
513100,0.5975918884664132
513130,0.9048
513180,0.9051792828685259
513400,0.8006700167504187
513500,0.6192509855453351
513520,0.39127906976744187
515030,0.9233247422680413
515180,0.925531914893617
515210,0.7850707850707851
515220,0.8622908622908623
515650,0.926859250153657
515790,0.9123065585851142
516090,0.6106399383191982
516160,0.9101208459214502
516520,0.0975609756097561
518850,0.2478173270651444
518880,0.0
588000,0.9138305575669804
588200,0.8692307692307693
