ablation,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,turnover,trade_count,total_fees,total_slippage,worst_month,worst_5d,worst_10d,worst_20d,partial_factor_set
A0,2.3721746563390314,0.06059345048167142,0.308961334958163,0.19611984939758395,0.2520410181914075,-0.5749153957667318,0.10539542153130445,0.34261570962166316,1.0997664834357082,1363.0,2724,0.2726,,-0.37180917683664416,-0.32993861486734866,-0.3352551754654959,-0.3538850510832233,False
A1,2.064833267049852,0.05569954773702834,0.18584719345644476,0.299706154831346,0.300806913534443,-0.4446407625240649,0.12526864928182055,0.3328212022277703,1.1144456469065576,2610.0,5207,0.522,,-0.21814687976468727,-0.25692652807594074,-0.2606690371643544,-0.26685572701795657,True
A2,4.128541974646398,0.08233360273215484,0.1693732493716921,0.4861074758710718,0.4831797076823862,-0.3510138766116697,0.23455939556270408,0.3479930862300749,1.1557140761686095,749.0,1487,0.14980000000000002,,-0.1416834980218673,-0.2074992828700989,-0.18899450572560028,-0.1866719017181634,True
A3,4.607843442115423,0.08702371030245426,0.16669732271864618,0.5220462385549764,0.5150202102162817,-0.30233466106492946,0.2878390125562382,0.3516420203572114,1.1683342586466674,543.0,1075,0.1086,,-0.1416834980218673,-0.2074992828700989,-0.17775544909199903,-0.1757080545337829,True
A4,6.0853414480352,0.0993966054945945,0.1831000150775853,0.5428541633515267,0.48666056418181636,-0.4709988679495162,0.2110336399051564,0.35298636450931437,1.1844982098592933,293.0,575,0.058600000000000006,,-0.42134772240329976,-0.3795069851145013,-0.41017208949460526,-0.42382289683009255,True
A5,6.830335290882441,0.10472896850479319,0.16958122100063508,0.6175740915581742,0.5432227473660171,-0.489581110636105,0.21391546003219056,0.3537545611676589,1.197170090935641,277.0,543,0.055400000000000005,,-0.41878777818597746,-0.3795069851145013,-0.41044261131509496,-0.4208284049978114,True
A6,1.8049896732901987,0.05118282401296348,0.07154073680992783,0.7154360759373777,0.7085921859982106,-0.18052591477853364,0.28352064619505607,0.3526022661801421,1.245082666982003,186.4,543,0.03728,,-0.05955237864192464,-0.06953476825710181,-0.06759874972166113,-0.06836802915084195,True
A7,1.8049896732901987,0.05118282401296348,0.07154073680992783,0.7154360759373777,0.7085921859982106,-0.18052591477853364,0.28352064619505607,0.3526022661801421,1.245082666982003,186.4,543,0.03728,,-0.05955237864192464,-0.06953476825710181,-0.06759874972166113,-0.06836802915084195,True
A8,1.8049896732901987,0.05118282401296348,0.07154073680992783,0.7154360759373777,0.7085921859982106,-0.18052591477853364,0.28352064619505607,0.3526022661801421,1.245082666982003,186.4,543,0.03728,,-0.05955237864192464,-0.06953476825710181,-0.06759874972166113,-0.06836802915084195,True
A9,1.8049896732901987,0.05118282401296348,0.07154073680992783,0.7154360759373777,0.7085921859982106,-0.18052591477853364,0.28352064619505607,0.3526022661801421,1.245082666982003,186.4,543,0.03728,,-0.05955237864192464,-0.06953476825710181,-0.06759874972166113,-0.06836802915084195,True
A10,0.931888081082233,0.03238216790167914,0.07703989296318026,0.42032986620523444,0.3385230020416289,-0.18946525486306875,0.17091348978514576,0.3518340695217976,1.1566792509442856,172.0,706,0.0344,,-0.12406442136013396,-0.16187143249086533,-0.15198865160643749,-0.1616834673297881,True
