date,value,cash,holdings,return,nav
2026-02-11,1675497.2581400026,1109316.1581400027,159998|512400,0.003071361041356191,1.6754972581400027
2026-02-12,1684232.7581400028,1109316.1581400027,159998|512400,0.005213676093804853,1.684232758140003
2026-02-13,1673770.6581400027,1109316.1581400027,159998|512400,-0.006211789878469043,1.6737706581400027
2026-02-24,1677360.5581400027,1109316.1581400027,159998|512400,0.0021447980238757935,1.6773605581400026
2026-02-25,1676614.9793400029,1304403.6793400028,159998|515220,-0.00044449524962397735,1.676614979340003
2026-02-26,1679783.8793400028,1304403.6793400028,159998|515220,0.001890058265641592,1.6797838793400028
2026-02-27,1686745.6793400028,1304403.6793400028,159998|515220,0.004144461728454951,1.6867456793400029
2026-03-02,1679909.9793400029,1304403.6793400028,159998|515220,-0.004052596715513501,1.679909979340003
2026-03-03,1669659.4793400029,1304403.6793400028,159998|515220,-0.006101815053225157,1.6696594793400028
2026-03-04,1665295.6753200027,1511076.6753200027,159985|515220,-0.0026135892222317603,1.6652956753200028
2026-03-05,1663541.9753200028,1511076.6753200027,159985|515220,-0.0010530862632924798,1.6635419753200027
2026-03-06,1665168.4753200028,1511076.6753200027,159985|515220,0.0009777330684350716,1.6651684753200027
2026-03-09,1671527.0753200026,1511076.6753200027,159985|515220,0.0038185925894242967,1.6715270753200027
2026-03-10,1667033.7753200028,1511076.6753200027,159985|515220,-0.0026881407225423093,1.6670337753200029
2026-03-11,1671521.8753200027,1511076.6753200027,159985|515220,0.0026922669872950777,1.6715218753200027
2026-03-12,1674972.6753200027,1511076.6753200027,159985|515220,0.002064465952226646,1.6749726753200027
2026-03-13,1677464.7753200028,1511076.6753200027,159985|515220,0.0014878451671003212,1.6774647753200027
2026-03-16,1673382.8753200027,1511076.6753200027,159985|515220,-0.0024333744946873903,1.6733828753200026
2026-03-17,1671285.6753200027,1511076.6753200027,159985|515220,-0.0012532696676478272,1.6712856753200027
2026-03-18,1671459.4212600028,1031148.3212600028,159985|511260,0.00010395945023988773,1.6714594212600027
2026-03-19,1671394.921260003,1031148.3212600028,159985|511260,-3.858903134557057e-05,1.671394921260003
2026-03-20,1669294.821260003,1031148.3212600028,159985|511260,-0.001256495381963263,1.669294821260003
2026-03-23,1669699.7212600028,1031148.3212600028,159985|511260,0.0002425575128151003,1.6696997212600029
