year,attribution_AC,attribution_AD,attribution_ACD,attribution_AD_hyst,attribution_ACD_hyst,attribution_DC
2005,0.0,0.0,0.0,0.0,0.0,0.0
2006,-0.024990593392225646,-0.0659733235328217,-0.05931450839813901,-0.09083135782793983,-0.08432906603512857,-0.011270525012643029
2007,0.027633658741287315,0.005862564720834573,0.005862564720834573,0.0013481209156609442,0.0013481209156609442,0.14167661841943668
2008,0.17607655379283405,0.1336812473598542,0.19092026587755762,0.1336812473598542,0.19092026587755762,0.19007834949105173
2009,-0.2996728031714122,-0.18260206604065732,-0.33392612131416133,-0.18260206604065732,-0.33392612131416133,-0.3494958031772333
2010,0.028863751152868655,-0.043497716496914585,-0.07273067089441998,-0.043497716496914585,-0.07273067089441998,-0.032739010783157996
2011,0.09567515367358448,-0.01525730855547569,0.0168371152080391,-0.01525730855547569,0.0168371152080391,0.04911167615259182
2012,-0.1165204858438782,0.025477487515668695,-0.0675124378198737,0.025477487515668695,-0.0675124378198737,-0.08605171451465221
2013,0.0,0.004365998381105962,-0.026339840046737395,0.004365998381105962,-0.026339840046737395,0.0011196094266745504
2014,0.0,-0.06758510782040705,-0.09079778414477424,-0.06758510782040705,-0.09079778414477424,-0.05990723912128337
2015,-0.037028596623129184,0.043400026100914646,0.021114032770042535,0.043400026100914646,0.021114032770042535,0.021114032770042535
2016,0.00696279373013875,-0.05559981125393387,-0.011141205327943715,-0.05559981125393387,-0.011141205327943715,0.027918610331573057
2017,0.0,0.0447883315046218,0.006416796562342508,0.0447883315046218,0.006416796562342508,-0.028490451408507367
2018,0.02560467668230304,0.014303973234626621,0.05567975269470904,0.014303973234626621,0.05567975269470904,0.1049403227595409
2019,-0.0753925539864253,-0.03429898185185132,-0.0347065106304687,-0.03429898185185132,-0.0347065106304687,-0.005301526040381699
2020,0.09059611488581432,0.011289693074555185,0.01324887695502075,0.011289693074555185,0.01324887695502075,0.08999385313542274
2021,0.0,-0.08537565331893249,-0.10716415635089205,-0.08537565331893249,-0.10716415635089205,-0.14192995332217073
2022,0.11756971000428662,0.0331022654376516,0.1397850417761457,0.0331022654376516,0.1397850417761457,0.1397850417761457
2023,-0.08784825755898029,-0.04465747571007417,-0.14081097614261062,-0.04465747571007417,-0.14081097614261062,-0.14081097614261062
2024,0.0,-0.007874098605529234,-0.007874098605529234,0.0013251498548920715,0.0013251498548920715,-0.03562464936638077
2025,-0.028499899025814734,0.04223855285480793,0.025001662681577885,0.04223855285480793,0.025001662681577885,0.03244132411361966
2026,0.0,-0.03143553666591492,-0.03143553666591492,-0.03143553666591492,-0.03143553666591492,-0.03285174536331814
