Date,gross_return,cost,net_return,exposure,n_holdings,equity_gross,equity_net
2005-03-01,0.011016040262665117,0.0,0.011016040262665117,1.0,1,1.0110160402626651,1.0110160402626651
2005-03-02,-0.0005316230548350065,0.0,-0.0005316230548350065,1.0,1,1.0104785608268534,1.0104785608268534
2005-03-03,-0.008242395075526932,0.0,-0.008242395075526932,1.0,1,1.0021497973131686,1.0021497973131686
2005-03-04,0.005898449237867975,0.0,0.005898449237867975,1.0,1,1.0080609270213599,1.0080609270213599
2005-03-07,0.014392674853186849,0.0,0.014392674853186849,1.0,1,1.0225696201761805,1.0225696201761805
2005-03-08,-0.009985299697961914,0.0,-0.009985299697961914,1.0,1,1.0123589560566901,1.0123589560566901
2005-03-09,-0.002918977511471632,0.0,-0.002918977511471632,1.0,1,1.0094039030304238,1.0094039030304238
2005-03-10,-0.0013304644503872032,0.0,-0.0013304644503872032,1.0,1,1.0080609270213599,1.0080609270213599
2005-03-11,-0.00932852581946042,0.0,-0.00932852581946042,1.0,1,0.9986572046360519,0.9986572046360519
2005-03-14,0.004573150418571759,0.0,0.004573150418571759,1.0,1,1.003224214249443,1.003224214249443
2005-03-15,-0.008033399813164976,0.0,-0.008033399813164976,1.0,1,0.9951649130341289,0.9951649130341289
2005-03-16,-0.011339910509262197,0.0,-0.011339910509262197,1.0,1,0.9838798319783641,0.9838798319783641
2005-03-17,0.0024579794273205113,0.0,0.0024579794273205113,1.0,1,0.9862981883643225,0.9862981883643225
2005-03-18,-0.005447813466007312,0.0,-0.005447813466007312,1.0,1,0.9809250198122527,0.9809250198122527
2005-03-21,0.00191720677116769,0.0,0.00191720677116769,1.0,1,0.9828056559022446,0.9828056559022446
2005-03-22,-0.012301859168446616,0.0,-0.012301859168446616,1.0,1,0.9707153191333824,0.9707153191333824
2005-03-23,0.003597523499436539,0.0,0.003597523499436539,1.0,1,0.9742074903052278,0.9742074903052278
2005-03-24,0.00027641098629827,0.0,0.00027641098629827,1.0,1,0.9744767719584823,0.9744767719584823
2005-03-28,0.0019301403627780545,0.0,0.0019301403627780545,1.0,1,0.976357648908629,0.976357648908629
2005-03-29,-0.007980318868618608,0.0,-0.007980318868618608,1.0,1,0.9685660035405234,0.9685660035405234
2005-03-30,0.01886302605924306,0.0,0.01886302605924306,1.0,1,0.9868360893054051,0.9868360893054051
2005-03-31,-0.0043567050422820275,0.0,-0.0043567050422820275,1.0,1,0.9825367355392224,0.9825367355392224
2005-04-01,-0.010117341699509397,0.0,-0.010117341699509397,1.0,1,0.9725960756534515,0.9725960756534515
2005-04-04,0.007182371818406086,0.0,0.007182371818406086,1.0,1,0.9795816222979172,0.9795816222979172
2005-04-05,0.0027426141144337723,0.0,0.0027426141144337723,1.0,1,0.9822682366814715,0.9822682366814715
2005-04-06,-0.0016411166949770184,0.0,-0.0016411166949770184,1.0,1,0.9806562198793078,0.9806562198793078
2005-04-07,0.012054966313809423,0.0,0.012054966313809423,1.0,1,0.9924779975753806,0.9924779975753806
2005-04-08,-0.008121717525082173,0.0,-0.008121717525082173,1.0,1,0.9844173716292142,0.9844173716292142
2005-04-11,-0.004366981307732054,0.0,-0.004366981307732054,1.0,1,0.9801184393683027,0.9801184393683027
2005-04-12,0.004934271861761097,0.0,0.004934271861761097,1.0,1,0.9849546102048709,0.9849546102048709
2005-04-13,-0.016366406994412164,0.0,-0.016366406994412164,1.0,1,0.9688344421832353,0.9688344421832353
2005-04-14,-0.0141431321745209,0.0,-0.0141431321745209,1.0,1,0.9551320886122097,0.9551320886122097
2005-04-15,-0.02278442611876841,0.0,-0.02278442611876841,1.0,1,0.9333699521055598,0.9333699521055598
2005-04-18,0.0002877305747670533,0.0,0.0002877305747670533,1.0,1,0.9336385111783495,0.9336385111783495
2005-04-19,0.00690632071879449,0.0,0.00690632071879449,1.0,1,0.940086518171965,0.940086518171965
2005-04-20,-0.00828796537057186,0.0,-0.00828796537057186,1.0,1,0.9322951136640143,0.9322951136640143
2005-04-21,0.02651277595044088,0.0,0.02651277595044088,1.0,1,0.9570128451322791,0.9570128451322791
2005-04-22,-0.014878766480342365,0.0,-0.014878766480342365,1.0,1,0.9427736744908679,0.9427736744908679
2005-04-25,0.008264278589577234,0.0,0.008264278589577234,1.0,1,0.9505650187837799,0.9505650187837799
2005-04-26,-0.00932746651135774,0.0,-0.00932746651135774,1.0,1,0.941698655404206,0.941698655404206
2005-04-27,0.001426504425367181,0.0,0.001426504425367181,1.0,1,0.9430419927035025,0.9430419927035025
2005-04-28,-0.00997143456803573,0.0,-0.00997143456803573,1.0,1,0.9336385111783495,0.9336385111783495
2005-04-29,0.006618156948900333,0.0,0.006618156948900333,1.0,1,0.9398174773788655,0.9398174773788655
2005-05-02,0.00400302748254755,0.0,0.00400302748254755,1.0,1,0.9435795925693916,0.9435795925693916
2005-05-03,0.005125153436482677,0.0,0.005125153436482677,1.0,1,0.9484155827608436,0.9484155827608436
2005-05-04,0.012181027914265785,0.0,0.012181027914265785,1.0,1,0.9599682594487781,0.9599682594487781
2005-05-05,0.0008396512079096308,0.0,0.0008396512079096308,1.0,1,0.9607742979573791,0.9607742979573791
2005-05-06,0.002796363937196178,0.0,0.002796363937196178,1.0,1,0.9634609725559721,0.9634609725559721
2005-05-09,0.004740462357732733,0.0,0.004740462357732733,1.0,1,0.9680282230295182,0.9680282230295182
2005-05-10,-0.007215641370680759,0.0,-0.007215641370680759,1.0,1,0.9610432785354398,0.9610432785354398
2005-05-11,0.005032083897262618,0.0,0.005032083897262618,1.0,1,0.9658793289419305,0.9658793289419305
2005-05-12,-0.002782394563760504,0.0,-0.002782394563760504,1.0,1,0.9631918715478338,0.9631918715478338
2005-05-13,0.010879683998412437,0.0,0.010879683998412437,1.0,1,0.9736710947401137,0.9736710947401137
2005-05-16,0.0066216863815908855,0.0,0.0066216863815908855,1.0,1,0.980118439368303,0.980118439368303
2005-05-17,0.006031343300912706,0.0,0.006031343300912706,1.0,1,0.9860298701516881,0.9860298701516881
2005-05-18,0.013623453547856101,0.0,0.013623453547856101,1.0,1,0.9994630022844981,0.9994630022844981
2005-05-19,0.008333599928040503,0.0,0.008333599928040503,1.0,1,1.0077921270884154,1.0077921270884154
2005-05-20,0.003998673083918325,0.0,0.003998673083918325,1.0,1,1.0118219583411887,1.0118219583411887
2005-05-23,0.005045027588339357,0.0,0.005045027588339357,1.0,1,1.0169266280355076,1.0169266280355076
2005-05-24,0.0031708436338875323,0.0,0.0031708436338875323,1.0,1,1.0201511433601447,1.0201511433601447
2005-05-25,-0.004214074065329587,0.0,-0.004214074065329587,1.0,1,1.0158521508841944,1.0158521508841944
2005-05-26,0.010050143428676162,0.0,0.010050143428676162,1.0,1,1.0260616107029097,1.0260616107029097
2005-05-27,0.0005239450148815106,0.0,0.0005239450148815106,1.0,1,1.0265992105687989,1.0265992105687989
2005-05-31,-0.00340198220599075,0.0,-0.00340198220599075,1.0,1,1.0231067383217596,1.0231067383217596
2005-06-01,0.008140600571459489,0.0,0.008140600571459489,1.0,1,1.0314354416204057,1.0314354416204057
2005-06-02,0.007032319080867655,0.0,0.007032319080867655,1.0,1,1.038688824757196,1.038688824757196
2005-06-03,-0.014484461083228428,0.0,-0.014484461083228428,1.0,1,1.0236439768974162,1.0236439768974162
2005-06-06,0.00026223828671922966,0.0,0.00026223828671922966,1.0,1,1.0239124155401282,1.0239124155401282
2005-06-07,-0.008396482199994115,0.0,-0.008396482199994115,1.0,1,1.0153151531686926,1.0153151531686926
2005-06-08,-0.0021174880888329417,0.0,-0.0021174880888329417,1.0,1,1.0131652354254463,1.0131652354254463
2005-06-09,0.006365112020931596,0.0,0.006365112020931596,1.0,1,1.0196141456446428,1.0196141456446428
2005-06-10,-0.010541088043960811,0.0,-0.010541088043960811,1.0,1,1.0088663031645349,1.0088663031645349
2005-06-13,0.004793788088149453,0.0,0.004793788088149453,1.0,1,1.0137025944311804,1.0137025944311804
2005-06-14,-0.003974942719529251,0.0,-0.003974942719529251,1.0,1,1.0096731846836782,1.0096731846836782
2005-06-15,0.0031924896964663496,0.0,0.0031924896964663496,1.0,1,1.012896555922579,1.012896555922579
2005-06-16,0.005305409408368655,0.0,0.005305409408368655,1.0,1,1.0182703868400749,1.0182703868400749
2005-06-17,0.00013246156278867716,0.0,0.00013246156278867716,1.0,1,1.0184052685268572,1.0184052685268572
