date,gross_return,cost,net_return,exposure,n_holdings,equity_gross,equity_net
2005-03-01,0.0022742350599810556,0.0005,0.0017742350599810556,0.6,2,1.0022742350599811,1.001774235059981
2005-03-02,-0.00033606126540715016,0.0,-0.00033606126540715016,0.6,2,1.001937409512262,1.0014375775428943
2005-03-03,1.9009918101220002e-05,0.0,1.9009918101220002e-05,0.6,2,1.0019564562603593,1.001456614789227
2005-03-04,0.009259373141016968,0.0,0.009259373141016968,0.6,2,1.011233944959925,1.0107294752701
2005-03-07,0.00038908053028734467,0.0,0.00038908053028734467,0.6,2,1.0116273963994746,1.011122730430315
2005-03-08,-0.004148373021795093,0.0,-0.004148373021795093,0.6,2,1.0074307886001423,1.0069282161736741
2005-03-09,-0.009738841285224332,0.0,-0.009738841285224332,0.6,2,0.9976195800441172,0.9971219020907447
2005-03-10,0.002057897142117948,0.0,0.002057897142117948,0.6,2,0.9996725785268109,0.9991738764034004
2005-03-11,-0.005882948918287956,0.0,-0.005882948918287956,0.6,2,0.9937915558123245,0.9932957875280314
2005-03-14,0.00469756271428734,0.0,0.00469756271428734,0.6,2,0.9984599539706821,0.9979618567837817
2005-03-15,-0.005703202129601249,0.0,-0.005703202129601249,0.6,2,0.9927655350348749,0.9922702785969115
2005-03-16,-0.004191089108821822,0.0,-0.004191089108821822,0.6,2,0.9886047662133766,0.9881115854392765
2005-03-17,0.002744014842498377,0.0,0.002744014842498377,0.6,2,0.9913175123652308,0.9908229782957665
2005-03-18,-0.002780750096644624,0.0,-0.002780750096644624,0.6,2,0.9885609060969157,0.9880677472031129
2005-03-21,-0.002701991871255016,0.0,-0.002701991871255016,0.6,2,0.9858898225644014,0.9853979961819208
2005-03-22,-0.008996142467454261,0.0,-0.008996142467454261,0.6,2,0.9770206172633988,0.9765332154211243
2005-03-23,0.0014356175705549923,0.0,0.0014356175705549923,0.6,2,0.9784232452283367,0.9779351436634134
2005-03-24,0.0010611800625483388,0.0,0.0010611800625483388,0.6,2,0.9794615284689069,0.9789729089403344
