variant,net_cagr,net_volatility,net_sharpe,net_max_drawdown,annualized_turnover,cost_total,worst_12m_return,oos_cagr,oos_sharpe,oos_max_drawdown,positive_year_delta_vs_A,positive_roll3y_sharpe_delta_vs_A,avg_weight_QQQ,avg_weight_SPY,avg_weight_cash,max_single_weight,qqq_held_pct,spy_held_pct,cash_only_pct,stress_gfc_2008,stress_covid_2020,stress_bear_2022,vs_bh_spy_rel_cagr,vs_bh_spy_rel_sharpe,vs_bh_spy_excess_cagr,vs_bh_spy_benchmark_cagr,vs_bh_spy_benchmark_sharpe,vs_bh_spy_benchmark_max_drawdown,vs_bh_qqq_rel_cagr,vs_bh_qqq_rel_sharpe,vs_bh_qqq_excess_cagr,vs_bh_qqq_benchmark_cagr,vs_bh_qqq_benchmark_sharpe,vs_bh_qqq_benchmark_max_drawdown,vs_sixty_forty_rel_cagr,vs_sixty_forty_rel_sharpe,vs_sixty_forty_excess_cagr,vs_sixty_forty_benchmark_cagr,vs_sixty_forty_benchmark_sharpe,vs_sixty_forty_benchmark_max_drawdown
attribution_A,0.09728613684626786,0.14360416646551968,0.7186242831559002,-0.22666767326665682,2.777300319488818,0.059500000000000004,-0.20954487586332537,0.28791397391058315,1.627399520925153,-0.13937530671488285,,,0.24031007751937986,0.2655038759689923,0.14534883720930233,1.0,0.4806201550387597,0.5310077519379846,0.09689922480620156,-0.09357286645858609,-0.08503787189924483,-0.1892375210604469,-0.013583219834107707,0.06950881344968007,-0.013583219834107707,0.11086935668037556,0.6491154697062201,-0.5518940436853614,-0.05986880627245217,-0.06331598019292006,-0.05986880627245217,0.15715494311872003,0.7819402633488203,-0.5340403260035962,0.012944259069802566,-0.07800470112965563,0.012944259069802566,0.08434187777646529,0.7966289842855558,-0.31533867882800126
attribution_AC,0.09586615698840295,0.12998565352034042,0.7696046250771705,-0.2580040948268377,2.9640095846645367,0.0635,-0.16836881835753426,0.27661667236799437,1.6181139618794274,-0.13937530671488274,0.36363636363636365,0.5763252291749701,0.20930232558139536,0.23255813953488372,0.2713178294573643,1.0,0.4186046511627907,0.46511627906976744,0.20930232558139536,0.06984970781183764,-0.08503787189924483,-0.07166781105616027,-0.015003199691972613,0.1204891553709504,-0.015003199691972613,0.11086935668037556,0.6491154697062201,-0.5518940436853614,-0.061288786130317074,-0.01233563827164974,-0.061288786130317074,0.15715494311872003,0.7819402633488203,-0.5340403260035962,0.01152427921193766,-0.027024359208385307,0.01152427921193766,0.08434187777646529,0.7966289842855558,-0.31533867882800126
attribution_AD,0.08713038975940379,0.13457902983820302,0.6883065015757158,-0.2293269094563386,3.4774600638977633,0.07450000000000001,-0.17012013229316814,0.27483636860937244,1.593888984207622,-0.13937530671488285,0.45454545454545453,0.4483858110801116,0.16472868217054262,0.13565891472868216,0.13372093023255813,1.0,0.32945736434108525,0.2713178294573643,0.07364341085271318,-0.0031530187697542678,-0.051754291257329776,-0.1561352556227953,-0.02373896692097177,0.039191031869495685,-0.02373896692097177,0.11086935668037556,0.6491154697062201,-0.5518940436853614,-0.07002455335931623,-0.09363376177310445,-0.07002455335931623,0.15715494311872003,0.7819402633488203,-0.5340403260035962,0.002788511982938502,-0.10832248270984002,0.002788511982938502,0.08434187777646529,0.7966289842855558,-0.31533867882800126
attribution_ACD,0.07843665407234979,0.12332324014309443,0.6742355051922276,-0.17836558597337104,3.6875079872204473,0.079,-0.1213175885869614,0.26830071589500104,1.618165983694802,-0.13937530671488285,0.4090909090909091,0.4597449182941411,0.14534883720930233,0.12209302325581395,0.25387596899224807,1.0,0.29069767441860467,0.2441860465116279,0.13178294573643412,0.05593250497632485,-0.051754291257329776,-0.04945247928430119,-0.032432702608025776,0.025120035486007497,-0.032432702608025776,0.11086935668037556,0.6491154697062201,-0.5518940436853614,-0.07871828904637024,-0.10770475815659264,-0.07871828904637024,0.15715494311872003,0.7819402633488203,-0.5340403260035962,-0.005905223704115503,-0.1223934790933282,-0.005905223704115503,0.08434187777646529,0.7966289842855558,-0.31533867882800126
attribution_AD_hyst,0.08611857436486514,0.13449465528676813,0.6817293469337634,-0.2293269094563386,3.384105431309904,0.07250000000000001,-0.17012013229316814,0.27879913165390025,1.608659417627243,-0.13937530671488296,0.5,0.42905540055799124,0.16472868217054262,0.1375968992248062,0.13372093023255813,1.0,0.32945736434108525,0.2751937984496124,0.07364341085271318,-0.0031530187697542678,-0.051754291257329776,-0.1561352556227953,-0.024750782315510422,0.032613877227543275,-0.024750782315510422,0.11086935668037556,0.6491154697062201,-0.5518940436853614,-0.07103636875385488,-0.10021091641505686,-0.07103636875385488,0.15715494311872003,0.7819402633488203,-0.5340403260035962,0.001776696588399851,-0.11489963735179243,0.001776696588399851,0.08434187777646529,0.7966289842855558,-0.31533867882800126
attribution_ACD_hyst,0.07743293012267105,0.12323087125361844,0.6670912782234388,-0.17836558597337104,3.5941533546325877,0.07700000000000001,-0.1213175885869614,0.2722431632004372,1.6332271202242568,-0.13937530671488296,0.45454545454545453,0.45516141889198886,0.14534883720930233,0.12403100775193798,0.25387596899224807,1.0,0.29069767441860467,0.24806201550387597,0.13178294573643412,0.05593250497632485,-0.051754291257329776,-0.04945247928430119,-0.03343642655770451,0.017975808517218694,-0.03343642655770451,0.11086935668037556,0.6491154697062201,-0.5518940436853614,-0.07972201299604897,-0.11484898512538144,-0.07972201299604897,0.15715494311872003,0.7819402633488203,-0.5340403260035962,-0.00690894765379424,-0.129537706062117,-0.00690894765379424,0.08434187777646529,0.7966289842855558,-0.31533867882800126
attribution_DC,0.09563506720623405,0.13437286383828748,0.747211690030201,-0.1796558626144722,3.4774600638977633,0.0745,-0.10914648015550499,0.2584609332328405,1.5187688822469414,-0.13937530671488296,0.45454545454545453,0.614388202471104,0.19186046511627908,0.031007751937984496,0.25387596899224807,1.0,0.38372093023255816,0.06201550387596899,0.13178294573643412,0.09054341937128307,-0.07802359657300928,-0.04945247928430119,-0.015234289474141516,0.09809622032398091,-0.015234289474141516,0.11086935668037556,0.6491154697062201,-0.5518940436853614,-0.06151987591248598,-0.03472857331861923,-0.06151987591248598,0.15715494311872003,0.7819402633488203,-0.5340403260035962,0.011293189429768757,-0.04941729425535479,0.011293189429768757,0.08434187777646529,0.7966289842855558,-0.31533867882800126
bh_spy,0.11086935668037556,0.18976838893805084,0.6491154697062201,-0.5518940436853614,0.0,0.0,-0.4735413193731888,0.2142724545357675,1.296444601361968,-0.1875522626062266,0.7272727272727273,0.6522518931845357,0.0,0.0,0.0,0.0,,,,-0.4596135407325894,-0.09182199928884027,-0.18175381781351252,0.0,0.0,0.0,0.11086935668037556,0.6491154697062201,-0.5518940436853614,-0.04628558643834446,-0.13282479364260014,-0.04628558643834446,0.15715494311872003,0.7819402633488203,-0.5340403260035962,0.026527478903910273,-0.1475135145793357,0.026527478903910273,0.08434187777646529,0.7966289842855558,-0.31533867882800126
bh_qqq,0.15715494311872003,0.21679442995489737,0.7819402633488203,-0.5340403260035962,0.0,0.0,-0.47998848199592936,0.27375908314904485,1.257212156060765,-0.2276829964487822,0.7727272727272727,0.7066560382622559,0.0,0.0,0.0,0.0,,,,-0.40650575693288193,0.001399257646027774,-0.3257700735596185,0.04628558643834446,0.13282479364260014,0.04628558643834446,0.11086935668037556,0.6491154697062201,-0.5518940436853614,0.0,0.0,0.0,0.15715494311872003,0.7819402633488203,-0.5340403260035962,0.07281306534225473,-0.014688720936735566,0.07281306534225473,0.08434187777646529,0.7966289842855558,-0.31533867882800126
sixty_forty,0.08434187777646529,0.10913443249724536,0.7966289842855558,-0.31533867882800126,0.023338658146964855,0.0005,-0.2747118617975768,0.1411415268756948,1.3733622254608775,-0.10527055378925765,0.45454545454545453,0.6773614986050219,0.0,0.6,0.0,0.6,0.0,1.0,0.0,-0.22753196297823952,-0.021371234802030292,-0.16384676166850654,-0.026527478903910273,0.1475135145793357,-0.026527478903910273,0.11086935668037556,0.6491154697062201,-0.5518940436853614,-0.07281306534225473,0.014688720936735566,-0.07281306534225473,0.15715494311872003,0.7819402633488203,-0.5340403260035962,0.0,0.0,0.0,0.08434187777646529,0.7966289842855558,-0.31533867882800126
