date,gross_return,cost,net_return,n_holdings,exposure,equity_gross,equity_net
2023-12-22,0.0035917852679703045,0.0,0.0035917852679703045,40,1.0,3.8293710298410706,3.8099902820796783
2023-12-26,0.0027340840394379584,0.0,0.0027340840394379584,40,1.0,3.8398408520548446,3.8204071157003257
2023-12-27,0.0012217232281757115,0.0,0.0012217232281757115,40,1.0,3.844532074816298,3.8250745958146646
2023-12-28,0.0017047868733402667,0.0,0.0017047868733402667,40,1.0,3.85108618263158,3.8315955327751565
2023-12-29,-0.002132774714030003,0.0,-0.002132774714030003,40,1.0,3.8428726833997136,3.8234236027084636
2024-01-02,-0.008584876257521464,7.085554011277204e-05,-0.008655731797634236,40,1.0,3.8098820969393175,3.7903290734546746
2024-01-03,-0.012075894685103401,0.0,-0.012075894685103401,40,1.0,3.7638743619740174,3.7445574587417503
2024-01-04,-1.2989648059286282e-05,0.0,-1.2989648059286282e-05,40,1.0,3.763825470570716,3.7445088182582236
2024-01-05,0.002773054421315293,0.0,0.002773054421315293,40,1.0,3.7742627634329415,3.754892544992349
2024-01-08,0.011637069478973808,0.0,0.011637069478973808,40,1.0,3.8181841214429144,3.7985884904245055
2024-01-09,-0.003922147964410797,0.0,-0.003922147964410797,40,1.0,3.8032086383632513,3.7836898643091526
2024-01-10,0.0024180324424406627,0.0,0.0024180324424406627,40,1.0,3.8124049202361845,3.7928389491531864
2024-01-11,0.0005474481191496074,0.0,0.0005474481191496074,40,1.0,3.8144920141392045,3.794915331702138
2024-01-12,-0.0007368722685956721,0.0,-0.0007368722685956721,40,1.0,3.8116812207552058,3.792118963832538
2024-01-16,-0.003274545725180492,0.0,-0.003274545725180492,40,1.0,3.799199696308031,3.7797014968901443
2024-01-17,-0.004395827451925358,0.0,-0.004395827451925358,40,1.0,3.7824990699876535,3.763086581290031
2024-01-18,0.011515128925964808,0.0,0.011515128925964808,40,1.0,3.8260550344409032,3.8064190084331537
2024-01-19,0.01608543209304663,0.0,0.01608543209304663,40,1.0,3.8875987828816614,3.867646902910987
2024-01-22,0.004004166628814529,0.0,0.004004166628814529,40,1.0,3.9031653761942957,3.8831336055716608
2024-01-23,-0.0013832286973062518,0.0,-0.0013832286973062518,40,1.0,3.8977664058356116,3.87776234373296
