name,stat_cagr,stat_volatility,stat_sharpe,stat_sortino,stat_max_drawdown,stat_calmar,stat_worst_12m,stat_worst_36m,rel_max_relative_drawdown,rel_current_relative_drawdown,rel_longest_underwater_months,rel_longest_underwater_ongoing,rel_longest_start,rel_longest_trough,rel_longest_recovery,rel_months_since_peak,lt_avg_equity,lt_avg_bond,lt_avg_gold,lt_avg_cash,lt_avg_lookthrough_SPY,lt_avg_lookthrough_QQQ,lt_avg_lookthrough_US_equity_overlap,lt_max_lookthrough_SPY,lt_target_outer_spy,lt_target_outer_dc,end_value_10k,ann_turnover,lt_note
100_spy,0.11086935668037556,0.18976838893805084,0.6491154697062201,1.012867908369947,-0.5518940436853614,0.20088884442388175,-0.4735413193731888,-0.43463176510496093,0.0,0.0,,,,,,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,94970.02784353986,0.0,
100_dc,0.09563506720623405,0.13437286383828748,0.747211690030201,1.1394028027911818,-0.1796558626144722,0.5323236648918027,-0.10914648015550499,-0.04048028211353505,-0.7337223887943443,-0.6904371246641745,210.0,True,2009-03-10,2024-12-24,,210,2.225023169601483,0.4628359592215014,0.4784059314179796,0.7219647822057461,0.46468952734012975,0.447451343836886,0.9121408711770158,0.5,0.0,1.0,70663.81207907533,0.0,
80_20,0.10944722551992436,0.16516357031473447,0.7116772679425479,1.1121807923925322,-0.4668284521192563,0.23444848963911247,-0.4013135690426449,-0.3064658409670369,-0.2183021679575562,-0.19202250829645662,210.0,True,2009-03-10,2024-12-24,,210,1.245084044579562,0.09260116521950613,0.09571593779840684,0.14444327332700838,0.8929359304100319,0.08953709367857046,0.9824730240886025,0.9111126008881791,0.8,0.2,92400.87088099564,0.0531851689527832,
60_40,0.10719783240359426,0.14594361329643837,0.7710207130916634,1.204833312241375,-0.3753185170120067,0.28561828831953134,-0.3218058681366005,-0.15689617930153743,-0.3944983835108121,-0.35407136027434694,210.0,True,2009-03-10,2024-12-24,,210,1.4900657938064428,0.18516037117528705,0.1913890175315855,0.28882116345631875,0.7858998012188376,0.17902594714616893,0.9649257483650067,0.8171452213369103,0.6,0.4,88472.02107614157,0.07962667950728625,
40_60,0.10413608112159745,0.13367567883332968,0.8082286376662111,1.2565389290910194,-0.2713502897026969,0.38376992792487313,-0.23456857227492633,-0.08677072317382561,-0.5352613634521991,-0.4890850078864366,210.0,True,2009-03-10,2024-12-24,,210,1.7350094665752342,0.27770330431976437,0.2870454399837459,0.43317507804398975,0.6788639403963014,0.26849210304989984,0.9473560434462011,0.7176495641431335,0.4,0.6,83379.49837977142,0.07950634843630731,
bench_60_40,0.08434187777646529,0.10913443249724536,0.7966289842855558,1.262340046464051,-0.31533867882800126,0.2674644229814536,-0.2747118617975768,-0.1817429912924915,-0.5775609594567066,-0.5775609594567066,210.0,True,2009-03-10,2026-08-10,,210,0.6,0.4,0.0,0.0,,,,,,,56606.244746168704,,fixed 60% SPY + 40% IEF
