bps,name,cagr,sharpe,max_drawdown,ann_turnover
5.0,100_spy,0.11086935668037556,0.6491154697062201,-0.5518940436853614,0.0
5.0,100_dc,0.09563506720623405,0.747211690030201,-0.1796558626144722,0.0
5.0,80_20,0.10944722551992436,0.7116772679425479,-0.4668284521192563,0.0531851689527832
5.0,60_40,0.10719783240359426,0.7710207130916634,-0.3753185170120067,0.07962667950728625
5.0,40_60,0.10413608112159745,0.8082286376662111,-0.2713502897026969,0.07950634843630731
10.0,100_spy,0.11086935668037556,0.6491154697062201,-0.5518940436853614,0.0
10.0,100_dc,0.09182625465464,0.7211712165015852,-0.1796558626144722,0.0
10.0,80_20,0.10861767348439844,0.7071213332747139,-0.4673671345236753,0.05332100032099006
10.0,60_40,0.10557162975904699,0.7608934091043226,-0.3765001832352328,0.07983915402106821
10.0,40_60,0.10174716828331198,0.7919422160696554,-0.2733103049141925,0.07972753690047935
20.0,100_spy,0.11086935668037556,0.6491154697062201,-0.5518940436853614,0.0
20.0,100_dc,0.08424133081643936,0.6688894778166335,-0.17965586261447242,0.0
20.0,80_20,0.10695904335413942,0.6979981808334174,-0.46844294501576145,0.05363615036894274
20.0,60_40,0.10232355067229681,0.7405982947641491,-0.37885744083125594,0.08032950651331199
20.0,40_60,0.09698055034297814,0.7592729616845182,-0.2772162603648637,0.08023550830007316
