code,is_qdii,cached,bars,first_date,last_date
159801,False,True,1563,2020-02-18,2026-07-27
159819,False,True,1413,2020-09-23,2026-07-27
159859,False,True,1225,2021-07-07,2026-07-27
159883,False,True,1269,2021-04-30,2026-07-27
159915,False,True,3550,2011-12-09,2026-07-27
159920,True,True,3343,2012-10-22,2026-07-27
159928,False,True,3124,2013-09-16,2026-07-27
159949,False,True,2430,2016-07-22,2026-07-27
159985,False,True,1609,2019-12-05,2026-07-27
159992,False,True,1526,2020-04-10,2026-07-27
159995,False,True,1569,2020-02-10,2026-07-27
159998,False,True,1525,2020-04-13,2026-07-27
510050,False,True,5207,2005-02-23,2026-07-27
510300,False,True,3442,2012-05-28,2026-07-27
510500,False,True,3245,2013-03-15,2026-07-27
511010,False,True,3232,2013-04-09,2026-07-27
511260,False,True,2163,2017-08-24,2026-07-27
511380,False,True,1529,2020-04-07,2026-07-27
512010,False,True,2664,2015-08-04,2026-07-27
512100,False,True,2361,2016-11-04,2026-07-27
512200,False,True,2142,2017-09-25,2026-07-27
512400,False,True,2158,2017-09-01,2026-07-27
512480,False,True,1728,2019-06-12,2026-07-27
512660,False,True,2419,2016-08-08,2026-07-27
512690,False,True,1754,2019-05-06,2026-07-27
512720,False,True,1682,2019-08-16,2026-07-27
512800,False,True,2179,2017-08-03,2026-07-27
512880,False,True,2419,2016-08-08,2026-07-27
512980,False,True,2064,2018-01-19,2026-07-27
513050,True,True,2299,2017-01-18,2026-07-27
513100,True,True,3156,2013-07-31,2026-07-27
513130,True,True,1250,2021-06-01,2026-07-27
513180,True,True,1255,2021-05-25,2026-07-27
513400,True,True,597,2024-02-02,2026-07-27
513500,True,True,3044,2014-01-15,2026-07-27
513520,True,True,1720,2019-06-25,2026-07-27
515030,False,True,1552,2020-03-04,2026-07-27
515180,False,True,1598,2019-12-20,2026-07-27
515210,False,True,1554,2020-03-02,2026-07-27
515220,False,True,1554,2020-03-02,2026-07-27
515650,False,True,1627,2019-11-11,2026-07-27
515790,False,True,1357,2020-12-18,2026-07-27
516090,False,True,1297,2021-03-19,2026-07-27
516160,False,True,1324,2021-02-04,2026-07-27
516520,False,True,1312,2021-03-01,2026-07-27
518850,False,True,1489,2020-06-05,2026-07-27
518880,False,True,3159,2013-07-29,2026-07-27
588000,False,True,1381,2020-11-16,2026-07-27
588200,False,True,910,2022-10-26,2026-07-27
