control,variant,net_cagr,net_sharpe,max_drawdown
vol,all_within_buckets,0.11748820272501459,0.7133452160634394,-0.39274901209720825
vol,exclude_high_max_20_within_buckets,0.10600486765586692,0.6604343433996139,-0.40058474848783576
vol,incremental_exclude_minus_all,-0.011483335069147671,-0.05291087266382544,-0.007835736390627512
beta,all_within_buckets,0.11745923641972333,0.7132122689841026,-0.3927383837016034
beta,exclude_high_max_20_within_buckets,0.10639426576033717,0.6666216870262952,-0.39238762956061857
beta,incremental_exclude_minus_all,-0.011064970659386164,-0.04659058195780741,0.0003507541409848436
