variant,one_way_bps,net_cagr,net_sharpe,net_max_drawdown,annualized_turnover
baseline_6,0.0,0.09146926228342056,0.6709256083430051,-0.2258957711364209,2.767397809754234
own_v1,0.0,0.08946923435606813,0.7055287743554701,-0.22932690945633882,3.3952947917993126
baseline_6,5.0,0.08845196817794565,0.6520360350703043,-0.22811576918035836,2.767397809754234
own_v1,5.0,0.08577846245014564,0.6803561945456208,-0.2293269094563386,3.3952947917993126
baseline_6,10.0,0.08544123312516994,0.633098256793462,-0.23311008050874393,2.767397809754234
own_v1,10.0,0.08209785335539355,0.6550969224352744,-0.2293269094563387,3.3952947917993126
baseline_6,20.0,0.07943939775061915,0.5950952224838317,-0.24301162055787195,2.767397809754234
own_v1,20.0,0.0747670360277013,0.6043538669422959,-0.22932690945633838,3.3952947917993126
