baseline,status,factors,annual_return,sharpe,max_drawdown,turnover,total_return,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026
MOM_20D,BASELINE_OHLCV,MOM_20D,-0.010966491948420365,-0.08738757073160355,-0.6355915640975004,197.1,-0.20375548749971661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288406492798996,0.3207042964583713,0.059356868340882274,0.0061534022205143035,0.04435944003504333,-0.05735207229631689,-0.00797719900328342,0.0833269660541971,-0.1813957436304353,-0.16074439292446396,-0.09245992941983894,-0.09802625598786519,-0.15037533353069132,0.0875531004105341
MOM_126D_6m,BASELINE_OHLCV,MOM_126D,0.005877942640499123,0.051715974318448266,-0.5325740862895125,112.1,0.12873619846908202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08105619254973906,0.20458581520871055,0.005518914966933242,-0.016285167190292604,0.3026815792215116,-0.051885672407468,-0.010258327602297945,0.29535496806245276,-0.1315334563372177,-0.11338724461690175,-0.1551525978907986,-0.061972925912708865,-0.05584634890780471,-0.03946332645940831
MOM_252D_12m,BASELINE_OHLCV,MOM_252D,0.02898377024402987,0.29494380598664977,-0.3259794810187111,96.2,0.8046525808554921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08036301572950766,0.24516303619106128,-0.0036446752566980933,-0.045573079922516246,0.3146646702526874,-0.07734283993309321,-0.0732382828596625,0.2698952846027587,0.049522882543363345,-0.07555904418372239,-0.13844201752322227,0.07926637157414707,0.1124473009408875,-0.01534131598949351
MOM_6_12_EQ,BASELINE_OHLCV,MOM_6_12_EQ,0.007731996070963865,0.071436322576705,-0.5103424128734362,102.30000000000001,0.17251313217035946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08002445816910408,0.23982415082131214,-0.0019831776358215647,-0.07148408209784596,0.31321296701000656,-0.06841924659256426,-0.041940680618988146,0.28007410893524565,-0.11980305636054267,0.02361254679083613,-0.1780823065525382,-0.2105284876964324,0.11533345592325239,-0.03410780763767851
all_frozen_ohlcv,BASELINE_OHLCV,ADX_14D|BREAKOUT_20D|PRICE_POSITION_120D|SLOPE_20D|MOM_20D,0.006814031623587624,0.058838536340565975,-0.5447435180256249,193.3,0.15064051085547292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02980413966104667,0.30439690263003394,0.03620405166071183,-0.015277856503837839,0.15997137837604103,-0.08377655393020877,0.0020898362745269683,0.13243299649914797,-0.10442840438815792,-0.10462179903003321,-0.05164915108915191,-0.03297352444209567,-0.10093850911098101,0.05279740405170097
equal_weight_49,BASELINE_OHLCV,EQUAL_WEIGHT_49,0.022321458541793904,0.3137691070130452,-0.3184584592951245,72.82848770226522,0.5779859802544418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05358099083867307,0.1522162510256262,0.025953257930498852,-0.0003045144890286844,0.10584092387228505,-0.08649892610995114,0.049578201933454746,0.12799738910287517,0.009670800042852479,-0.11747233371343013,-0.03626413771205872,0.08680191950008398,0.10349417432579622,0.028951033738299436
mom_plus_both_shares,PRODUCTION_FACTORS,MOM_20D|SHARE_CHG_5D|SHARE_CHG_20D,0.020993685313706045,0.22802200524188554,-0.36595213085584666,193.7,0.5361749749416003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014130743637718268,0.056395684356506326,-0.0020515626976592705,0.03235861631453374,0.09938765499031255,0.019333425669948667,0.03549450227885309,0.21389233593775803,0.004595869115129325,-0.05539427565261179,-0.07758047208318586,-0.02563222313393243,0.1575030125844532,0.0008542746440098892
