experiment,declared_factors,actual_factors,reproduction_status,date_start,date_end,mean_candidates,median_candidates,annual_return,sharpe,max_drawdown,turnover,total_fees,total_return,roll12_mean,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026
restricted_pool_mom_only,MOM_20D,MOM_20D,BASELINE_OHLCV,2013-06-14,2026-07-21,18.403954802259886,12.0,-0.009542955433884615,-0.08378164821748613,-0.6607160222500215,186.8,0.037360000000000004,-0.17973686532377842,-0.00032431396178197856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014130743637718268,0.2298449383733976,0.024897569249254348,0.020385263752978444,0.11248185766064722,-0.07515197935487639,-0.02652387270848744,0.15252678537275988,-0.21534182899689114,-0.2187220440014116,-0.10174798546471309,-0.26127355012895914,0.20793040885128322,0.10870183918240706
restricted_pool_mom_plus_shares,MOM_20D|SHARE_CHG_5D|SHARE_CHG_20D,MOM_20D|SHARE_CHG_5D|SHARE_CHG_20D,PRODUCTION_FACTORS,2013-06-14,2026-07-21,18.403954802259886,12.0,0.023197853139417024,0.23522264313422625,-0.4478260566566218,187.40000000000003,0.037480000000000006,0.6061741400334684,0.030366943026031008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014130743637718268,0.20513354616066248,0.010494343762048386,0.02506603069815405,0.10628816688901366,-0.031130390935708463,0.04024345997524881,0.20917682487781875,0.11985681689648398,-0.14511280163709894,-0.10909593397078887,-0.09376272504869287,0.21647823840146718,0.0008542746440098892
restricted_pool_plus_margin_buy_ratio,MOM_20D|SHARE_CHG_5D|MARGIN_BUY_RATIO,MOM_20D|SHARE_CHG_5D|MARGIN_BUY_RATIO,PARTIAL_REPRODUCTION,2013-06-14,2026-07-21,18.403954802259886,12.0,0.03276749991093153,0.37439323825851223,-0.32238642473261525,187.8,0.03756,0.9468421030817944,0.035862160169102396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014130743637718268,0.194161856708289,0.040033805972108816,0.004820032353908044,0.1780940781816167,-0.04476782711193361,0.052185763595334445,0.19796465149642373,0.05875603204150792,-0.11384642005165302,-0.0076912065479021186,-0.046691555930756135,0.1158552832831532,0.09501346198245608
restricted_pool_plus_both_margin_factors,MOM_20D|SHARE_CHG_5D|SHARE_CHG_20D|MARGIN_BUY_RATIO|MARGIN_CHG_10D,MOM_20D|SHARE_CHG_5D|SHARE_CHG_20D|MARGIN_BUY_RATIO|MARGIN_CHG_10D,PARTIAL_REPRODUCTION,2013-06-14,2026-07-21,18.403954802259886,12.0,0.039222589201737934,0.3951718609771993,-0.3189034234527449,188.79999999999998,0.037759999999999995,1.2143400428937268,0.042278992449964935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014130743637718268,0.16198687850245141,0.01564433127991438,0.02141763261873386,0.12158516497784966,-0.04077002439266342,0.042844129389306485,0.20404646499481904,0.054880250865428915,-0.09374587288515945,-0.09458049768770427,0.1259012063567979,0.211056303078883,0.13610605119510155
C1_research_partial_same_range,ADX_14D|BREAKOUT_20D|MARGIN_BUY_RATIO|PRICE_POSITION_120D|SHARE_CHG_5D,ADX_14D|BREAKOUT_20D|MARGIN_BUY_RATIO|PRICE_POSITION_120D|SHARE_CHG_5D,PARTIAL_REPRODUCTION,2013-06-14,2026-07-21,18.454802259887007,12.0,0.03368258835628102,0.4474789482322546,-0.1953334245217323,166.70000000000002,0.03334,0.982797644666441,0.03925916447747528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014130743637718268,0.2093835986626622,0.03130680072762937,-0.029607705332867496,0.10296630955283637,-0.06775740108835837,0.0761964774687065,0.2547927691969438,0.0862655446121996,-0.11669228175431279,-0.019793533301023958,-0.042864914928105735,0.22151126777562524,0.05802049082911398
C4_research_partial_same_range,MARGIN_CHG_10D|PRICE_POSITION_120D|SHARE_CHG_20D|SLOPE_20D,MARGIN_CHG_10D|PRICE_POSITION_120D|SHARE_CHG_20D|SLOPE_20D,PARTIAL_REPRODUCTION,2013-06-14,2026-07-21,18.416509730069052,12.0,0.02252770433705198,0.23063411201054523,-0.4603100476329207,182.3,0.036460000000000006,0.5845769514123087,0.027387127922463964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014130743637718268,0.17084071786705612,-0.004513227861223101,0.05145517659457588,0.09022060334071913,-0.05001257250566271,0.07623677348565394,0.2068056624478707,0.21241743146838665,-0.12497491036590624,-0.06942372136483044,-0.2256893181530113,0.1154219046406948,0.11157514541725821
full_pool_mom_same_range,MOM_20D,MOM_20D,BASELINE_OHLCV,2013-06-14,2026-07-21,22.264595103578156,17.0,-0.010966491948420365,-0.08738757073160355,-0.6355915640975004,197.1,0.039420000000000004,-0.20375548749971661,-0.006577977165577823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288406492798996,0.3207042964583713,0.059356868340882274,0.0061534022205143035,0.04435944003504333,-0.05735207229631689,-0.00797719900328342,0.0833269660541971,-0.1813957436304353,-0.16074439292446396,-0.09245992941983894,-0.09802625598786519,-0.15037533353069132,0.0875531004105341
