year,rows,excluded_ratio,mbr_missing_ratio,ranked_etf_mean
2005,213.0,1.0,1.0,0.0
2006,241.0,1.0,1.0,0.0
2007,242.0,1.0,1.0,0.0
2008,246.0,1.0,1.0,0.0
2009,244.0,1.0,1.0,0.0
2010,242.0,1.0,1.0,0.0
2011,260.0,1.0,0.9307692307692308,0.0
2012,687.0,0.7656477438136827,0.37409024745269287,1.2014925373134329
2013,1601.0,0.6577139287945034,0.4634603372891943,2.3122362869198314
2014,2441.0,0.6988938959442851,0.5985251945923802,3.0
2015,2539.0,0.6943678613627412,0.5982670342654588,3.180327868852459
2016,3030.0,0.6475247524752475,0.5973597359735974,4.377049180327869
2017,4216.0,0.6190702087286527,0.6190702087286527,6.581967213114754
2018,5089.0,0.46158380821379447,0.46158380821379447,11.275720164609053
2019,5714.0,0.3288414420721036,0.3288414420721036,15.717213114754099
2020,8652.0,0.37690707350901526,0.30351363846509477,22.185185185185187
2021,10920.0,0.24175824175824176,0.19807692307692307,34.074074074074076
2022,11419.0,0.1498379893160522,0.1498379893160522,40.11570247933884
2023,11616.0,0.11492768595041322,0.11484159779614325,42.48347107438016
2024,11835.0,0.09243768483312209,0.08618504435994931,44.38429752066116
2025,11907.0,0.06198034769463341,0.06198034769463341,45.96296296296296
2026,6615.0,0.041874527588813305,0.041874527588813305,46.94814814814815
