environment,observations,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor
2020_pandemic,243,0.13887664485001117,0.14437514330529355,0.20335914107152453,0.7099515789876129,0.8727662460865051,-0.1342931042573804,1.0750748826878733,0.5349794238683128,1.1398848698783874
2021_growth,243,-0.22663389023916192,-0.23396034362512597,0.525582995546264,-0.44514443124621944,-0.4460837627091494,-0.42608232763912257,-0.5490965676081326,0.5020576131687243,0.9389347093967577
2022_drawdown,242,-0.04780501058240727,-0.04973048655774581,0.1666319862273341,-0.2984450205730554,-0.47352698381123165,-0.15712162008365704,-0.31650950729293376,0.49586776859504134,0.9647837275505163
2023_range,242,-0.06183889827372724,-0.06431027357394015,0.16360401994109613,-0.3930849229566264,-0.5266212290799561,-0.1237078502194694,-0.5198560435723978,0.5289256198347108,0.9420930389899568
2024_small_cap,242,-0.15466095275600678,-0.16050970615471194,0.1975137380488077,-0.8126508451531018,-1.2447957707372395,-0.22806789063764177,-0.7037803774391571,0.4628099173553719,0.8704382935407694
2025_rotation,243,0.14227392783247295,0.14791545652895777,0.20710064241435572,0.7142201723981935,0.976987139382836,-0.10209974877427885,1.4487347746170056,0.5102880658436214,1.1557352579007871
