,frozen_80_20_spy_dc,exp_80_20_vti_dc
2015-02-02,0.010652151022612001,0.009746414519811543
2015-02-03,0.011682078878946168,0.012389901672247804
2015-02-04,-0.0029660950005581223,-0.0027161277893786306
2015-02-05,0.00857390847802778,0.009295298617050973
2015-02-06,-0.003939844062613662,-0.004127932712338545
2015-02-09,-0.003945384848869848,-0.004352448690709087
2015-02-10,0.009822930619010295,0.009466476993861628
2015-02-11,0.0007907150426345378,0.0007009898360595624
2015-02-12,0.008891701826426035,0.008904044723427929
2015-02-13,0.003815141928420063,0.004301313938736707
2015-02-17,0.0006424337984321073,0.0006374992405103642
2015-02-18,0.0006954124098131454,0.001061032863565914
2015-02-19,-0.00032896118853993346,2.1857402954816857e-05
2015-02-20,0.005414833119505525,0.0051042982111271454
2015-02-23,0.0004470438284006617,0.00048796686384828815
2015-02-24,0.0030109605580362912,0.002568215840614019
2015-02-25,-0.0008356883099538304,-0.00044800151971607916
2015-02-26,-0.0010316250342928047,-0.0005977004865395652
2015-02-27,-0.002812052648885932,-0.002938767131435438
2015-03-02,0.005208395675675348,0.005074143451918012
2015-03-03,-0.0039654975990134015,-0.0039645488499513324
2015-03-04,-0.003683265607075559,-0.00353282608127633
2015-03-05,0.0011071133900983354,0.00148178935980704
2015-03-06,-0.013410031433711923,-0.013244265020091385
2015-03-09,0.004068266002708531,0.0037306832512679746
2015-03-10,-0.01441787406115015,-0.013604085174270553
2015-03-11,-0.0022704386660754917,-0.00099992419778977
2015-03-12,0.010922891839332174,0.010776438985727622
2015-03-13,-0.00549097345084797,-0.005051370845958081
2015-03-16,0.01232338770393564,0.011665640203036065
2015-03-17,-0.0020116581025739766,-0.0011861707663584744
2015-03-18,0.011748649550023249,0.011316446971980565
2015-03-19,-0.003972082481013628,-0.0031789103273141554
2015-03-20,0.008118198367933505,0.007744435203704892
2015-03-23,-0.001623358440540379,-0.0014489703269331855
2015-03-24,-0.004551159010379025,-0.004290888420504591
2015-03-25,-0.01443962168341756,-0.015194204308033544
2015-03-26,-0.002806449433863767,-0.0024742799210117905
2015-03-27,0.002620818954288262,0.0029659375025228646
2015-03-30,0.010894131640988226,0.01131479019640651
2015-03-31,-0.007793177443341227,-0.008045340822363056
2015-04-01,-0.0028746507581991934,-0.0015374172596057446
2015-04-02,0.002659315010361252,0.002322218175531643
2015-04-06,0.006344168187977329,0.00646997434481379
2015-04-07,-0.0022039218664948847,-0.0027502964670509944
2015-04-08,0.0034034332085476683,0.004116319203688434
2015-04-09,0.0037614786024584013,0.0030319270097553977
2015-04-10,0.004748731202228351,0.004139484872170452
2015-04-13,-0.003665273973966532,-0.0031997355017363673
2015-04-14,0.0015383636637514076,0.0011855362834200522
2015-04-15,0.004269052672699603,0.004721796990102456
2015-04-16,-0.000293282783204718,-0.000430753488831781
2015-04-17,-0.010566195493698416,-0.010654538740044829
2015-04-20,0.008620812361097251,0.0078250184163433
2015-04-21,-0.000736157581511232,-3.5520275242784116e-06
2015-04-22,0.0038957855053836973,0.003343137700985954
2015-04-23,0.0026984299966417934,0.003171753645754494
2015-04-24,0.0035608946407218456,0.0025795555032712917
2015-04-27,-0.0037335754272441405,-0.004558807874647808
2015-04-28,0.00188203080357392,0.0014621111288994236
2015-04-29,-0.004289115520457199,-0.004501780318966919
2015-04-30,-0.009621853614851562,-0.010258870770061301
2015-05-01,0.009820490890063649,0.0084871693075665
2015-05-04,0.0029411653267518156,0.0034541913441817453
2015-05-05,-0.0118351211920668,-0.012190337814055742
2015-05-06,-0.005298845659573815,-0.004228374425250703
2015-05-07,0.0036547325238603934,0.003509330613841866
2015-05-08,0.013300878118176351,0.012833732103661833
2015-05-11,-0.005159505366045281,-0.004703916574782774
2015-05-12,-0.003118553642748212,-0.0030740027673307304
2015-05-13,0.0006180569453177799,0.000907089366706626
2015-05-14,0.010739884416593015,0.01034431792615662
2015-05-15,0.0018916358888175,0.0019715622539342335
2015-05-18,0.0019527563031495054,0.0024508968630696294
2015-05-19,-0.00014382357375880564,-0.00024371578192959877
2015-05-20,-0.0006354277348323835,-0.0005794737865240763
2015-05-21,0.0025561631556219044,0.002258325058222477
2015-05-22,-0.0017586977924110572,-0.0013682730632587849
2015-05-26,-0.011236253108148454,-0.010975521983172054
2015-05-27,0.00945942593979775,0.009194984170479426
2015-05-28,-0.002530978813310747,-0.002354813754822538
2015-05-29,-0.006666653781415566,-0.007075553507152067
2015-06-01,0.0018973776430872835,0.002244116850938527
2015-06-02,-0.0007559562252043906,-0.0005457692019305904
2015-06-03,0.0019250707354852125,0.0025817837515414
2015-06-04,-0.008992021007757279,-0.00864182272908275
2015-06-05,-0.0020872668411231923,-0.0013773167285055623
2015-06-08,-0.005983861312161299,-0.005985582442718129
2015-06-09,-0.0010068058097768785,-0.001557372505629573
2015-06-10,0.012417012537352834,0.012586837177307375
2015-06-11,0.0023173941984810046,0.00200449364958164
2015-06-12,-0.006922208075761738,-0.006045570768504316
2015-06-15,-0.004933160440440743,-0.005172355374407767
2015-06-16,0.00512675992049253,0.005186923565158741
2015-06-17,0.0022006271027621206,0.0022261986930520064
2015-06-18,0.010662737160009117,0.010245353286743654
2015-06-19,-0.004955273165336838,-0.004881649853815607
2015-06-22,0.0061394376835751,0.00691623469246645
2015-06-23,0.001550297128047651,0.0017795301168206713
2015-06-24,-0.006844332196328662,-0.007103354879240976
2015-06-25,-0.002983318583035921,-0.003026428899281364
2015-06-26,-0.0017393108653919079,-0.002041840098899528
2015-06-29,-0.02136755167793335,-0.021323703249143757
2015-06-30,0.0033824743797493343,0.003882088985440235
2015-07-01,0.007573258540328753,0.006393206219581815
2015-07-02,-0.000703940269828396,-0.0010109299895491141
2015-07-06,-0.0025057450711885253,-0.0023115464737275327
2015-07-07,0.00525950531524817,0.004627693620154006
2015-07-08,-0.015170441788612543,-0.015095796799316753
2015-07-09,0.0014087369119510696,0.0016209251781616584
2015-07-10,0.011598586491726105,0.0112325677986456
2015-07-13,0.010577655202212745,0.010818456950008515
2015-07-14,0.004149107724487311,0.0042808938783836185
2015-07-15,-0.00017859010080796268,-0.0009374030387754751
2015-07-16,0.007827581340339208,0.006977683986401551
2015-07-17,0.002169004375283734,0.0017089755485393712
2015-07-20,0.0007354371259500336,0.00039376639515515955
2015-07-21,-0.0032005360554376305,-0.0035313989976648477
2015-07-22,-0.0025840939505355374,-0.0023171359961084107
2015-07-23,-0.004876192070402652,-0.004982420204410144
2015-07-24,-0.009247979896746517,-0.009340555058191369
2015-07-27,-0.005505511898409976,-0.006132244917404473
2015-07-28,0.01068700471481251,0.010369346660396673
2015-07-29,0.005902751356550562,0.005874968444736561
2015-07-30,0.0006664822767400546,0.0011376982482341868
2015-07-31,-0.0013290644457996104,-0.0009218624549914844
2015-08-03,-0.003010949502519067,-0.0031794784703094714
2015-08-04,-0.0017732793559672945,-0.0015379079935982755
2015-08-05,0.003407392156094491,0.00343086744036174
2015-08-06,-0.008152362864438212,-0.008156485837676586
2015-08-07,-0.0016627887569575562,-0.0024282930039094762
2015-08-10,0.011240413865230715,0.011139522328550732
2015-08-11,-0.008526125544685504,-0.00851532883728441
2015-08-12,0.001310620426882947,0.0011685896444679766
2015-08-13,-0.0011580686025741138,-0.0012747735700952335
2015-08-14,0.0030467366099656947,0.0031771585897985124
2015-08-17,0.005304834201334985,0.005938641014976321
2015-08-18,-0.0028076723177882347,-0.0025478279343579824
2015-08-19,-0.0069617982402509606,-0.007785217388605936
2015-08-20,-0.019513690909643933,-0.02020627127933322
2015-08-21,-0.028495013442604623,-0.027441596997492525
2015-08-24,-0.037174825805852844,-0.035652383142175635
2015-08-25,-0.009647286858143223,-0.009772171319899336
2015-08-26,0.035713216649541774,0.03404397797794119
2015-08-27,0.022284083909832546,0.02184497145288098
2015-08-28,4.5715916535771234e-05,0.0006276574362795717
