date,symbol,close,sma10,r3m,r5m,r6m,r12m,score,sigma_60d,adjusted_score,above_ma,trend_consistent
2005-01-31,SPY,79.73054504394531,,,,,,,,,False,False
2005-01-31,QQQ,31.828821182250977,,,,,,,,,False,False
2005-01-31,IWM,46.72849655151367,,,,,,,,,False,False
2005-01-31,GLD,42.220001220703125,,,,,,,,,False,False
2005-01-31,IEF,47.928070068359375,,,,,,,,,False,False
2005-02-28,SPY,81.39726257324219,,,,,,,,,False,False
2005-02-28,QQQ,31.67561912536621,,,,,,,,,False,False
2005-02-28,IWM,47.495758056640625,,,,,,,,,False,False
2005-02-28,GLD,43.529998779296875,,,,,,,,,False,False
2005-02-28,IEF,47.272254943847656,,,,,,,,,False,False
2005-03-31,SPY,79.90828704833984,,,,,,,0.006559282358287481,,False,False
2005-03-31,QQQ,31.122459411621094,,,,,,,0.009354302191144281,,False,False
2005-03-31,IWM,46.149356842041016,,,,,,,0.009396614613659256,,False,False
2005-03-31,VWO,13.467260360717773,,,,,,,,,False,False
2005-03-31,GLD,42.81999969482422,,,,,,,0.007143814397243269,,False,False
2005-03-31,IEF,47.08155059814453,,,,,,,0.003147646151161787,,False,False
2005-04-29,SPY,78.41117095947266,,-0.01654791251891552,,,,,0.007822898689386,,False,False
2005-04-29,QQQ,29.76930046081543,,-0.06470615765638277,,,,,0.00990087205247386,,False,False
2005-04-29,IWM,43.5386962890625,,-0.06826242010450145,,,,,0.010671996859138123,,False,False
2005-04-29,VWO,13.153412818908691,,,,,,,,,False,False
2005-04-29,GLD,43.349998474121094,,0.02676450072824399,,,,,0.006909283026801987,,False,False
2005-04-29,IEF,48.26633834838867,,0.007057832279639742,,,,,0.003566667600063147,,False,False
2005-05-31,SPY,80.93795776367188,,-0.005642754990157428,,,,,0.007589112883327647,,False,False
2005-05-31,QQQ,32.40753936767578,,0.0231067383217598,,,,,0.009158626709953644,,False,False
2005-05-31,IWM,46.353363037109375,,-0.024052569456179618,,,,,0.01053317113384573,,False,False
2005-05-31,VWO,13.535736083984375,,,,,,,0.012486097922257832,,False,False
2005-05-31,GLD,41.650001525878906,,-0.04318854367420999,,,,,0.006234832265340222,,False,False
2005-05-31,IEF,49.1535758972168,,0.03979757165389852,,,,,0.0034235015420326,,False,False
2005-06-30,SPY,81.06057739257812,,0.014420160746797306,0.01668159107528666,,,,0.007283094731547034,,False,False
2005-06-30,QQQ,31.33011245727539,,0.006672128410801559,-0.015668463563887403,,,,0.008811948483570036,,False,False
2005-06-30,IWM,48.24287414550781,,0.045363954055360756,0.03240801022401141,,,,0.010785389560648046,,False,False
2005-06-30,VWO,14.00367259979248,,0.03983083602061721,,,,,0.011340912383492784,,False,False
2005-06-30,GLD,43.439998626708984,,0.014479190478829063,0.028896195422363435,,,,0.006075499496512645,,False,False
2005-06-30,IEF,49.388710021972656,,0.04900347151945872,0.030475668048598248,,,,0.003368791591420146,,False,False
