year,attribution_A,attribution_AC,attribution_AD,attribution_ACD,attribution_AD_hyst,attribution_ACD_hyst,attribution_DC
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.12348367951901307,0.09849308612678742,0.057510355986191364,0.06416917112087406,0.03265232169107324,0.03915461348388449,0.11221315450637004
2007,0.17036193416052892,0.19799559290181623,0.1762244988813635,0.1762244988813635,0.17171005507618986,0.17171005507618986,0.3120385525799656
2008,-0.16798712804960603,0.008089425743228018,-0.03430588068975182,0.02293313782795159,-0.03430588068975182,0.02293313782795159,0.022091221441445708
2009,0.3599498756507149,0.060277072479302696,0.17734780961005758,0.026023754336553573,0.17734780961005758,0.026023754336553573,0.010454072473481624
2010,0.0970359692820959,0.12589972043496456,0.05353825278518132,0.024305298387675922,0.05353825278518132,0.024305298387675922,0.0642969584989379
2011,0.06590557017196796,0.16158072384555244,0.050648261616492274,0.08274268538000706,0.050648261616492274,0.08274268538000706,0.11501724632455979
2012,0.09252199815881412,-0.023998487685064074,0.11799948567448282,0.025009560338940418,0.11799948567448282,0.025009560338940418,0.006470283644161912
2013,0.26500837641040675,0.26500837641040675,0.2693743747915127,0.23866853636366936,0.2693743747915127,0.23866853636366936,0.2661279858370813
2014,0.1290376828668418,0.1290376828668418,0.061452575046434754,0.03823989872206757,0.061452575046434754,0.03823989872206757,0.06913044374555843
2015,-0.06061058246392681,-0.097639179087056,-0.017210556363012164,-0.039496549693884275,-0.017210556363012164,-0.039496549693884275,-0.039496549693884275
2016,-0.03896360969714252,-0.03200081596700377,-0.0945634209510764,-0.050104815025086236,-0.0945634209510764,-0.050104815025086236,-0.011044999365569463
2017,0.2090332269093811,0.2090332269093811,0.2538215584140029,0.2154500234717236,0.2538215584140029,0.2154500234717236,0.18054277550087372
2018,-0.08916432984296718,-0.06355965316066414,-0.07486035660834056,-0.03348457714825814,-0.07486035660834056,-0.03348457714825814,0.015775992916573722
2019,0.08795818771012986,0.012565633723704561,0.05365920585827855,0.053251677079661164,0.05365920585827855,0.053251677079661164,0.08265666166974817
2020,0.17939012035520063,0.26998623524101495,0.19067981342975582,0.19263899731022138,0.19067981342975582,0.19263899731022138,0.2693839734906234
2021,0.2567885808451831,0.2567885808451831,0.1714129275262506,0.14962442449429103,0.1714129275262506,0.14962442449429103,0.11485862752301235
2022,-0.1892375210604469,-0.07166781105616027,-0.1561352556227953,-0.04945247928430119,-0.1561352556227953,-0.04945247928430119,-0.04945247928430119
2023,0.12583879880635473,0.03799054124737444,0.08118132309628057,-0.014972177336255887,0.08118132309628057,-0.014972177336255887,-0.014972177336255887
2024,0.19837785602078517,0.19837785602078517,0.19050375741525594,0.19050375741525594,0.19970300587567724,0.19970300587567724,0.1627532066544044
2025,0.31856195686483924,0.2900620578390245,0.36080050971964717,0.3435636195464171,0.36080050971964717,0.3435636195464171,0.3510032809784589
2026,0.16258928334598544,0.16258928334598544,0.13115374668007052,0.13115374668007052,0.13115374668007052,0.13115374668007052,0.1297375379826673
