ablation,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,turnover,trade_count,total_fees,total_slippage,worst_month,worst_5d,worst_10d,worst_20d,partial_factor_set
A0,2.3721746563390314,0.06059345048167142,0.308961334958163,0.19611984939758395,0.2520410181914075,-0.5749153957667318,0.10539542153130445,0.34261570962166316,1.0997664834357082,1363.0,2724,0.2726,,-0.37180917683664416,-0.32993861486734866,-0.3352551754654959,-0.3538850510832233,False
A1,2.064833267049852,0.05569954773702834,0.18584719345644476,0.299706154831346,0.300806913534443,-0.4446407625240649,0.12526864928182055,0.3328212022277703,1.1144456469065576,2610.0,5207,0.522,,-0.21814687976468727,-0.25692652807594074,-0.2606690371643544,-0.26685572701795657,True
A2,4.128541974646398,0.08233360273215484,0.1693732493716921,0.4861074758710718,0.4831797076823862,-0.3510138766116697,0.23455939556270408,0.3479930862300749,1.1557140761686095,749.0,1487,0.14980000000000002,,-0.1416834980218673,-0.2074992828700989,-0.18899450572560028,-0.1866719017181634,True
A3,1.9476174645920308,0.053709043026900716,0.16079715873835623,0.33401736354243844,0.3039576760329702,-0.38504320775932255,0.1394883533706493,0.3491453812175917,1.1137211528575535,434.0,857,0.0868,,-0.22271605923515725,-0.23844445774789547,-0.2363816638752253,-0.23818626840770318,True
A4,5.387358537391416,0.09389249578127012,0.16372350617782278,0.5734820733639308,0.5322673930660313,-0.2868504615044244,0.3273221011702013,0.3508738236988669,1.1767982401764419,253.0,495,0.0506,,-0.20202701791816302,-0.2394746684638085,-0.23702300982618496,-0.24031041327879088,True
A5,5.387358537391416,0.09389249578127012,0.16372350617782278,0.5734820733639308,0.5322673930660313,-0.2868504615044244,0.3273221011702013,0.3508738236988669,1.1767982401764419,253.0,495,0.0506,,-0.20202701791816302,-0.2394746684638085,-0.23702300982618496,-0.24031041327879088,True
A6,0.8264592607174353,0.029582089334543094,0.09369683982574374,0.31572131343553855,0.23332015650755436,-0.3372797683995338,0.08770786778856192,0.34991357787593624,1.1410499070777755,179.8,495,0.035960000000000006,,-0.20410872504140898,-0.24079033001018713,-0.23702300982618496,-0.24031041327879088,True
A7,0.8264592607174353,0.029582089334543094,0.09369683982574374,0.31572131343553855,0.23332015650755436,-0.3372797683995338,0.08770786778856192,0.34991357787593624,1.1410499070777755,179.8,495,0.035960000000000006,,-0.20410872504140898,-0.24079033001018713,-0.23702300982618496,-0.24031041327879088,True
A8,0.8264592607174353,0.029582089334543094,0.09369683982574374,0.31572131343553855,0.23332015650755436,-0.3372797683995338,0.08770786778856192,0.34991357787593624,1.1410499070777755,179.8,495,0.035960000000000006,,-0.20410872504140898,-0.24079033001018713,-0.23702300982618496,-0.24031041327879088,True
A9,0.8264592607174353,0.029582089334543094,0.09369683982574374,0.31572131343553855,0.23332015650755436,-0.3372797683995338,0.08770786778856192,0.34991357787593624,1.1410499070777755,179.8,495,0.035960000000000006,,-0.20410872504140898,-0.24079033001018713,-0.23702300982618496,-0.24031041327879088,True
A10,0.6346144273308294,0.024067376947890295,0.0761387822112015,0.3160987902476527,0.25749817523155466,-0.26895392398363116,0.08948513035770046,0.34664874207797197,1.117965856950857,159.06666666666666,612,0.03181333333333333,,-0.13437929084332778,-0.1600096126282884,-0.15146414832990207,-0.16724013609449317,True
