date,nav
2014-11-06,0.9997632028115422
2014-11-07,1.0004725891058326
2014-11-10,0.9997632028115421
2014-11-11,0.9996455860948222
2014-11-12,0.9999999999999999
2014-11-13,1.0002366854916707
2014-11-14,1.0007088278103553
2014-11-17,0.9977034432980839
2014-11-18,1.0051685740259109
2014-11-19,1.0006120858843295
2014-11-20,1.0050715896389175
2014-11-21,1.0070105499958772
2014-11-24,1.0071302421096926
2014-11-25,1.0072491475147787
2014-11-26,1.007367490985058
2014-11-28,1.007724431974239
2014-12-01,0.9963173600232419
2014-12-02,1.0003095618110343
2014-12-03,1.0021157918191559
2014-12-04,1.0016406391350556
2014-12-05,1.001735495332999
2014-12-08,0.9946058277231759
2014-12-09,0.9977431350553186
2014-12-10,0.9820579455586517
2014-12-11,0.9867163595904785
2014-12-12,0.9759746281891322
2014-12-15,0.9752826583684261
2014-12-16,0.9758596993225005
2014-12-17,0.9749372181446448
2014-12-18,0.9743602861278848
2014-12-19,0.9736689699310648
2014-12-22,0.9738986097896996
2014-12-23,0.9728618533690981
2014-12-24,0.9733581717732445
2014-12-26,0.9730124047375202
2014-12-29,0.9739343412288042
2014-12-30,0.9742798903898998
2014-12-31,0.9739343412288042
2015-01-02,0.9749720780852346
2015-01-05,0.9749720780852346
2015-01-06,0.9754339722980485
2015-01-07,0.9758949950123478
2015-01-08,0.9757794125218299
2015-01-09,0.9765874005823111
2015-01-12,0.9771641147244424
2015-01-13,0.9777398484307447
2015-01-14,0.978316889384819
2015-01-15,0.9798163025794348
2015-01-16,0.978893494589636
2015-01-20,0.9784323629380225
2015-01-21,0.9784323629380225
2015-01-22,0.9780863780276695
2015-01-23,0.9785483811777976
2015-01-26,0.9779705776625229
2015-01-27,0.9785483811777977
2015-01-28,0.9792392616253606
2015-01-29,0.9788934945896361
2015-01-30,0.9800472496858418
2015-02-02,0.9797351442802494
2015-02-03,0.9789285724048545
2015-02-04,0.9790428476476002
2015-02-05,0.9786969716745615
2015-02-06,0.976390006168722
2015-02-09,0.9762740968662611
2015-02-10,0.9760439123210546
2015-02-11,0.9761584054384291
2015-02-12,0.9765044992860965
2015-02-13,0.9765044992860965
2015-02-17,0.9760439123210547
2015-02-18,0.9771967959187455
2015-02-19,0.9766205175258715
2015-02-20,0.9765044992860964
2015-02-23,0.9774952233653811
2015-02-24,0.9782158043766075
2015-02-25,0.9757838434637186
2015-02-26,0.9807378379158997
2015-02-27,0.9764142770373903
2015-03-02,0.9852416188583674
2015-03-03,0.9806477652894964
2015-03-04,0.976864565358255
2015-03-05,0.9785760948822205
2015-03-06,0.967496787778858
2015-03-09,0.9702891140085116
2015-03-10,0.9522739902386409
2015-03-11,0.9467794852168885
2015-03-12,0.9529947956833218
2015-03-13,0.9488512304353158
2015-03-16,0.9611014816819212
2015-03-17,0.9626328659530803
2015-03-18,0.9720906413477292
2015-03-19,0.973532102614788
2015-03-20,0.9798335955277466
2015-03-23,0.9779374320818847
2015-03-24,0.9744165200477944
2015-03-25,0.9521169616316475
2015-03-26,0.9488665667213732
2015-03-27,0.9526585195573397
2015-03-30,0.9525462521471747
2015-03-31,0.95333212401833
2015-04-01,0.9537477996701309
2015-04-02,0.9536361683359441
2015-04-06,0.9544215101437841
2015-04-07,0.9537477996701308
2015-04-08,0.9537477996701308
2015-04-09,0.9534111034522986
2015-04-10,0.9531859325559903
2015-04-13,0.9537477996701308
2015-04-14,0.954197081336117
2015-04-15,0.954197081336117
2015-04-16,0.9546465750274293
2015-04-17,0.954197081336117
2015-04-20,0.9540846019006259
2015-04-21,0.9541970813361171
2015-04-22,0.9534111034522987
2015-04-23,0.9538598550549698
2015-04-24,0.9541970813361171
2015-04-27,0.954084601900626
2015-04-28,0.9536361683359441
2015-04-29,0.9537477996701309
2015-04-30,0.9536361683359441
2015-05-01,0.9532412711661001
2015-05-04,0.9532412711661001
2015-05-05,0.9530170543837592
2015-05-06,0.9526795100646227
2015-05-07,0.9523426018214645
2015-05-08,0.9536911889080646
2015-05-11,0.9500060578214224
2015-05-12,0.9457066897483555
2015-05-13,0.9476369411114715
2015-05-14,0.96150060726009
2015-05-15,0.96150060726009
2015-05-18,0.9657125076372918
2015-05-19,0.9646594780120089
2015-05-20,0.9652737149984337
2015-05-21,0.9702750058777205
2015-05-22,0.9693096620722326
2015-05-26,0.9581664375765578
2015-05-27,0.9736091028532761
2015-05-28,0.971415575906845
2015-05-29,0.9656248218174966
2015-06-01,0.9650211452850025
2015-06-02,0.9649076206189202
2015-06-03,0.96456586630751
2015-06-04,0.9646791763711989
2015-06-05,0.963769906030574
2015-06-08,0.9643386023729522
2015-06-09,0.9638827868894763
2015-06-10,0.9636557375573117
2015-06-11,0.9638827868894762
2015-06-12,0.9636557375573116
2015-06-15,0.9641109092336074
2015-06-16,0.964451912436641
2015-06-17,0.9651347772522814
2015-06-18,0.9653636507047895
2015-06-19,0.9655900562297739
2015-06-22,0.972707513860787
2015-06-23,0.9734983909159003
2015-06-24,0.968490084053525
2015-06-25,0.9665568774593598
2015-06-26,0.9601421068637201
2015-06-29,0.9374721866988341
2015-06-30,0.9408110579404177
2015-07-01,0.9482799680553695
2015-07-02,0.9485434484520716
2015-07-06,0.9463468341053721
2015-07-07,0.948719465270712
2015-07-08,0.9322001088630854
2015-07-09,0.9316728574930098
2015-07-10,0.9459079180433719
2015-07-13,0.962514810673228
2015-07-14,0.9688413186049599
2015-07-15,0.9698955307684398
2015-07-16,0.9836032673045585
2015-07-17,0.9981018082516228
2015-07-20,1.0015283610037715
2015-07-21,1.0009135734114665
2015-07-22,0.98957839539652
2015-07-23,0.9858877810943267
2015-07-24,0.9762224019210112
2015-07-27,0.9681383409929154
2015-07-28,0.9764858823177133
2015-07-29,0.9801764239757387
2015-07-30,0.9848334236425111
2015-07-31,0.9836910941034593
2015-08-03,0.98401582014985
2015-08-04,0.9825081869112589
2015-08-05,0.9826242931296624
2015-08-06,0.9828555225411018
2015-08-07,0.9823925175930188
2015-08-10,0.9936137647688522
2015-08-11,0.9808782341895965
2015-08-12,0.9842626395576671
2015-08-13,0.9826595621743486
2015-08-14,0.9841735510703749
2015-08-17,0.9847543686777414
2015-08-18,0.9846373954256172
2015-08-19,0.9855670537511986
2015-08-20,0.9852182130329836
2015-08-21,0.9862640786492627
2015-08-24,0.9867287983889924
2015-08-25,0.9862640786492627
2015-08-26,0.9856839175802616
2015-08-27,0.9857997966017765
2015-08-28,0.9853350768620467
2015-08-31,0.9849866738360755
2015-09-01,0.9853350768620468
2015-09-02,0.9855668349050766
2015-09-03,0.9855668349050766
2015-09-04,0.9856833704649569
2015-09-08,0.9853350768620467
2015-09-09,0.9851024434345296
2015-09-10,0.9854515029988662
2015-09-11,0.9858002342940201
2015-09-14,0.9855668349050765
2015-09-15,0.9841727851089481
2015-09-16,0.9840567966643723
2015-09-17,0.9862648446106889
2015-09-18,0.9867296737734795
2015-09-21,0.9861495127044785
2015-09-22,0.9867296737734795
2015-09-23,0.9863811613244474
2015-09-24,0.9869620883548748
2015-09-25,0.9864979157304496
2015-09-28,0.9871950500515747
2015-09-29,0.987659113252939
2015-09-30,0.9878929503341263
2015-10-01,0.9878929503341263
2015-10-02,0.9892878755147421
2015-10-05,1.0034596782224954
2015-10-06,0.9987040265682597
2015-10-07,1.0046961868744662
2015-10-08,1.008690934264024
2015-10-09,1.013256438295829
2015-10-12,1.0157296124872472
2015-10-13,1.009166538651317
2015-10-14,1.0075494994232688
2015-10-15,1.0240997162861796
2015-10-16,1.0283799988843383
2015-10-19,1.0342766931606362
2015-10-20,1.0289506770828467
2015-10-21,1.022672903124301
2015-10-22,1.0435030888104158
2015-10-23,1.072703142964247
2015-10-26,1.0733688165302322
2015-10-27,1.075556847731743
2015-10-28,1.0844972375104904
2015-10-29,1.0827855951336587
2015-10-30,1.0779344774495145
2015-11-02,1.090109337903051
2015-11-03,1.093913780782701
2015-11-04,1.0940090114813936
2015-11-05,1.0910605466776366
2015-11-06,1.0918214509423143
2015-11-09,1.0802175040185018
2015-11-10,1.0774590299496984
2015-11-11,1.0761274474865126
2015-11-12,1.0656648569597167
2015-11-13,1.0447391267999546
2015-11-16,1.0597676135772485
2015-11-17,1.0604336793619267
2015-11-18,1.0807879468857942
2015-11-19,1.081549008037949
2015-11-20,1.0888729076948187
2015-11-23,1.085733667718722
2015-11-24,1.0847829296065679
2015-11-25,1.0857336677187217
2015-11-27,1.0872557115792931
2015-11-30,1.0868701402780643
2015-12-01,1.0875264575713783
2015-12-02,1.0866257436727085
2015-12-03,1.0866257436727085
2015-12-04,1.0868831941026826
2015-12-07,1.0819746519361366
2015-12-08,1.0820687744972683
2015-12-09,1.0656438815445104
2015-12-10,1.0704581454467632
2015-12-11,1.0458205335370936
2015-12-14,1.0537501062948025
2015-12-15,1.0601688912763974
2015-12-16,1.0759330578632953
2015-12-17,1.060263013837529
2015-12-18,1.0399251447329083
2015-12-21,1.0514763730272982
2015-12-22,1.0583886591792935
2015-12-23,1.0662474648500968
2015-12-24,1.066058051954122
2015-12-28,1.0654901246725208
2015-12-29,1.0822490787582946
2015-12-30,1.072496689088809
2015-12-31,1.059145921505288
2016-01-04,1.0605265428088824
2016-01-05,1.059899931362822
2016-01-06,1.0605265428088824
2016-01-07,1.0609040195836177
2016-01-08,1.0616569677877226
2016-01-11,1.0620345625239498
2016-01-12,1.0621593657825965
2016-01-13,1.0627878646125308
2016-01-14,1.0630382968602692
2016-01-15,1.0639172279379419
2016-01-19,1.063791363025866
2016-01-20,1.0645452549219077
2016-01-21,1.0644197438943082
2016-01-22,1.0640429748885256
2016-01-25,1.0640429748885256
2016-01-26,1.0645452549219077
2016-01-27,1.0647960410541224
2016-01-28,1.0647960410541224
2016-01-29,1.0660516231760855
2016-02-01,1.0654872953978562
2016-02-02,1.066868270585927
2016-02-03,1.0671190567181417
2016-02-04,1.067370668580801
2016-02-05,1.0671190567181417
2016-02-08,1.0683751106860733
2016-02-09,1.0679989314877512
2016-02-10,1.0679989314877512
2016-02-11,1.069003137670039
2016-02-12,1.06774779147106
2016-02-16,1.0671190567181414
2016-02-17,1.0673706685808009
2016-02-18,1.0682499535429497
2016-02-19,1.0672446857072329
2016-02-22,1.0845720544031292
2016-02-23,1.0667196322438097
2016-02-24,1.0769060666132888
2016-02-25,1.0875123019923325
2016-02-26,1.0861471284501218
2016-02-29,1.0763808404633128
2016-03-01,1.1109304117445236
2016-03-02,1.1113502990973645
2016-03-03,1.109249826213843
2016-03-04,1.109669972596513
2016-03-07,1.10284410488546
2016-03-08,1.0937078637861033
2016-03-09,1.100743718345215
2016-03-10,1.0990636508741927
2016-03-11,1.1182809012026174
2016-03-14,1.1182809012026174
2016-03-15,1.1186774566484505
2016-03-16,1.1209231161619095
2016-03-17,1.120790559010066
2016-03-18,1.1210545573040558
2016-03-21,1.1209231161619098
2016-03-22,1.1202620664177767
2016-03-23,1.1209231161619098
2016-03-24,1.1203944995685426
2016-03-28,1.1188274446714508
2016-03-29,1.1367937718823176
2016-03-30,1.1423298428712243
2016-03-31,1.1406587458047353
2016-04-01,1.1527757623101071
2016-04-04,1.1535892935206218
2016-04-05,1.1539970776313069
2016-04-06,1.1535892935206218
2016-04-07,1.1542681273883002
2016-04-08,1.1542681273883002
2016-04-11,1.15413292079275
2016-04-12,1.1538616164094
2016-04-13,1.1533190076427
2016-04-14,1.1533190076427
2016-04-15,1.1541329207927502
2016-04-18,1.160287711445853
2016-04-19,1.1531941341395644
2016-04-20,1.1541329207927504
2016-04-21,1.1542374204548194
2016-04-22,1.1368164203260382
2016-04-25,1.1368164203260382
2016-04-26,1.1312878580079038
2016-04-27,1.122212549794261
2016-04-28,1.108651623516652
2016-04-29,1.1028102463344847
2016-05-02,1.1132415702121436
2016-05-03,1.1029144039354666
2016-05-04,1.0958210831749933
2016-05-05,1.0955081827956885
2016-05-06,1.101349816523671
2016-05-09,1.1044791623778056
2016-05-10,1.1196046760672103
2016-05-11,1.109486509114671
2016-05-12,1.1045837475551463
2016-05-13,1.1005153585020104
2016-05-16,1.1142850275579423
2016-05-17,1.100306530208416
2016-05-18,1.1042705906300265
2016-05-19,1.098533456564113
2016-05-20,1.1106339530309086
2016-05-23,1.1105033806058675
2016-05-24,1.109717859842063
2016-05-25,1.1103721945886036
2016-05-26,1.1110275110827008
2016-05-27,1.1103721945886036
2016-05-31,1.1124896205271915
2016-06-01,1.1125901275902457
2016-06-02,1.1149093115394548
2016-06-03,1.1096661655321818
2016-06-06,1.1136992593987363
2016-06-07,1.1108765482882392
2016-06-08,1.112791885600867
2016-06-09,1.110977138005128
2016-06-10,1.0983742465903417
2016-06-13,1.0891991750102463
2016-06-14,1.0891991750102463
2016-06-15,1.0860737029030654
2016-06-16,1.0893000126886396
2016-06-17,1.0765321442196951
2016-06-20,1.0833054606696677
2016-06-21,1.0867424550800158
2016-06-22,1.0841138151735084
2016-06-23,1.0995809925776703
2016-06-24,1.0542919809808995
2016-06-27,1.0333656004454317
2016-06-28,1.0560106021668256
2016-06-29,1.0747125200477063
2016-06-30,1.0871468802934408
2016-07-01,1.0926059181170769
2016-07-05,1.0859336873070018
2016-07-06,1.0948298848486557
2016-07-07,1.0980645426715394
2016-07-08,1.1150481699818326
2016-07-11,1.1138715120309306
2016-07-12,1.113478557991546
2016-07-13,1.1137409763481685
2016-07-14,1.113087195850732
2016-07-15,1.1125630938599045
2016-07-18,1.1132177315334941
2016-07-19,1.113347899855048
2016-07-20,1.112824899947846
2016-07-21,1.1136095834892532
2016-07-22,1.1132177315334943
2016-07-25,1.1124330479920872
2016-07-26,1.1125630938599047
2016-07-27,1.1133478998550481
2016-07-28,1.1132177315334946
2016-07-29,1.1146557057573934
2016-08-01,1.1142764665364604
2016-08-02,1.1138844921269653
2016-08-03,1.1140149053559913
2016-08-04,1.1148008134347602
2016-08-05,1.113229364638431
2016-08-08,1.1128376351364082
2016-08-09,1.1134908033651638
2016-08-10,1.1140149053559913
2016-08-11,1.1129669462818088
2016-08-12,1.1137535890829948
2016-08-15,1.113490803365164
2016-08-16,1.1130990738631414
2016-08-17,1.1130990738631414
2016-08-18,1.1138844921269657
2016-08-19,1.1128376351364087
2016-08-22,1.1129669462818093
2016-08-23,1.1130990738631417
2016-08-24,1.1128376351364087
2016-08-25,1.112444558643288
2016-08-26,1.1113974567452587
2016-08-29,1.1120513596964312
2016-08-30,1.1121826301016104
2016-08-31,1.1120513596964312
2016-09-01,1.112574971872314
2016-09-02,1.112574971872314
2016-09-06,1.113361124858555
2016-09-07,1.113361124858555
2016-09-08,1.112574971872314
2016-09-09,1.1121828750090827
2016-09-12,1.1321338486748311
2016-09-13,1.1220124299551646
2016-09-14,1.1273652020142733
2016-09-15,1.1448829962000753
2016-09-16,1.1443363484016766
2016-09-19,1.1393606598821038
2016-09-20,1.1415071476564271
2016-09-21,1.1527271136111288
2016-09-22,1.1618979062394608
2016-09-23,1.1544833887503219
2016-09-26,1.144824193765866
2016-09-27,1.1561417128793505
2016-09-28,1.158093173906385
2016-09-29,1.1497025678374855
2016-09-30,1.1582882802239505
2016-10-03,1.1581386085718242
2016-10-04,1.1571846587822299
2016-10-05,1.1565026655690522
2016-10-06,1.1565026655690522
2016-10-07,1.156911810544907
2016-10-10,1.1642354223847649
2016-10-11,1.147634465661239
2016-10-12,1.146658037178213
2016-10-13,1.142556639332341
2016-10-14,1.1439236392085774
2016-10-17,1.1407988291325966
2016-10-18,1.1509548003641228
2016-10-19,1.1508572371592527
2016-10-20,1.1494901576395837
2016-10-21,1.1537869208254934
2016-10-24,1.1676537185096814
2016-10-25,1.1639429717004521
2016-10-26,1.1560327063364533
2016-10-27,1.15075959431095
2016-10-28,1.1435331474587995
2016-10-31,1.1424589168406059
2016-11-01,1.133865231181921
2016-11-02,1.1247834905685885
2016-11-03,1.113748176198311
2016-11-04,1.1098423826227743
2016-11-07,1.1362089781149136
2016-11-08,1.1436306310202369
